pl_name,gaia_id,default_flag,sy_snum,sy_pnum,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,ra,dec
CoRoT-8 b,Gaia DR2 4287832775526476800,1,1,1,CoRoT,0,6.21229,0.00003,-0.00003,0.063,0.001,-0.001,6.39,0.22,-0.22,,,,0,,,88.4,0.1,-0.1,0,0.49,0.04,-0.04,0.651,0.007,-0.007,,,,26,4,-4,291.5885696,1.4262972
CoRoTID 223977153 b,Gaia DR2 3326541506073371776,1,1,1,CoRoT,0,6.71837,0.00001,-0.00001,0.071,0.001,-0.001,6.389,0.673,-0.56,,,,,,,89,0.5,-0.5,0,0.4,0.1,-0.2,0.29,0.02,-0.02,,,,14,10,-10,100.1951714,9.2573953
EPIC 212737443 b,Gaia DR2 3630680754621236096,1,1,2,K2,0,13.603,0.0013,-0.0013,0.098,0.004,-0.004,2.586,0.126,-0.126,,,,0.2,0.2,-0.2,89.071,0.161,-0.161,0,0.479,0.101,-0.101,0.11,,,,,,,,,204.2215065,-7.3180577
EPIC 212737443 c,Gaia DR2 3630680754621236096,1,1,2,K2,0,65.55,0.0089,-0.0089,0.28,0.006,-0.006,2.69,0.146,-0.146,,,,0.2,0.2,-0.2,89.63,0.044,-0.044,0,0.567,0.082,-0.082,0.11,,,,,,,,,204.2215065,-7.3180577
EPIC 248847494 b,Gaia DR2 3882879683758393344,1,1,1,K2,0,3650,1280,-1130,4.5,1,-1,12.442,0.785,-0.785,,,,0,,,89.87,0.02,-0.03,0,0.79,0.04,-0.07,0.18,,,,,,,,,159.3890808,11.8427484
G 9-40 b,Gaia DR2 684992690384102528,1,1,1,K2,0,5.746007,0.000006,-0.000006,0.0385,0.0078,-0.0053,2.025,0.096,-0.097,,,,0,,,88.57,0.63,-0.47,0,0.672,0.1,-0.22,0.365,0.032,-0.033,0,,,,,,134.7188514,21.0747961
GJ 357 b,Gaia DR2 5664814198431308288,1,1,3,Transiting Exoplanet Survey Satellite (TESS),0,3.9306,0.000002,-0.000002,0.036,0.0004,-0.0004,1.2,0.06,-0.06,,,,,,,89.228,0.483,-0.483,0,0.307,0.16,-0.16,0.0955,0.0062,-0.0062,,,,,,,144.0074644,-21.6650634
GPX-1 b,Gaia DR2 457317534880081152,1,1,1,Acton Sky Portal Observatory,0,1.744579,0.000008,-0.000008,0.0338,0.0003,-0.0003,16.477,1.121,-1.121,,,,0,,,79.9,0.7,-0.6,0,0.82,0.02,-0.03,0.9,0.03,-0.03,,,,2310,180,-180,38.3691648,56.025708
HAT-P-12 b,Gaia DR2 1499514786891168640,1,1,1,HATNet,0,3.2130598,0.0000021,-0.0000021,0.0384,0.0003,-0.0003,10.749,0.325,-0.235,,,,0,,,89,0.4,-0.4,0,0.211,0.066,-0.078,1.977,0.037,-0.036,,,,35.8,1.9,-1.9,209.3886452,43.49331
HAT-P-15 b,Gaia DR2 179498266829041664,1,1,1,HATNet,0,10.8635,0.000027,-0.000027,,,,11.882,0.785,-0.785,,,,0.19,0.02,-0.02,89.1,0.2,-0.2,0,,,,1,0.018,-0.018,,,,180.6,3.5,-3.5,66.248142,39.460602
HAT-P-17 b,Gaia DR2 1849786481031300608,1,1,2,HATNet,0,10.33852,0.000009,-0.000009,,,,11.769,0.448,-0.448,,,,0.35,0.01,-0.01,89.2,0.15,-0.15,0,,,,1.5,0.022,-0.022,,,,58.4,0.9,-0.9,324.5359781,30.4881882
HAT-P-20 b,Gaia DR2 869913435026514688,1,1,1,HATNet,0,2.875317,0.000004,-0.000004,0.0361,0.0005,-0.0005,9.718,0.37,-0.37,,,,0.015,0.005,-0.005,86.8,0.2,-0.2,0,0.631,0.025,-0.028,0.9898,,,317,130,-130,1246,8.1,-8.1,111.9164295,24.3361185
