KOI,Host KOI,Kepler name,Host Gaia ID,P (VanHo),P pme (VanHo,PSR (VanHo),PSR pme (VanHo),PSR (Fulton),PSR pe (Fulton),PSR me (Fulton),PSR (Van Eylen),PSR pe (Van Eylen),PSR me (Van Eylen)
K00041.01,KOI-41,Kepler-100 c,Gaia DR3 2101733244046205568       ,12.815893,0.000008,0.0137932,0.000168,0.014026,7.90E-05,0.000601,0.013445775,0.000131194,0.00010093
K00041.02,KOI-41,Kepler-100 b,Gaia DR3 2101733244046205568       ,6.887062,0.000007,0.0082278,0.0001469,0.008062,0.001336,0.000227,0.007897869,0.00040951,0.000176509
K00041.03,KOI-41,Kepler-100 d,Gaia DR3 2101733244046205568       ,35.333093,0.000019,0.0103546,0.0002224,0.009209,0.002335,0.000349,0.009168564,0.000384615,0.000197729
K00046.02,KOI-46,Kepler-101 c,Gaia DR3 2131709921047710336       ,6.029792,0.00002,0.0073128,0.0007421,0.006862,0.000255,0.000539,0,0,0
K00049.01,KOI-49,Kepler-461 b,Gaia DR3 2126801563705846528       ,8.313784,0.000015,0.0286729,0.0009586,0.025915,0.000346,0.00029,0,0,0
K00069.01,KOI-69,Kepler-93 b,Gaia DR3 2052747119115620352       ,4.726739,0.000001,0.0151309,0.0001247,0.015858,0.000197,0.000809,0.014863227,9.94E-05,4.42E-05
K00070.01,KOI-70,Kepler-20 A c,Gaia DR3 2102548708017562112       ,10.854089,0.000003,0.0290471,0.0001932,0.029956,0.001821,0.000609,0,0,0
K00070.02,KOI-70,Kepler-20 A b,Gaia DR3 2102548708017562112       ,3.696115,0.000001,0.0182169,0.0002168,0.020874,0.001408,0.002266,0,0,0
K00070.03,KOI-70,Kepler-20 A d,Gaia DR3 2102548708017562112       ,77.611598,0.000019,0.0262888,0.0003397,0.025923,0.000539,0.000257,0,0,0
K00070.05,KOI-70,Kepler-20 A f,Gaia DR3 2102548708017562112       ,19.577627,0.00002,0.0091348,0.000356,0.009811,0.000402,0.000317,0,0,0
K00072.02,KOI-72,Kepler-10 c,Gaia DR3 2132155017099178624       ,45.294321,0.000018,0.0209265,0.000221,0.019777,0.000265,9.20E-05,0.019955325,0.000523458,0.000203783
K00082.01,KOI-82,Kepler-102 e,Gaia DR3 2119583201145735808       ,16.145672,0.000005,0.0281257,0.0004015,0.03053,0.001286,0.001962,0,0,0
K00082.02,KOI-82,Kepler-102 d,Gaia DR3 2119583201145735808       ,10.311741,0.000005,0.0151911,0.0003436,0.016946,0.000248,0.001843,0,0,0
K00085.01,KOI-85,Kepler-65 c,Gaia DR3 2102119176929154304       ,5.859939,0.000001,0.0168953,0.0001023,0.016394,0.000135,6.80E-05,0.016814724,0.000260487,0.000150943
K00085.02,KOI-85,Kepler-65 b,Gaia DR3 2102119176929154304       ,2.154911,0.000001,0.0092337,8.55E-05,0.009656,0.000594,0.000438,0.009216847,9.26E-05,7.59E-05
K00085.03,KOI-85,Kepler-65 d,Gaia DR3 2102119176929154304       ,8.131227,0.000005,0.0101687,0.0001028,0.011306,0,0.001256,0.00985064,0.000363381,0.000243223
K00092.01,KOI-92,KOI-92.01,Gaia DR3 2105135854577044480       ,65.704594,0.000018,0.026343,0.0005619,0.024259,0.001545,0.000809,0.026158138,0.000800353,0.000821784
K00094.02,KOI-94,Kepler-89 A c,Gaia DR3 2076970047474270208       ,10.423684,0.000005,0.0266356,0.0006206,0.025851,0.000369,0.000148,0,0,0
K00094.04,KOI-94,Kepler-89 A b,Gaia DR3 2076970047474270208       ,3.743176,0.000003,0.0105429,0.0001833,0.010942,0.001009,0.000531,0,0,0
K00102.01,KOI-102,KOI-102.01,Gaia DR3 2076121602454770560       ,1.735136,0,0.0337911,0.0002593,0.027951,0.000146,6.10E-05,0,0,0
K00104.01,KOI-104,Kepler-94 b,Gaia DR3 2119602202081351168       ,2.508057,0,0.0389681,0.0001878,0.03744,0.000372,0.001718,0,0,0
K00105.01,KOI-105,Kepler-463 b,Gaia DR3 2079192121810035840       ,8.981015,0.000002,0.0312899,0.0004404,0.031006,2.00E-05,0.001065,0,0,0
K00107.01,KOI-107,Kepler-464 b,Gaia DR3 2134798444914611712       ,7.256964,0.000011,0.019813,0.0004059,0.019494,0.000282,0.000105,0.019689191,0.000418048,0.00030604
K00108.01,KOI-108,Kepler-103 b,Gaia DR3 2101243789577188736       ,15.965333,0.000013,0.0220533,0.0002473,0.020046,0.000211,7.90E-05,0.021956717,0.00034236,0.000208512
K00110.01,KOI-110,Kepler-465 b,Gaia DR3 2107236613280607104       ,9.940663,0.000014,0.021585,0.0006186,0.02114,0.000174,7.50E-05,0,0,0
K00111.01,KOI-111,Kepler-104 A b,Gaia DR3 2102454253097554304       ,11.427551,0.000005,0.0208727,0.0002431,0.020712,0.000176,0.000127,0,0,0
K00111.02,KOI-111,Kepler-104 A c,Gaia DR3 2102454253097554304       ,23.66835,0.000013,0.0199257,0.0002581,0.020567,3.70E-05,0.00088,0,0,0
K00111.03,KOI-111,Kepler-104 A d,Gaia DR3 2102454253097554304       ,51.755294,0.000018,0.0231631,0.000309,0.022948,0.001832,0.00041,0,0,0
K00112.01,KOI-112,Kepler-466 b,Gaia DR3 2134719834131370496       ,51.079265,0.000022,0.0282307,0.0005691,0.02468,0.000418,0.000163,0,0,0
K00112.02,KOI-112,Kepler-466 c,Gaia DR3 2134719834131370496       ,3.709213,0.000012,0.0116375,0.0002963,0.010549,0.00029,0.000189,0,0,0
K00115.01,KOI-115,Kepler-105 b,Gaia DR3 2130368310704421120       ,5.412206,0.000002,0.0234805,0.0002592,0.022571,0.000319,0.000224,0,0,0
K00115.02,KOI-115,Kepler-105 c,Gaia DR3 2130368310704421120       ,7.125936,0.000006,0.0132583,0.0002203,0.012899,0.000299,0.000187,0,0,0
K00116.01,KOI-116,Kepler-106 c,Gaia DR3 2082074942519913344       ,13.570778,0.000009,0.0230094,0.0003672,0.020888,0.000355,0.000261,0,0,0
K00116.02,KOI-116,Kepler-106 e,Gaia DR3 2082074942519913344       ,43.844448,0.000019,0.0233826,0.0003201,0.022959,0.002246,0.000529,0,0,0
K00116.04,KOI-116,Kepler-106 d,Gaia DR3 2082074942519913344       ,23.980232,0.00002,0.0096207,0.0003604,0.008834,0.000363,0.000492,0,0,0
K00117.01,KOI-117,Kepler-107 e,Gaia DR3 2086625752425381632       ,14.749136,0.000011,0.0188432,0.000239,0.019894,0.000415,0.001217,0.018977908,0.000226891,0.000148141
K00117.02,KOI-117,Kepler-107 c,Gaia DR3 2086625752425381632       ,4.901438,0.000006,0.0106106,0.000171,0.011954,0.00044,0.001193,0.010804269,0.000213094,0.000221092
K00117.03,KOI-117,Kepler-107 b,Gaia DR3 2086625752425381632       ,3.18002,0.000002,0.0101072,0.0001669,0.010088,0.000251,0.00021,0.010261309,0.000204442,0.000126842
K00117.04,KOI-117,Kepler-107 d,Gaia DR3 2086625752425381632       ,7.958297,0.000018,0.0061411,0.0002928,0.00694,0.000288,0.000304,0.006908766,0.000345518,0.000326941
K00118.01,KOI-118,Kepler-467 b,Gaia DR3 2099605968225288960       ,24.993239,0.000021,0.0158167,0.0006156,0.015403,0.001936,0.000387,0.015241992,0.000782911,0.000425561
K00122.01,KOI-122,Kepler-95 b,Gaia DR3 2106705269988803072       ,11.523073,0.000005,0.0204782,0.0002128,0.020278,0.000239,0.000139,0.02078208,0.00046844,0.000151321
K00123.01,KOI-123,Kepler-109 b,Gaia DR3 2101175933393051008       ,6.481639,0.000003,0.0164629,0.0002406,0.015884,0.000313,0.000145,0.015993324,0.000464641,0.000111475
K00123.02,KOI-123,Kepler-109 c,Gaia DR3 2101175933393051008       ,21.222602,0.000013,0.0179728,0.0001798,0.017316,0.000246,9.10E-05,0.018018052,0.000221235,0.000181979
K00124.01,KOI-124,Kepler-110 b,Gaia DR3 2128925579652377472       ,12.691049,0.000015,0.015836,0.0002493,0.014711,0.000277,0.000186,0,0,0
K00124.02,KOI-124,Kepler-110 c,Gaia DR3 2128925579652377472       ,31.719825,0.000018,0.0190588,0.0003164,0.017582,0.000362,0.0002,0,0,0
K00137.03,KOI-137,Kepler-18 b,Gaia DR3 2079295583282164992       ,3.504713,0.000003,0.0163997,0.00028,0.018319,0.002312,0.001802,0,0,0
K00139.02,KOI-139,Kepler-111 b,Gaia DR3 2126569051355142656       ,3.341802,0.000005,0.0112406,0.0002833,0.014025,0.000679,0.002198,0,0,0
K00144.01,KOI-144,Kepler-472 b,Gaia DR3 2073277200237694464       ,4.176255,0.000002,0.0327019,0.0002627,0.037569,0.001322,0.00323,0,0,0
K00148.01,KOI-148,Kepler-48 b,Gaia DR3 2075112109039378688       ,4.778006,0.000003,0.0194458,0.000325,0.020317,0.001275,0.000493,0,0,0
K00148.02,KOI-148,Kepler-48 c,Gaia DR3 2075112109039378688       ,9.673944,0.000004,0.0279517,0.0004586,0.028013,0.000419,0.000181,0,0,0
K00148.03,KOI-148,Kepler-48 d,Gaia DR3 2075112109039378688       ,42.89607,0.000019,0.020856,0.0003435,0.021677,0.000617,0.000255,0,0,0
K00150.01,KOI-150,Kepler-112 b,Gaia DR3 2078722600285671936       ,8.408874,0.000005,0.0262614,0.0003058,0.026028,0.000255,0.000162,0,0,0
K00150.02,KOI-150,Kepler-112 c,Gaia DR3 2078722600285671936       ,28.574262,0.000018,0.0276505,0.0003249,0.026821,0.000382,0.000338,0,0,0
K00153.01,KOI-153,Kepler-113 c,Gaia DR3 2133369840008452224       ,8.925083,0.000004,0.0300394,0.0004554,0.032747,9.00E-06,0.003893,0,0,0
K00153.02,KOI-153,Kepler-113 b,Gaia DR3 2133369840008452224       ,4.754004,0.000002,0.0252955,0.0003641,0.024604,0.000515,0.000393,0,0,0
K00157.02,KOI-157,Kepler-11 d,Gaia DR3 2076960598545789824       ,22.687159,0.000014,0.0282097,0.0005608,0.02854,0.000522,0.000366,0,0,0
K00157.06,KOI-157,Kepler-11 b,Gaia DR3 2076960598545789824       ,10.304021,0.000012,0.0156464,0.0003009,0.016189,0.000351,0.000223,0,0,0
K00159.01,KOI-159,Kepler-115 c,Gaia DR3 2079368391569401600       ,8.990883,0.000017,0.0195354,0.0003546,0.019692,0.000389,0.000206,0,0,0
K00159.02,KOI-159,Kepler-115 b,Gaia DR3 2079368391569401600       ,2.403633,0.000016,0.0090059,0.000762,0.008435,0.000274,0.00048,0,0,0
K00161.01,KOI-161,Kepler-475 b,Gaia DR3 2100597143598879616       ,3.105507,0.000001,0.0290793,0.0004636,0.028977,8.00E-05,0.002045,0,0,0
K00167.01,KOI-167,Kepler-480 b,Gaia DR3 2135044568018500096       ,4.919583,0.000009,0.0186857,0.0002487,0.019091,0.000146,0.000263,0,0,0
K00168.02,KOI-168,Kepler-23 d,Gaia DR3 2135019107451751168       ,15.274369,0.000014,0.0135473,0.0002112,0.013502,0.000338,0.000262,0.013223968,0.000388581,0.000322362
K00171.01,KOI-171,Kepler-116 b,Gaia DR3 2078272831307891456       ,5.968714,0.000012,0.0221212,0.0002981,0.021715,0.001478,0.000456,0,0,0
K00171.02,KOI-171,Kepler-116 c,Gaia DR3 2078272831307891456       ,13.07148,0.000021,0.0165123,0.0004902,0.014426,0.000496,0.000233,0,0,0
K00172.01,KOI-172,Kepler-69 b,Gaia DR3 2126436800722944000       ,13.722374,0.000019,0.0223964,0.0004814,0.022166,0.00033,0.000334,0,0,0
K00173.01,KOI-173,Kepler-481 b,Gaia DR3 2129753580626548736       ,10.060826,0.000016,0.0201036,0.0006242,0.020903,1.70E-05,0.001179,0,0,0
K00174.01,KOI-174,Kepler-482 b,Gaia DR3 2086629463276947456       ,56.354185,0.000019,0.0338763,0.0013008,0.030152,0.004579,0.001306,0,0,0
K00176.01,KOI-176,Kepler-483 b,Gaia DR3 2101719263935952768       ,30.229106,0.000019,0.0195193,0.0005701,0.019776,8.70E-05,0.000633,0,0,0
K00180.01,KOI-180,Kepler-484 b,Gaia DR3 2107243072911617024       ,10.045571,0.000015,0.0242785,0.0007172,0.023526,0.000405,0.000171,0,0,0
K00191.02,KOI-191,KOI-191.02,Gaia DR3 2076692386427776768       ,2.418405,0.000003,0.0248711,0.0006545,0.029317,0.000311,0.003934,0,0,0
K00191.04,KOI-191,Kepler-487 c,Gaia DR3 2076692386427776768       ,38.651995,0.00002,0.0213875,0.0010174,0.02761,0.000866,0.004959,0,0,0
K00232.02,KOI-232,Kepler-122 b,Gaia DR3 2053070616052194304       ,5.766165,0.000007,0.0172517,0.0004308,0.01773,0.000331,0.000208,0,0,0
K00232.03,KOI-232,Kepler-122 d,Gaia DR3 2053070616052194304       ,21.587868,0.00002,0.016142,0.0005919,0.014626,0.000649,0.000322,0,0,0
K00232.04,KOI-232,Kepler-122 e,Gaia DR3 2053070616052194304       ,37.996389,0.00002,0.0166047,0.0005821,0.018653,0.000417,0.003306,0,0,0
K00232.05,KOI-232,Kepler-122 f,Gaia DR3 2053070616052194304       ,56.25879,0.00002,0.0170975,0.00052,0.017493,0.000327,0.000608,0,0,0
K00238.01,KOI-238,Kepler-123 b,Gaia DR3 2078697552035948800       ,17.232309,0.000018,0.0223143,0.0006244,0.021011,0.000489,0.000327,0,0,0
K00238.02,KOI-238,Kepler-123 c,Gaia DR3 2078697552035948800       ,26.695166,0.00002,0.0114187,0.0013588,0.010946,0.000561,0.000537,0,0,0
K00245.01,KOI-245,Kepler-37 d,Gaia DR3 2106674071344722688       ,39.792232,0.000009,0.0230382,0.0003205,0.022246,0.000294,0.000104,0.022785991,0.000289352,0.000241276
K00246.01,KOI-246,Kepler-68 A b,Gaia DR3 2129550445852902656       ,5.398752,0.000001,0.0174596,0.0001505,0.016869,0.000121,4.10E-05,0.01741999,0.000179393,0.000114723
K00257.01,KOI-257,Kepler-506 b,Gaia DR3 2103452266056715392       ,6.883407,0.000002,0.023303,0.0002494,0.020603,0.000195,0.00013,0.023572877,0.000208695,0.000218459
K00260.01,KOI-260,Kepler-126 b,Gaia DR3 2126918008858627712       ,10.495672,0.000008,0.0100865,0.0001164,0.010367,1.70E-05,0.0006,0.009801322,0.000119736,8.12E-05
K00260.03,KOI-260,Kepler-126 c,Gaia DR3 2126918008858627712       ,21.869693,0.000015,0.0106422,0.0001516,0.010545,0.000769,0.000609,0.010202141,0.000323555,0.000404353
K00261.01,KOI-261,Kepler-96 b,Gaia DR3 2073731161099713408       ,16.238475,0.000005,0.0255933,0.0003015,0.023035,0.000211,0.000198,0.025796192,0.000265209,0.000248527
K00265.01,KOI-265,Kepler-507 b,Gaia DR3 2135314184585149696       ,3.568096,0.000008,0.0094359,0.0004369,0.0092,0.000239,0.000167,0,0,0
K00269.01,KOI-269,KOI-269.01,Gaia DR3 2105620159389754624       ,18.011664,0.000015,0.0097364,0.0003862,0.011054,0.000129,0.001438,0.009787217,0.000341728,0.000264215
K00271.01,KOI-271,Kepler-127 d,Gaia DR3 2107266570672734592       ,48.630393,0.000019,0.0183983,0.0002366,0.017145,0.000241,0.000217,0.017986654,0.000640128,0.000325374
K00271.03,KOI-271,Kepler-127 b,Gaia DR3 2107266570672734592       ,14.435942,0.000016,0.0102418,0.0002854,0.00987,0.000128,0.000361,0.010275355,0.000289026,0.000801974
K00273.01,KOI-273,Kepler-454 A b,Gaia DR3 2099541715513813504       ,10.573747,0.000007,0.0201213,0.000586,0.015743,0.0005,0.000202,0.019815502,0.000674328,0.000565336
K00275.01,KOI-275,Kepler-129 b,Gaia DR3 2131494313689868416       ,15.79193,0.000019,0.0132485,0.0002817,0.012824,0.000277,0.000178,0.013383262,0.000279201,0.000197524
K00275.02,KOI-275,Kepler-129 c,Gaia DR3 2131494313689868416       ,82.200009,0.00002,0.0148086,0.0005372,0.013406,0.000484,0.00018,0.014011089,0.000460091,0.000352455
K00276.01,KOI-276,Kepler-509 b,Gaia DR3 2129495057954829952       ,41.746,0.000017,0.0201059,0.0004306,0.018713,0.000249,0.000147,0.020543119,0.00039702,0.001459337
K00279.02,KOI-279,Kepler-450 c,Gaia DR3 2135590578620605568       ,15.413104,0.000013,0.0151226,0.0001974,0.014501,0.000136,0.000264,0.015277256,0.00013276,0.000113845
K00280.01,KOI-280,Kepler-1655 b,Gaia DR3 2100392428275714688       ,11.872891,0.000006,0.019791,0.0002934,0.017014,0.000141,0.00012,0.019292127,0.000366552,0.000465685
K00281.01,KOI-281,Kepler-510 b,Gaia DR3 2099656472742686848       ,19.55659,0.000014,0.0158805,0.0002629,0.016465,0.001356,0.000606,0.015600167,0.000540432,0.000236935
K00282.02,KOI-282,Kepler-130 A b,Gaia DR3 2101305259145506816       ,8.457451,0.000012,0.00844,0.0003192,0.008371,0.000229,0.000192,0.007929106,0.000224517,0.000281284
K00282.03,KOI-282,Kepler-130 A d,Gaia DR3 2101305259145506816       ,87.517436,0.00002,0.0161515,0.0044995,0.011099,0.000535,0.000622,0.010613601,0.001466788,0.000973819
K00283.01,KOI-283,Kepler-131 b,Gaia DR3 2102110174677569664       ,16.091981,0.000009,0.0212462,0.0003783,0.018914,0.000314,0.0001,0,0,0
K00284.01,KOI-284,Kepler-132 A d,Gaia DR3 2104466256290759936       ,18.010173,0.000016,0.0178773,0.0006161,0.012346,0.000335,0.000226,0,0,0
K00284.02,KOI-284,Kepler-132 A c,Gaia DR3 2104466256290759936       ,6.414909,0.000008,0.0128556,0.0003969,0.010907,1.90E-05,0.00083,0,0,0
K00284.03,KOI-284,Kepler-132 A b,Gaia DR3 2104466256290759936       ,6.178258,0.000008,0.0116696,0.000406,0.009122,0.000217,0.000626,0,0,0
K00285.01,KOI-285,Kepler-92 b,Gaia DR3 2102224661326132864       ,13.748833,0.000015,0.0197765,0.0002645,0.019236,7.40E-05,0.00076,0.019450517,0.000177172,0.000683642
K00285.02,KOI-285,Kepler-92 c,Gaia DR3 2102224661326132864       ,26.7232,0.000019,0.0130817,0.0002597,0.012738,0.000238,0.000167,0.013086286,0.000264378,0.000267953
K00285.03,KOI-285,Kepler-92 d,Gaia DR3 2102224661326132864       ,49.356885,0.000019,0.0109187,0.0003911,0.01071,0.00033,0.000189,0.011016287,0.000366408,0.000290364
K00291.01,KOI-291,Kepler-133 c,Gaia DR3 2086718317558873984       ,31.517801,0.00002,0.0198646,0.0008204,0.017998,0.002062,0.001036,0,0,0
K00291.02,KOI-291,Kepler-133 b,Gaia DR3 2086718317558873984       ,8.129994,0.000018,0.0177128,0.0015777,0.011417,0.000133,0.000704,0,0,0
K00292.01,KOI-292,Kepler-97 b,Gaia DR3 2131216137248338304       ,2.586638,0.000002,0.0139112,0.0003413,0.015166,6.60E-05,0.001366,0,0,0
K00294.01,KOI-294,Kepler-512 b,Gaia DR3 2086940448965828992       ,34.435879,0.000019,0.0196722,0.0009749,0.018814,0.000399,0.000259,0,0,0
K00295.01,KOI-295,Kepler-134 b,Gaia DR3 2132215421518219392       ,5.317436,0.000005,0.016126,0.0003006,0.015421,0.000317,0.000159,0,0,0
K00295.02,KOI-295,Kepler-134 c,Gaia DR3 2132215421518219392       ,10.105764,0.000017,0.0107774,0.0007959,0.009753,0.000325,0.000348,0,0,0
K00296.01,KOI-296,Kepler-513 b,Gaia DR3 2132325200882204544       ,28.862357,0.000023,0.0192779,0.0007239,0.01929,0.000562,0.000305,0,0,0
K00297.01,KOI-297,Kepler-514 A b,Gaia DR3 2133611659549905024       ,5.651799,0.000009,0.0116044,0.0005029,0.010764,0.000283,0.000127,0,0,0
K00299.01,KOI-299,Kepler-98 b,Gaia DR3 2099862910348755712       ,1.541678,0.000001,0.0160803,0.0002503,0.018805,0.000133,0.002241,0,0,0
K00304.01,KOI-304,Kepler-518 b,Gaia DR3 2100906140725803392       ,8.512033,0.000004,0.0247432,0.0003362,0.022001,0.000296,0.000114,0,0,0
K00305.01,KOI-305,Kepler-99 B b,Gaia DR3 2076871091425583232       ,4.603576,0.000002,0.0188765,0.0003688,0.022491,0.000279,0.002864,0,0,0
K00306.01,KOI-306,Kepler-519 A b,Gaia DR3 2075161655782111872       ,24.307892,0.000015,0.025247,0.0013088,0.023699,0.000582,0.000246,0,0,0
K00307.01,KOI-307,Kepler-520 b,Gaia DR3 2077598384004774912       ,19.674162,0.000019,0.0215047,0.0009159,0.013934,0.002231,0.000592,0,0,0
K00307.02,KOI-307,Kepler-520 c,Gaia DR3 2077598384004774912       ,5.211036,0.000013,0.0139191,0.0004866,0.009331,0.000315,0.000127,0,0,0
K00313.01,KOI-313,Kepler-137 c,Gaia DR3 2104847370214740352       ,18.735746,0.000016,0.0243271,0.0003979,0.024325,0.000108,0.002275,0,0,0
K00313.02,KOI-313,Kepler-137 b,Gaia DR3 2104847370214740352       ,8.436393,0.00001,0.0172864,0.0002633,0.018799,0.000259,0.001634,0,0,0
K00316.01,KOI-316,Kepler-139 b,Gaia DR3 2105362903731391744       ,15.771129,0.000014,0.0211049,0.000248,0.020826,0.000367,0.000147,0,0,0
K00316.03,KOI-316,KOI-316.03,Gaia DR3 2105362903731391744       ,7.305705,0.000008,0.0176958,0.000488,0.014849,0.000538,0.000248,0,0,0
K00317.01,KOI-317,Kepler-521 b,Gaia DR3 2079005651508492032       ,22.208119,0.000015,0.0207225,0.0002646,0.019975,0.000219,0.00016,0,0,0
K00321.01,KOI-321,Kepler-406 b,Gaia DR3 2126601108991279872       ,2.426305,0.000001,0.0125281,0.0001612,0.012465,0.000267,0.000169,0,0,0
K00323.01,KOI-323,Kepler-523 b,Gaia DR3 2106821925598401152       ,5.835989,0.000004,0.0230575,0.0005478,0.021113,0.000664,0.000254,0,0,0
K00343.01,KOI-343,Kepler-142 c,Gaia DR3 2128724678262662144       ,4.761706,0.000003,0.0207526,0.0003136,0.020461,0.000264,9.90E-05,0,0,0
K00343.02,KOI-343,Kepler-142 b,Gaia DR3 2128724678262662144       ,2.024144,0.000001,0.0144379,0.0002467,0.014564,0.000949,0.000365,0,0,0
K00343.03,KOI-343,Kepler-142 d,Gaia DR3 2128724678262662144       ,41.808766,0.00002,0.0118449,0.0004786,0.010555,0.000757,0.00036,0,0,0
K00351.03,KOI-351,Kepler-90 d,Gaia DR3 2132193431285570304       ,59.737034,0.00002,0.0216712,0.000643,0.022125,0.000585,0.000293,0,0,0
K00351.04,KOI-351,Kepler-90 e,Gaia DR3 2132193431285570304       ,91.940461,0.00002,0.0198068,0.0006755,0.020172,0.000553,0.000457,0,0,0
K00351.05,KOI-351,Kepler-90 c,Gaia DR3 2132193431285570304       ,8.719817,0.000016,0.0108678,0.000485,0.011168,0.000534,0.000317,0,0,0
K00351.06,KOI-351,Kepler-90 b,Gaia DR3 2132193431285570304       ,7.008284,0.000016,0.0098898,0.000583,0.010032,0.00046,0.000383,0,0,0
K00365.01,KOI-365,Kepler-538 A b,Gaia DR3 2087171453788422528       ,81.737807,0.00002,0.0241374,0.0002797,0.022911,0.000244,0.000113,0,0,0
K00370.02,KOI-370,Kepler-145 b,Gaia DR3 2126237131982289280       ,22.950686,0.000018,0.0120378,0.0005272,0.01088,0.00021,0.000365,0.012434472,0.000487635,0.001377838
K00377.03,KOI-377,Kepler-9 d,Gaia DR3 2099925719951103872       ,1.592957,0.000001,0.0148356,0.000381,0.014209,0.000537,0.000177,0,0,0
K00379.02,KOI-379,KOI-379.02,,23.137662,0.00002,0.007157,0.0052003,0.011319,0.002308,0.000756,0,0,0
K00384.01,KOI-384,Kepler-541 b,Gaia DR3 2052168466766597120       ,5.080068,0.000014,0.0140605,0.0005329,0.014743,0.001057,0.000705,0,0,0
K00386.01,KOI-386,Kepler-146 b,Gaia DR3 2052185062520374272       ,31.158789,0.000019,0.029662,0.0007106,0.027888,0.002403,0.000555,0,0,0
K00386.02,KOI-386,Kepler-146 c,Gaia DR3 2052185062520374272       ,76.732517,0.00002,0.0257895,0.0012929,0.025137,0.00051,0.000761,0,0,0
K00408.01,KOI-408,Kepler-150 c,Gaia DR3 2102063136195478656       ,7.381981,0.000007,0.0355103,0.0005299,0.036401,0.002126,0.000765,0,0,0
K00408.02,KOI-408,Kepler-150 d,Gaia DR3 2102063136195478656       ,12.560935,0.000013,0.0275049,0.0005639,0.028343,0.000736,0.000281,0,0,0
K00408.03,KOI-408,Kepler-150 e,Gaia DR3 2102063136195478656       ,30.826486,0.000019,0.0273259,0.0007103,0.029016,0.000181,0.003254,0,0,0
K00408.04,KOI-408,Kepler-150 b,Gaia DR3 2102063136195478656       ,3.428057,0.00001,0.0132748,0.0005687,0.013171,0.000574,0.000375,0,0,0
K00416.01,KOI-416,Kepler-152 b,Gaia DR3 2105435544515167232       ,18.207957,0.000015,0.0382589,0.0005863,0.037203,4.00E-06,0.001188,0,0,0
K00416.02,KOI-416,Kepler-152 c,Gaia DR3 2105435544515167232       ,88.255355,0.000019,0.0355083,0.0011641,0.030838,0.000706,0.000668,0,0,0
K00435.03,KOI-435,Kepler-154 b,Gaia DR3 2133022669212268800       ,33.040569,0.00002,0.0238126,0.0014626,0.021685,0.000878,0.00076,0,0,0
K00435.04,KOI-435,Kepler-154 e,Gaia DR3 2133022669212268800       ,3.932756,0.000005,0.0153082,0.0005868,0.014249,0.000315,0.000612,0,0,0
K00435.05,KOI-435,Kepler-154 c,Gaia DR3 2133022669212268800       ,62.302788,0.00002,0.0265827,0.001037,0.030064,0.002389,0.002454,0,0,0
K00435.06,KOI-435,Kepler-154 f,Gaia DR3 2133022669212268800       ,9.919346,0.000019,0.0123356,0.0007774,0.013894,0.002946,0.001689,0,0,0
K00440.01,KOI-440,Kepler-156 c,Gaia DR3 2051105410816218368       ,15.906867,0.000018,0.0261369,0.001351,0.02994,0.002592,0.001895,0,0,0
K00440.02,KOI-440,Kepler-156 b,Gaia DR3 2051105410816218368       ,4.973444,0.00001,0.0280884,0.0010611,0.029844,0.000467,0.004097,0,0,0
K00446.01,KOI-446,Kepler-158 b,Gaia DR3 2103295173333142784       ,16.709196,0.000016,0.0297081,0.000843,0.034734,0.000694,0.007144,0,0,0
K00446.02,KOI-446,Kepler-158 c,Gaia DR3 2103295173333142784       ,28.551561,0.000018,0.0253938,0.0009264,0.026045,0.004834,0.001074,0,0,0
K00448.01,KOI-448,Kepler-159 b,Gaia DR3 2076764576237957504       ,10.13962,0.000009,0.0331048,0.0005627,0.034286,1.00E-05,0.002528,0,0,0
K00456.02,KOI-456,Kepler-160 b,Gaia DR3 2102587087846067712       ,4.309241,0.000007,0.0144952,0.0006178,0.018836,0.001958,0.001759,0,0,0
K00464.02,KOI-464,Kepler-561 c,Gaia DR3 2126454633427425664       ,5.350165,0.000004,0.0266052,0.0003454,0.025593,0.000544,0.000216,0,0,0
K00475.01,KOI-475,Kepler-165 b,Gaia DR3 2119814820141727232       ,8.180865,0.000016,0.0253939,0.0008352,0.029839,0.000524,0.003958,0,0,0
K00475.02,KOI-475,Kepler-165 c,Gaia DR3 2119814820141727232       ,15.312983,0.000019,0.029684,0.0009194,0.027124,0.000933,0.0004,0,0,0
K00481.01,KOI-481,Kepler-166 b,Gaia DR3 2129025841368107136       ,7.650236,0.000007,0.0297301,0.0004976,0.02878,0.00051,0.000225,0,0,0
K00481.02,KOI-481,Kepler-166 d,Gaia DR3 2129025841368107136       ,1.554003,0.000002,0.0188228,0.0003173,0.019023,0.000471,0.000253,0,0,0
K00481.03,KOI-481,Kepler-166 c,Gaia DR3 2129025841368107136       ,34.25952,0.000018,0.0301925,0.0006176,0.030068,0.000735,0.000343,0,0,0
K00490.01,KOI-490,Kepler-167 A b,Gaia DR3 2051933102555095936       ,4.393153,0.000004,0.0184015,0.0004468,0.019357,0.000688,0.000219,0,0,0
K00490.03,KOI-490,Kepler-167 A c,Gaia DR3 2051933102555095936       ,7.406109,0.000008,0.0181944,0.000476,0.019899,0.001873,0.001367,0,0,0
