KOI,Host KOI,Kepler name,Host Gaia ID,P (VanHo),P pme (VanHo,PSR (VanHo),PSR pme (VanHo),PSR (Fulton),PSR pe (Fulton),PSR me (Fulton),PSR (Van Eylen),PSR pe (Van Eylen),PSR me (Van Eylen)
K00880.03,KOI-880,Kepler-82 e,Gaia DR3 2125850623586710400       ,5.902252,0.000006,0.0235099,0.0005947,0.025211,0.000432,0.000335,0,0,0
K00880.04,KOI-880,Kepler-82 d,Gaia DR3 2125850623586710400       ,2.382954,0.000003,0.0145251,0.0004267,0.017484,0.000454,0.000266,0,0,0
K00881.01,KOI-881,Kepler-712 b,Gaia DR3 2077961463362645632       ,21.022471,0.000017,0.0391029,0.0008492,0.039816,0.001159,0.000575,0,0,0
K00884.03,KOI-884,Kepler-247 b,Gaia DR3 2102911581215700096       ,3.336125,0.000004,0.0196232,0.000699,0.019064,0.00078,0.000358,0,0,0
K00896.01,KOI-896,Kepler-248 c,Gaia DR3 2126266823097360000       ,16.239471,0.000013,0.0459894,0.0007084,0.046223,0.00087,0.000339,0,0,0
K00896.02,KOI-896,Kepler-248 b,Gaia DR3 2126266823097360000       ,6.308197,0.000007,0.0327486,0.0004931,0.034583,0.002262,0.000773,0,0,0
K00896.03,KOI-896,KOI-896.03,Gaia DR3 2126266823097360000       ,28.867136,0.000019,0.0164424,0.002306,0.016197,0.001165,0.000731,0,0,0
K00907.01,KOI-907,Kepler-251 c,Gaia DR3 2078832551450444032       ,16.514133,0.000017,0.02844,0.0006601,0.030629,0.000732,0.00037,0,0,0
K00907.02,KOI-907,Kepler-251 d,Gaia DR3 2078832551450444032       ,30.132939,0.000018,0.0295369,0.0007899,0.036214,0.000171,0.004524,0,0,0
K00907.03,KOI-907,Kepler-251 b,Gaia DR3 2078832551450444032       ,4.790919,0.000014,0.0143647,0.0007907,0.015386,0.000693,0.000394,0,0,0
K00907.04,KOI-907,Kepler-251 e,Gaia DR3 2078832551450444032       ,99.640965,0.000021,0.0319982,0.0017384,0.033208,0.00544,0.002141,0,0,0
K00921.01,KOI-921,Kepler-253 c,Gaia DR3 2126576679217244160       ,10.281933,0.000015,0.0293121,0.0008381,0.031333,0.000729,0.000773,0,0,0
K00921.02,KOI-921,Kepler-253 d,Gaia DR3 2126576679217244160       ,18.119898,0.000018,0.0345614,0.0010641,0.036703,0.005883,0.001139,0,0,0
K00921.03,KOI-921,Kepler-253 b,Gaia DR3 2126576679217244160       ,3.784031,0.000008,0.0200979,0.0008487,0.019591,0.001,0.000427,0,0,0
K00934.01,KOI-934,Kepler-254 b,Gaia DR3 2130250731680096384       ,5.826654,0.000006,0.0368332,0.0010528,0.03806,0.000458,0.000636,0,0,0
K00934.02,KOI-934,Kepler-254 c,Gaia DR3 2130250731680096384       ,12.412179,0.000019,0.0236751,0.0012922,0.023578,0.000912,0.000464,0,0,0
K00934.03,KOI-934,Kepler-254 d,Gaia DR3 2130250731680096384       ,18.74654,0.000019,0.0257398,0.001286,0.026945,0.000444,0.001193,0,0,0
K00935.04,KOI-935,KOI-935.04,Gaia DR3 2128013019361703936       ,9.6173,0.000019,0.0103124,0.0007979,0.013782,0.000671,0.000428,0,0,0
K00941.01,KOI-941,Kepler-257 c,Gaia DR3 2080246282881778048       ,6.581482,0.000009,0.0428697,0.0009428,0.044931,0.000851,0.000788,0,0,0
K00941.02,KOI-941,Kepler-257 b,Gaia DR3 2080246282881778048       ,2.382652,0.000004,0.0263214,0.000813,0.025163,0.000918,0.000417,0,0,0
K00954.01,KOI-954,Kepler-259 b,Gaia DR3 2130405041264941184       ,8.115286,0.000016,0.0275043,0.0011692,0.027648,0.002239,0.000707,0,0,0
K00954.02,KOI-954,Kepler-259 c,Gaia DR3 2130405041264941184       ,36.924954,0.000019,0.0291059,0.0016714,0.027999,0.000815,0.000441,0,0,0
K00974.01,KOI-974,KOI-974.01,Gaia DR3 2080386917291928832       ,53.505835,0.000019,0.0128473,0.0002617,0.012335,0.000245,0.000112,0.012876367,0.000226143,0.000104673
K00975.01,KOI-975,Kepler-21 A b,Gaia DR3 2099606483621385216       ,2.785818,0,0.0082442,7.09E-05,0.007805,2.70E-05,0.000243,0.008451549,0.00015781,0.000162714
K00987.01,KOI-987,Kepler-743 A b,Gaia DR3 2077994272606400512       ,3.179264,0.000006,0.016135,0.0009996,0.013201,0.00021,0.000396,0,0,0
K00988.01,KOI-988,Kepler-261 b,Gaia DR3 2052528625536778624       ,10.381225,0.000009,0.0267855,0.0003535,0.026397,0.000633,0.000336,0,0,0
K00988.02,KOI-988,Kepler-261 c,Gaia DR3 2052528625536778624       ,24.570817,0.000015,0.0280271,0.0005665,0.024892,0.000583,0.000737,0,0,0
K00991.01,KOI-991,Kepler-744 b,Gaia DR3 2080562667352233728       ,12.062215,0.000014,0.0180419,0.00106,0.016099,0.000424,0.000443,0,0,0
K01001.01,KOI-1001,Kepler-264 b,Gaia DR3 2051738798233021824       ,40.806846,0.00002,0.0158769,0.0003331,0.018577,0.000681,0.002041,0,0,0
K01050.01,KOI-1050,Kepler-755 A b,Gaia DR3 2076782889978499840       ,1.269091,0.000002,0.0184043,0.0004137,0.021192,0.000276,0.003628,0,0,0
K01050.02,KOI-1050,Kepler-755 A c,Gaia DR3 2076782889978499840       ,2.853133,0.000004,0.0180074,0.0006731,0.015337,0.000429,0.000384,0,0,0
K01060.01,KOI-1060,Kepler-758 b,Gaia DR3 2053552270863859712       ,12.109695,0.000018,0.0159526,0.0005696,0.015831,0.000406,0.000443,0,0,0
K01060.02,KOI-1060,Kepler-758 c,Gaia DR3 2053552270863859712       ,4.757961,0.000013,0.0096482,0.0005553,0.011207,4.40E-05,0.000799,0,0,0
K01060.03,KOI-1060,Kepler-758 d,Gaia DR3 2053552270863859712       ,20.496612,0.000021,0.0135719,0.0009471,0.013625,0.000563,0.00055,0,0,0
K01060.04,KOI-1060,Kepler-758 e,Gaia DR3 2053552270863859712       ,8.193476,0.000017,0.0110422,0.0005953,0.009994,0.000474,0.000538,0,0,0
K01102.03,KOI-1102,Kepler-24 e,Gaia DR3 2052823535171095296       ,18.998513,0.000019,0.019811,0.0012431,0.019882,0.000849,0.00066,0,0,0
K01102.04,KOI-1102,Kepler-24 d,Gaia DR3 2052823535171095296       ,4.244376,0.000012,0.0126096,0.0008463,0.013519,0.000141,0.000907,0,0,0
K01127.02,KOI-1127,Kepler-269 c,Gaia DR3 2101854881822529024       ,8.128107,0.000018,0.0172411,0.0022512,0.016074,0.000889,0.000754,0,0,0
K01127.03,KOI-1127,KOI-1127.03,Gaia DR3 2101854881822529024       ,2.836704,0.000016,0.0120963,0.001456,0.012235,0.000582,0.000775,0,0,0
K01198.01,KOI-1198,Kepler-275 c,Gaia DR3 2051950454223150720       ,16.088329,0.000018,0.023246,0.0011342,0.02368,0.000816,0.000433,0,0,0
K01198.02,KOI-1198,Kepler-275 b,Gaia DR3 2051950454223150720       ,10.300658,0.000019,0.0135627,0.0012862,0.016067,0.000622,0.00072,0,0,0
K01198.03,KOI-1198,Kepler-275 d,Gaia DR3 2051950454223150720       ,35.675697,0.00002,0.0157244,0.0018742,0.022012,0.000328,0.001316,0,0,0
K01199.01,KOI-1199,Kepler-786 b,Gaia DR3 2052392835854583936       ,53.529348,0.00002,0.029212,0.0015939,0.030245,0.001316,0.000739,0,0,0
K01203.01,KOI-1203,Kepler-276 c,Gaia DR3 2052304325169514880       ,31.884154,0.00002,0.0241549,0.0011449,0.028153,0.000766,0.001061,0,0,0
K01203.02,KOI-1203,Kepler-276 b,Gaia DR3 2052304325169514880       ,14.128467,0.000017,0.022747,0.0011384,0.023584,0.000692,0.001005,0,0,0
K01215.02,KOI-1215,Kepler-277 c,Gaia DR3 2100389610777053056       ,33.00631,0.00002,0.0161209,0.0007801,0.0151,0.00049,0.000241,0,0,0
K01270.01,KOI-1270,Kepler-57 b,Gaia DR3 2126418658780855296       ,5.729326,0.000005,0.035598,0.0024357,0.033651,0.000145,0.004964,0,0,0
K01279.01,KOI-1279,Kepler-804 b,Gaia DR3 2126432677554353280       ,14.374592,0.000017,0.0172818,0.000687,0.016889,0.000503,0.000203,0,0,0
K01279.02,KOI-1279,Kepler-804 c,Gaia DR3 2126432677554353280       ,9.651851,0.000019,0.0083673,0.0010027,0.010429,0.001357,0.000957,0,0,0
K01282.01,KOI-1282,Kepler-805 b,Gaia DR3 2126508676995012352       ,30.863889,0.000019,0.0150928,0.0004408,0.015804,0.000508,0.001278,0.015039786,0.000607367,0.000469059
K01306.01,KOI-1306,Kepler-286 b,Gaia DR3 2129503716608032256       ,1.796327,0.000003,0.0138188,0.0005579,0.013859,0.000653,0.000359,0,0,0
K01306.02,KOI-1306,Kepler-286 c,Gaia DR3 2129503716608032256       ,3.468077,0.00001,0.0132488,0.0007293,0.014856,0.000598,0.000462,0,0,0
K01306.03,KOI-1306,Kepler-286 d,Gaia DR3 2129503716608032256       ,5.914293,0.000014,0.0134094,0.0008101,0.014884,0.00059,0.000661,0,0,0
K01306.04,KOI-1306,Kepler-286 e,Gaia DR3 2129503716608032256       ,29.221513,0.000019,0.0184054,0.0011181,0.018086,0.000918,0.000827,0,0,0
K01353.02,KOI-1353,Kepler-289 b,Gaia DR3 2078515170549178880       ,34.543847,0.000019,0.0232759,0.0012832,0.019539,0.000729,0.00054,0,0,0
K01364.01,KOI-1364,Kepler-292 f,Gaia DR3 2077140987172577408       ,20.834288,0.000018,0.0256397,0.0009735,0.029409,0.003671,0.001525,0,0,0
K01364.02,KOI-1364,Kepler-292 d,Gaia DR3 2077140987172577408       ,7.055679,0.000009,0.023056,0.0008446,0.025712,0.000914,0.000609,0,0,0
K01364.03,KOI-1364,Kepler-292 e,Gaia DR3 2077140987172577408       ,11.978813,0.000016,0.0237118,0.0009293,0.028641,0.002836,0.00317,0,0,0
K01364.04,KOI-1364,Kepler-292 c,Gaia DR3 2077140987172577408       ,3.715456,0.000006,0.016603,0.0007948,0.017903,0.000789,0.000659,0,0,0
K01364.05,KOI-1364,Kepler-292 b,Gaia DR3 2077140987172577408       ,2.580823,0.000005,0.0152323,0.0008736,0.016478,0.000513,0.000921,0,0,0
K01445.01,KOI-1445,Kepler-853 b,Gaia DR3 2131859244171951616       ,7.16894,0.00001,0.0102591,0.0003373,0.010051,6.70E-05,0.000561,0,0,0
K01486.02,KOI-1486,Kepler-302 b,Gaia DR3 2078195212660287616       ,30.183689,0.000018,0.0285895,0.0010565,0.029821,0.000841,0.000406,0,0,0
K01529.02,KOI-1529,Kepler-59 b,Gaia DR3 2130625287187139072       ,11.869151,0.000019,0.0099335,0.0014283,0.009258,0.000553,0.00045,0,0,0
K01537.01,KOI-1537,KOI-1537.01,Gaia DR3 2119196585370036736       ,10.191548,0.000018,0.009894,0.0005542,0.007654,0.001183,0.000527,0,0,0
K01557.01,KOI-1557,Kepler-304 b,Gaia DR3 2076565805151925760       ,3.295705,0.000002,0.0398516,0.0005356,0.039028,0.003487,0.00081,0,0,0
K01557.02,KOI-1557,Kepler-304 d,Gaia DR3 2076565805151925760       ,9.653473,0.000008,0.0334888,0.000616,0.033395,0.001168,0.000763,0,0,0
K01557.03,KOI-1557,Kepler-304 c,Gaia DR3 2076565805151925760       ,5.315955,0.000005,0.0347268,0.0010818,0.028789,0.00122,0.000643,0,0,0
K01557.04,KOI-1557,Kepler-304 e,Gaia DR3 2076565805151925760       ,1.49915,0.000002,0.0156871,0.0006258,0.014669,0.000688,0.000301,0,0,0
K01563.01,KOI-1563,Kepler-305 b,Gaia DR3 2073547954981763328       ,5.487102,0.000006,0.0314396,0.0010513,0.039932,0.000489,0.003783,0,0,0
K01563.02,KOI-1563,Kepler-305 c,Gaia DR3 2073547954981763328       ,8.29088,0.000012,0.0280606,0.0011807,0.038122,2.60E-05,0.006853,0,0,0
K01563.03,KOI-1563,Kepler-305 e,Gaia DR3 2073547954981763328       ,3.205405,0.000006,0.0190858,0.0009711,0.020829,0.001253,0.000609,0,0,0
K01563.04,KOI-1563,Kepler-305 d,Gaia DR3 2073547954981763328       ,16.738655,0.000019,0.0337772,0.0021504,0.030609,0.001823,0.0009,0,0,0
K01567.01,KOI-1567,Kepler-306 c,Gaia DR3 2102067396802935680       ,7.240222,0.000013,0.0267876,0.0011626,0.027795,0.00092,0.000474,0,0,0
K01567.02,KOI-1567,Kepler-306 b,Gaia DR3 2102067396802935680       ,4.64622,0.000013,0.0176042,0.0011532,0.019546,0.000791,0.000577,0,0,0
K01567.03,KOI-1567,Kepler-306 d,Gaia DR3 2102067396802935680       ,17.326689,0.00002,0.0244408,0.0012651,0.027607,0.000229,0.001446,0,0,0
K01567.04,KOI-1567,Kepler-306 e,Gaia DR3 2102067396802935680       ,44.841224,0.000021,0.0294356,0.0015662,0.029471,0.001078,0.000916,0,0,0
