source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,phot_variable_flag,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2126119862195142272,290.73518685578625,0.016549433236303097,44.091261964156025,0.020251807085722304,0.7700155369953291,0.020569791885269924,14.6130905,0.839715,,,0,"NOT_AVAILABLE",5740.55,5335.12,5881.4473,0.357,1.3553859,1.2912238,1.5692117,1.797358,1.6680156,1.9267005,"Gaia DR2 2126119862195142272",290.73518685578625,44.091261964156025,0.77,3.7774,-10.6455,0.0,2015.5,0.0
2076121602454770560,299.7047433182432,0.01995942904227263,44.43570676805643,0.025862076475768526,2.517730963694421,0.02699660614320125,12.582947,0.88305855,-17.48912946787162,1.8378217316056247,7,"NOT_AVAILABLE",5506.0,5452.03,5725.0,0.311,1.1588197,1.0718582,1.1818758,1.1119143,1.0920856,1.131743,"Gaia DR2 2076121602454770560",299.7047433182432,44.43570676805643,2.5177,-3.1537,-10.3765,-17.4891,2015.5,1.4210854715202004E-14
2106371744306291328,285.0360505841703,0.016234854516696717,45.070990920156845,0.018435635800464603,1.139778550022584,0.019150933896789703,14.721169,0.9588318,,,0,"NOT_AVAILABLE",5414.0,5349.0,5726.87,0.2463,0.99395984,0.88832253,1.0182635,0.7647252,0.72932136,0.80012906,"Gaia DR2 2106371744306291328",285.0360505841703,45.070990920156845,1.1398,-7.937,-12.8543,0.0,2015.5,7.105427357601002E-15
2079880695265507328,295.0902408623545,0.011594292995171535,45.08110449511107,0.013893357074389842,1.8475000125590757,0.014119577959010211,13.55397,1.0278921,,,0,"NOT_AVAILABLE",5136.0,4998.06,5329.0,0.583,1.1903297,1.1056708,1.2569394,0.8882379,0.8674692,0.9090066,"Gaia DR2 2079880695265507328",295.0902408623545,45.08110449511107,1.8475,-1.205,-12.7607,0.0,2015.5,0.0
2127956360152391168,293.79685484932975,0.014734835596797826,45.16072607409524,0.01593433791110744,0.940416015800497,0.017119754263157063,13.2588625,1.200654,,,0,"NOT_AVAILABLE",5007.5425,4876.0,5149.0,,2.85374,2.6990933,3.0097907,4.61341,4.373293,4.853527,"Gaia DR2 2127956360152391168",293.79685484932975,45.16072607409524,0.9404,-0.8251,1.1015,0.0,2015.5,0.0
2080271674728481280,297.14879414559016,0.02251901331573826,46.2969247477267,0.024353942620761532,4.103657577113269,0.024690143778320274,11.822748,0.9793215,-19.240162560795696,0.8668961430121049,6,"NOT_AVAILABLE",5417.1636,5300.75,5549.49,0.3445,1.0474055,0.99805063,1.0939163,0.85116196,0.8423644,0.85995954,"Gaia DR2 2080271674728481280",297.14879414559016,46.2969247477267,4.1037,-2.4888,-1.3419,-19.2402,2015.5,7.105427357601002E-15
2107244481660894592,284.3427250044163,0.022007681501700974,46.31659068687092,0.030108672206424155,1.6512660881192782,0.026215780421226947,15.198786,1.2865162,,,0,"NOT_AVAILABLE",4965.6733,4871.3623,5053.4634,0.428,0.67955345,0.6561478,0.70612085,0.25296155,0.24287498,0.2630481,"Gaia DR2 2107244481660894592",284.3427250044163,46.31659068687092,1.6513,-2.9467,2.692,0.0,2015.5,1.4210854715202004E-14
2107311719368903680,285.2537554750902,0.02139429131663235,46.58221827117325,0.019356868082332467,2.2411578253829396,0.022380080051958733,14.865589,1.3921194,,,0,"NOT_AVAILABLE",4806.0,4497.0,4936.0,0.338,0.6357836,0.6027352,0.72615796,0.1942891,0.189194,0.19938421,"Gaia DR2 2107311719368903680",285.2537554750902,46.58221827117325,2.2412,12.1667,12.8647,0.0,2015.5,0.0
2080296757338392576,297.48082529097934,0.022518410661342126,46.5891373188137,0.026549856984299267,0.6377915607235823,0.02829010821250922,15.463622,0.8586588,,,0,"NOT_AVAILABLE",5694.0,5450.4927,6123.71,,1.1260207,0.9735361,1.2288808,1.200763,1.0696319,1.331894,"Gaia DR2 2080296757338392576",297.48082529097934,46.5891373188137,0.6378,-2.5169,-8.1412,0.0,2015.5,0.0
2107658516506930048,283.4291536170829,0.01908734979781939,47.59239727917887,0.020342009026532444,2.90410052527962,0.021513690228653813,12.602437,0.90505314,-25.42646403322026,1.3042850625707783,9,"NOT_AVAILABLE",5478.5,5411.0,5774.63,0.1107,1.0071167,0.9064729,1.0324001,0.8231917,0.8121594,0.834224,"Gaia DR2 2107658516506930048",283.4291536170829,47.59239727917887,2.9041,-0.5732,-18.6543,-25.4265,2015.5,0.0
