designation,source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 6258810550587404672",6258810550587404672,231.74205733389036,-16.50900794466127,6.421715271822694,0.018947072,9.779824,-2.8486452,0.20954318,5739.13,5687.5786,5790.732,-0.2169,-0.2825,-0.1716,"Gaia DR2 6258810550587404672",231.74205431254407,-16.509001382103445,6.4109,20.5385,-46.8641,-2.6535,2015.5,6.953020962998763E-8
"Gaia DR3 4707634458245031552",4707634458245031552,4.447185654682732,-66.35892922123278,12.493433882602456,0.016992304,7.605658,30.6411,0.12532662,5650.196,5631.3867,5664.8247,0.1848,0.1727,0.2059,"Gaia DR2 4707634458245031552",4.4471631360867425,-66.35892846411936,12.5386,64.7627,-5.0556,30.7526,2015.5,6.529398110877532E-8
"Gaia DR3 1331356474971716992",1331356474971716992,247.6229689231794,38.34754219061385,13.120310976715464,0.016170053,8.026566,-17.931711,0.13204755,5974.0513,5972.6875,5975.875,0.0281,0.0229,0.0334,"Gaia DR2 1331356474971716992",247.62298268814675,38.34753490078193,13.1526,-77.8994,52.5643,-17.8419,2015.5,2.6325746884335844E-8
"Gaia DR3 5175239363214344960",5175239363214344960,38.27122903475207,-10.35219079656957,21.8635052465849,0.019295631,9.484146,-3.63858,0.2453801,4756.42,4754.9814,4758.078,0.0615,0.0535,0.0691,"Gaia DR2 5175239363214344960",38.27125344866761,-10.352177972880023,21.9192,-173.0289,-92.131,-3.7231,2015.5,3.165658137773471E-8
"Gaia DR3 545560867790611072",545560867790611072,42.436652471054394,71.75308362260229,12.91420597983332,0.017742598,8.043712,-3.2860105,0.13357411,5905.5615,5898.9224,5945.215,-0.081,-0.0933,-0.0035,"Gaia DR2 545560867790611072",42.436612311303215,71.75308823735722,12.7776,90.9819,-33.1973,-3.2189,2015.5,6.197754867526837E-8
"Gaia DR3 2300641567596591488",2300641567596591488,325.2021305626916,84.33377002159953,35.35813239584549,0.015947675,8.141795,-6.5307283,0.13787116,4998.011,4996.135,5007.5083,-0.2142,-0.221,-0.1876,"Gaia DR2 2300641567596591488",325.20164509451985,84.3337613383066,35.3146,345.1776,63.044,-6.6563,2015.5,7.323454346919326E-8
"Gaia DR3 1779546757669063552",1779546757669063552,330.79502626424147,18.88423938290383,20.76938988528237,0.02657181,7.5212455,-14.7757635,0.15868707,5996.3154,5994.7227,5997.86,-0.3061,-0.3179,-0.294,"Gaia DR2 1779546757669063552",330.79502193025064,18.884241929866338,20.6745,29.5787,-17.8904,-15.0146,2015.5,6.262804138736679E-8
"Gaia DR3 6407428994690988928",6407428994690988928,338.98368670298856,-59.864840792917406,20.931737658313722,0.021828067,7.8168154,36.037712,0.1213935,5747.6714,5746.5166,5748.744,-0.4168,-0.4241,-0.4099,"Gaia DR2 6407428994690988928",338.98371663170235,-59.86482899508657,20.7663,-108.3877,-84.4187,36.2229,2015.5,7.834200647026923E-8
"Gaia DR3 2009481748875806976",2009481748875806976,348.33773395483047,57.16966644274312,152.86400389732427,0.049440492,5.2318964,-18.675009,0.119112626,,,,,,,"Gaia DR2 2009481748875806976",348.3372026315852,57.169625529622316,153.0808,2074.5174,294.9356,-18.6371,2015.5,8.490119942925579E-8
"Gaia DR3 6492940453524576128",6492940453524576128,349.5593463800524,-56.90398859971791,10.622443178752365,0.012125734,9.655397,-19.93533,0.14125709,5601.7773,5591.276,5623.009,0.0888,0.0792,0.1131,"Gaia DR2 6492940453524576128",349.5592664695944,-56.90398574703867,10.59,313.918,-20.1772,-19.9565,2015.5,6.121777368201242E-8
"Gaia DR3 4668163021600295552",4668163021600295552,65.23831479701445,-68.10268896916398,7.130482438376878,0.009777439,9.3063345,2.1638343,0.17627965,6141.14,6139.475,6144.3438,-0.167,-0.1728,-0.1604,"Gaia DR2 4668163021600295552",65.23830650901542,-68.10268754859128,7.1339,22.0284,-10.4005,2.5835,2015.5,3.9534757666099075E-8
"Gaia DR3 2056007995732413312",2056007995732413312,306.741127891218,33.74438610057065,12.407414305957294,0.0142009305,8.428037,-23.412935,0.1372163,6031.483,6030.384,6033.023,-0.2181,-0.223,-0.2135,"Gaia DR2 2056007995732413312",306.7411340383131,33.744388219777605,12.3678,-36.8687,-14.6514,-23.1738,2015.5,8.47900161047149E-8
"Gaia DR3 5746824674801810816",5746824674801810816,129.68829349261745,-13.256521320044767,31.656880455652196,0.015168027,9.277452,20.455652,0.15048425,4462.219,4457.7925,4465.045,0.0619,0.0247,0.081,"Gaia DR2 5746824674801810816",129.6883025960104,-13.256526711809116,31.6501,-63.8583,38.3741,20.5346,2015.5,6.259455245587249E-8
