pl_name,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
Kepler-62 b,5,5.714932,0.000009,-0.000009,0.0553,0.0005,-0.0005,1.31,0.04,-0.04,,,,89.2,0.4,-0.4,0.25,0.13,-0.13,0.043,0.001,-0.001,283.2125621,45.3496992,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684
Kepler-62 c,5,12.4417,0.0001,-0.0001,0.0929,0.0009,-0.0009,0.54,0.03,-0.03,,,,89.7,0.2,-0.2,0.16,0.09,-0.09,0.007,0.001,-0.001,283.2125621,45.3496992,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684
Kepler-62 d,5,18.16406,0.00002,-0.00002,0.12,0.001,-0.001,1.95,0.07,-0.07,,,,89.7,0.3,-0.3,0.22,0.13,-0.13,0.092,0.002,-0.002,283.2125621,45.3496992,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684
Kepler-62 e,5,122.3874,0.0008,-0.0008,0.427,0.004,-0.004,1.61,0.05,-0.05,,,,89.98,0.02,-0.02,0.06,0.05,-0.05,0.07,0.003,-0.003,283.2125621,45.3496992,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684
Kepler-62 f,5,267.291,0.005,-0.005,0.718,0.007,-0.007,1.41,0.07,-0.07,,,,89.9,0.03,-0.03,0.41,0.14,-0.14,0.042,0.004,-0.004,283.2125621,45.3496992,300.874,1.219,-1.219,3.29474,0.0133684,-0.0133684
Kepler-65 b,4,2.15491,0.000005,-0.000005,0.035,0.002,-0.001,1.42,0.03,-0.03,,,,,,,0.16,0.2,-0.11,0.0085,0.00016,-0.00011,288.6887221,41.1511076,303.728,2.708,-2.661,3.26384,0.0288769,-0.0288769
Kepler-656 c,2,5.25449393,0.00005613,-0.00005613,0.0602,,,1.41,0.38,-0.11,0,,,83.61,,,0.837,0.108,-0.597,0.0169,0.00146,-0.00146,288.3278778,47.381538,890.352,20.856,-20.856,1.09472,0.0261008,-0.0261008
Kepler-69 b,2,13.722341,0.000035,-0.000036,0.094,0.023,-0.016,2.24,0.44,-0.29,0.16,0.17,-0.001,89.62,0.26,-0.45,0.15,0.17,-0.1,0.0597,,,293.2609013,44.8688656,730.625,7.6555,-7.6555,1.33989,0.0142322,-0.0142322
Kepler-69 c,2,242.4613,0.0059,-0.0064,0.64,0.15,-0.11,1.71,0.34,-0.23,0.14,0.18,-0.1,89.85,0.03,-0.08,0.12,0.21,-0.09,0.035,,,293.2609013,44.8688656,730.625,7.6555,-7.6555,1.33989,0.0142322,-0.0142322
Kepler-763 c,3,4.09667624,0.00001956,-0.00001956,0.0466,,,1.42,0.07,-0.1,0,,,89.43,,,0.142,0.32,-0.142,0.03023,0.00204,-0.00204,292.1445534,47.1573604,962.459,30.184,-28.432,1.01093,0.0313761,-0.0313761
