designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 2077750803804146176",6218.183,6136.3076,6260.368,-0.0032,-0.0643,0.0271,"Gaia DR3 2077750803804146176",293.8901979518071,42.52794003154197,1.2861,0.351,-8.794,-5.3476,2016.0,0.0
"Gaia DR3 2077961463362645632",4978.7593,4959.043,4997.15,-0.0179,-0.0387,0.0022,"Gaia DR3 2077961463362645632",294.90967283501766,42.93519730366907,1.0831,-5.4252,-10.0291,0.0,2016.0,0.0
"Gaia DR3 2077994272606400512",5355.9414,5339.0703,5371.156,-0.0988,-0.1147,-0.0831,"Gaia DR3 2077994272606400512",295.57423163367633,42.80642512218651,3.561,8.6866,-2.4888,-4.6634,2016.0,4.1703382729356886E-14
"Gaia DR3 2078195212660287616",5262.055,5238.061,5307.1562,-0.3927,-0.4292,-0.3483,"Gaia DR3 2078195212660287616",294.3169295007358,43.62924127926852,0.7011,-6.2667,-16.4285,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2078272831307891456",6070.8984,6050.36,6092.9214,-0.1477,-0.1637,-0.1318,"Gaia DR3 2078272831307891456",294.74205999574855,43.536783554851084,1.038,-2.6158,-4.9096,-10.2232,2016.0,0.0
"Gaia DR3 2078286197246582016",4969.92,4954.9443,4984.3164,0.1019,0.0825,0.119,"Gaia DR3 2078286197246582016",294.6678991900493,43.85320856910302,1.9091,-15.0071,-13.0052,-2.6708,2016.0,7.105427357601002E-15
"Gaia DR3 2078515170549178880",5858.996,5843.7666,5875.907,-0.3678,-0.3801,-0.3556,"Gaia DR3 2078515170549178880",297.4653359712291,42.88285161862764,1.3763,4.815,-0.1903,-18.2112,2016.0,7.105427357601002E-15
"Gaia DR3 2078697552035948800",6033.977,5996.062,6055.2275,-0.3354,-0.3685,-0.3153,"Gaia DR3 2078697552035948800",296.9985852389031,42.78196345658958,0.9976,-0.3732,1.1257,-17.9452,2016.0,0.0
"Gaia DR3 2078722600285671936",5696.184,5687.004,5707.061,-0.4428,-0.4524,-0.4311,"Gaia DR3 2078722600285671936",296.9811403763854,43.209700730072086,1.9409,22.6251,-12.8178,-85.2146,2016.0,4.143048025312983E-14
"Gaia DR3 2078832551450444032",5562.9243,5511.5186,5593.142,-0.1494,-0.1937,-0.1203,"Gaia DR3 2078832551450444032",296.56621648367974,44.105805826810695,1.1123,-3.2,-13.6183,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2078996825361036160",,,,,,,"Gaia DR3 2078996825361036160",298.6738127630586,43.79550148649674,2.1216,2.9293,7.917,-16.1666,2016.0,0.0
"Gaia DR3 2079005651508492032",6654.1885,6643.271,6666.598,-0.3187,-0.3248,-0.312,"Gaia DR3 2079005651508492032",298.81637988955526,43.99801974792027,1.1859,-1.0542,-3.6398,14.6673,2016.0,7.105427357601002E-15
"Gaia DR3 2079192121810035840",5801.4614,5798.9077,5804.0576,-0.3389,-0.3435,-0.3352,"Gaia DR3 2079192121810035840",298.93681583760167,44.8578628526641,2.5336,-35.3739,-10.9651,-57.1445,2016.0,4.272647030272741E-14
"Gaia DR3 2079295583282164992",5254.8525,5240.4717,5268.2295,0.1275,0.1126,0.1417,"Gaia DR3 2079295583282164992",298.0794444750809,44.74624513254368,2.2916,-1.4364,-20.3407,-16.8319,2016.0,4.280006717610229E-14
"Gaia DR3 2079368391569401600",5857.3047,5847.807,5870.0327,-0.2934,-0.3024,-0.2796,"Gaia DR3 2079368391569401600",297.7119319948975,45.26198669424677,1.6111,10.7043,12.4527,-57.7114,2016.0,0.0
"Gaia DR3 2079695496278608896",5983.892,5962.1123,6003.6216,-0.3859,-0.4073,-0.3701,"Gaia DR3 2079695496278608896",296.29067722028293,44.42322787879513,3.5043,19.5375,-5.3911,6.0967,2016.0,0.0
"Gaia DR3 2079885608708649344",5774.453,5769.9595,5778.6836,-0.5294,-0.5346,-0.5232,"Gaia DR3 2079885608708649344",294.97353226596476,45.213687190554516,2.0378,4.9203,3.3235,24.0249,2016.0,0.0
"Gaia DR3 2080246282881778048",4947.7793,4929.69,4968.9487,0.3749,0.3523,0.3974,"Gaia DR3 2080246282881778048",297.3160000066129,46.02326425905117,1.2722,3.1895,0.2042,0.0,2016.0,0.0
"Gaia DR3 2080266967444876032",,,,,,,"Gaia DR3 2080266967444876032",297.0454031453664,46.32866412142783,0.5866,-2.9286,-8.474,2.2615,2016.0,7.105427357601002E-15
"Gaia DR3 2080287892525359872",,,,,,,"Gaia DR3 2080287892525359872",297.8423044790651,46.574362212838714,3.096,-13.7624,19.5864,0.0,2016.0,3.9074879957204923E-14
"Gaia DR3 2080344586094498432",5157.6562,5145.4336,5167.3857,-0.1142,-0.1268,-0.103,"Gaia DR3 2080344586094498432",296.6547471644761,46.835223853798176,2.6148,-2.653,-2.2361,3.9435,2016.0,0.0
"Gaia DR3 2080386917291928832",6387.2627,6384.9946,6390.1562,-0.2144,-0.2179,-0.2105,"Gaia DR3 2080386917291928832",295.8028761596735,45.98796258161476,4.7135,21.3778,-26.2903,-20.5487,2016.0,0.0
"Gaia DR3 2080452613110460928",5369.369,5350.584,5385.496,0.1866,0.1653,0.2053,"Gaia DR3 2080452613110460928",295.4128800764224,46.26658303787401,1.4932,8.1293,20.8881,-55.3162,2016.0,0.0
"Gaia DR3 2080562667352233728",5507.825,5496.9023,5533.538,-0.5012,-0.5128,-0.4757,"Gaia DR3 2080562667352233728",296.4960476570407,47.182782264710966,2.1701,-8.0919,-17.965,-4.7723,2016.0,7.105427357601002E-15
"Gaia DR3 2082074942519913344",5605.509,5603.45,5609.6924,-0.5191,-0.5267,-0.512,"Gaia DR3 2082074942519913344",300.86400761203623,44.33754955375781,2.2598,7.9753,-0.8493,-56.5123,2016.0,0.0
"Gaia DR3 2086337508581280256",5547.5566,5512.26,5572.4883,-0.1028,-0.1519,-0.0874,"Gaia DR3 2086337508581280256",298.3183899877481,47.27948081304743,0.5005,-4.2273,-11.0942,0.0,2016.0,0.0
"Gaia DR3 2086389357427331712",5843.6416,5829.3706,5860.322,-0.3051,-0.3134,-0.2899,"Gaia DR3 2086389357427331712",297.21584553108045,47.37850777179651,1.149,5.9104,-2.2267,5.6273,2016.0,0.0
"Gaia DR3 2086505630781210752",5998.838,5987.9863,6008.369,-0.0718,-0.0819,-0.0623,"Gaia DR3 2086505630781210752",297.78654689131986,47.88615517731782,2.0357,0.9515,7.2088,-35.6706,2016.0,0.0
"Gaia DR3 2086625752425381632",5767.8916,5762.318,5773.6226,-0.0595,-0.064,-0.0542,"Gaia DR3 2086625752425381632",297.02816011456673,48.208601860439686,1.9259,-9.3925,0.1576,5.6847,2016.0,3.788162211095451E-14
"Gaia DR3 2086629463276947456",4662.025,4656.2393,4668.2456,-0.4077,-0.4166,-0.4004,"Gaia DR3 2086629463276947456",296.82293514660876,48.10776965361272,3.2299,12.2617,49.3136,-100.1626,2016.0,0.0
"Gaia DR3 2086660283961964416",5510.6377,5472.7476,5547.6206,-0.1024,-0.142,-0.0624,"Gaia DR3 2086660283961964416",296.2860841929064,48.22463171321441,0.6323,-5.0447,-7.9669,0.0,2016.0,3.853058637599602E-14
"Gaia DR3 2086718317558873984",5668.1377,5652.0605,5717.2334,-0.0976,-0.1111,-0.0591,"Gaia DR3 2086718317558873984",297.2778884714354,48.32035477554368,1.456,-10.3487,5.3093,8.6193,2016.0,0.0
"Gaia DR3 2086940448965828992",5796.333,5794.459,5799.576,-0.3604,-0.366,-0.3543,"Gaia DR3 2086940448965828992",298.2689207800532,48.9167394587057,2.1065,-4.4203,3.2285,-25.8505,2016.0,7.105427357601002E-15
"Gaia DR3 2087171453788422528",5520.7876,5504.4336,5558.62,-0.1266,-0.1421,-0.0879,"Gaia DR3 2087171453788422528",297.4865397360923,49.62339632902534,6.426,-49.2765,-8.2402,-37.9958,2016.0,0.0
"Gaia DR3 2087250476887856256",4630.379,4619.7856,4639.185,0.1423,0.1167,0.1583,"Gaia DR3 2087250476887856256",297.2925616939614,49.98175320095022,5.3591,16.822,24.1342,-24.0302,2016.0,7.105427357601002E-15
"Gaia DR3 2099541715513813504",5535.0176,5533.906,5536.3213,0.1412,0.1379,0.144,"Gaia DR3 2099541715513813504",287.47865134467474,38.22908178617382,4.2802,21.9175,48.2528,-71.5068,2016.0,7.105427357601002E-15
"Gaia DR3 2099605968225288960",5673.763,5655.748,5688.743,-0.1583,-0.1726,-0.1451,"Gaia DR3 2099605968225288960",287.3629170481944,38.6497389834136,2.1151,14.3661,35.5176,-28.2181,2016.0,0.0
"Gaia DR3 2099606483621385216",6164.738,6121.4023,6187.4136,-0.4034,-0.4568,-0.3799,"Gaia DR3 2099606483621385216",287.36197234512946,38.714142299228236,9.2181,28.0928,28.5465,-19.1868,2016.0,0.0
"Gaia DR3 2099656472742686848",5543.1426,5541.2227,5547.2734,-0.6867,-0.6918,-0.6804,"Gaia DR3 2099656472742686848",287.65502065279276,39.24416804038301,2.5924,5.6672,-25.5696,-59.1846,2016.0,0.0
"Gaia DR3 2099862910348755712",5499.323,5487.6157,5511.579,0.1045,0.0931,0.1172,"Gaia DR3 2099862910348755712",285.6616949336345,37.96456931636411,2.8552,8.8746,15.5893,-32.1243,2016.0,0.0
"Gaia DR3 2099925719951103872",5728.9746,5702.3853,5764.0015,-0.0363,-0.0655,0.0037,"Gaia DR3 2099925719951103872",285.5739908219893,38.400817165116756,1.5823,2.472,-14.6911,3.0911,2016.0,4.4547311875857585E-14
"Gaia DR3 2100389610777053056",5972.533,5957.401,5985.86,-0.2553,-0.2679,-0.245,"Gaia DR3 2100389610777053056",286.5831904589055,39.077260626734734,1.0406,5.8176,17.2899,-62.355,2016.0,4.412735544419254E-14
"Gaia DR3 2100392428275714688",5957.8623,5956.969,5959.017,-0.5132,-0.5183,-0.5079,"Gaia DR3 2100392428275714688",286.68960388783,39.21208479812015,4.6634,29.6191,33.6587,-40.3092,2016.0,1.4210854715202004E-14
"Gaia DR3 2100416823690394624",5951.8306,5940.1025,5962.5312,-0.4201,-0.4298,-0.4112,"Gaia DR3 2100416823690394624",287.31488664764277,39.53832166185773,4.4774,3.9586,29.3986,-34.9054,2016.0,0.0
"Gaia DR3 2100597143598879616",4799.539,4783.2417,4811.7856,0.3784,0.3429,0.3999,"Gaia DR3 2100597143598879616",287.0516932245111,40.211419791538965,3.5734,-4.3813,-24.4471,-15.6885,2016.0,0.0
"Gaia DR3 2100624562669914240",5653.4414,5623.8857,5678.933,-0.0649,-0.0908,-0.0435,"Gaia DR3 2100624562669914240",287.89710653008274,40.63781396130587,0.5325,-0.1867,-0.847,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2100906140725803392",5733.9683,5726.4688,5751.9927,-0.3441,-0.3553,-0.3324,"Gaia DR3 2100906140725803392",287.0900198765759,41.373754485231544,2.9756,4.5363,-21.5591,24.5594,2016.0,0.0
"Gaia DR3 2101175933393051008",5806.7954,5805.2017,5809.1963,-0.2675,-0.2741,-0.2596,"Gaia DR3 2101175933393051008",290.3926781073965,40.28490879813724,2.0933,-7.6508,10.8269,-36.7476,2016.0,0.0
"Gaia DR3 2101188990094347648",5672.3057,5597.372,5706.375,-0.2035,-0.2837,-0.1637,"Gaia DR3 2101188990094347648",290.4617929716266,40.562497502485485,0.6988,1.7822,6.4933,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2101230049979183232",5523.122,5499.0786,5562.9,-0.0759,-0.1024,-0.0284,"Gaia DR3 2101230049979183232",288.8119787111693,39.77064224170719,1.9666,2.9633,-5.8309,11.8598,2016.0,0.0
"Gaia DR3 2101243789577188736",5728.0405,5726.4844,5730.582,-0.1621,-0.1663,-0.1575,"Gaia DR3 2101243789577188736",288.98455099501314,40.06448443351056,1.9752,-1.2159,-8.8661,-28.7977,2016.0,0.0
"Gaia DR3 2101305259145506816",5729.0186,5727.9526,5730.8086,-0.5214,-0.5265,-0.5159,"Gaia DR3 2101305259145506816",288.4505881825587,40.24519656002707,3.155,-13.0201,-28.4021,20.2585,2016.0,0.0
"Gaia DR3 2101508501301083520",,,,,,,"Gaia DR3 2101508501301083520",291.28504231384505,40.73002657318778,0.0,0.0,0.0,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2101719263935952768",6281.9023,6266.819,6297.634,-0.4644,-0.4757,-0.4529,"Gaia DR3 2101719263935952768",291.6467777030923,41.884685054874744,1.1186,6.7305,5.2105,-49.9192,2016.0,1.4210854715202004E-14
"Gaia DR3 2101733244046205568",5713.757,5700.1533,5735.092,-0.1335,-0.1452,-0.1195,"Gaia DR3 2101733244046205568",291.3861331778195,41.99013540916447,3.2578,19.9872,-28.6018,-61.3624,2016.0,4.4575370087194675E-14
"Gaia DR3 2101768089124657664",4920.1973,4904.157,4937.6553,0.0343,0.0107,0.0592,"Gaia DR3 2101768089124657664",291.6389978738737,42.436348857049516,1.1805,3.6786,4.797,0.0,2016.0,0.0
"Gaia DR3 2101854881822529024",5357.391,5317.9673,5433.215,0.1641,0.1232,0.2409,"Gaia DR3 2101854881822529024",290.21514533408595,41.7759814696325,0.4598,-2.9864,3.2437,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2101898759208960640",5709.5615,5698.145,5744.2266,-0.0199,-0.0384,0.0225,"Gaia DR3 2101898759208960640",290.03051943842615,42.16605588114973,1.128,-0.064,2.7459,-46.6759,2016.0,7.105427357601002E-15
"Gaia DR3 2101964558106974848",5361.1396,5339.6973,5379.7783,-0.1488,-0.1694,-0.1281,"Gaia DR3 2101964558106974848",291.16945474172394,42.640725643996504,1.7094,-10.1143,-17.9186,-12.2525,2016.0,0.0
"Gaia DR3 2102063136195478656",5436.413,5423.5117,5450.4404,-0.0879,-0.1036,-0.0718,"Gaia DR3 2102063136195478656",288.234102651088,40.520897199483564,1.1031,0.7868,1.346,0.0,2016.0,0.0
"Gaia DR3 2102067396802935680",4872.114,4847.154,4890.0137,-0.0738,-0.1,-0.0492,"Gaia DR3 2102067396802935680",288.53871507239586,40.616051604079914,1.2718,3.2606,-20.4582,0.0,2016.0,4.3730327846145635E-14
"Gaia DR3 2102110174677569664",5791.2915,5749.3755,5810.287,0.1274,0.0872,0.1423,"Gaia DR3 2102110174677569664",288.5308935866893,40.94237482077503,4.3719,6.4804,13.774,-22.0573,2016.0,4.522830379495627E-14
"Gaia DR3 2102224661326132864",5891.172,5887.4927,5896.889,-0.1921,-0.1964,-0.1874,"Gaia DR3 2102224661326132864",289.0860606957026,41.563024402534495,2.0776,-0.0858,14.5959,-41.4671,2016.0,1.4210854715202004E-14
"Gaia DR3 2102316985943863424",5604.718,5590.794,5630.9414,-0.4355,-0.4505,-0.4087,"Gaia DR3 2102316985943863424",288.9612538804393,42.26504827925599,0.9353,1.7811,7.7215,-34.969,2016.0,0.0
"Gaia DR3 2102454253097554304",5761.499,5758.7573,5767.2485,-0.6752,-0.6832,-0.6652,"Gaia DR3 2102454253097554304",287.6046628914455,42.1665030365523,2.4731,4.3168,-52.7671,4.8345,2016.0,0.0
"Gaia DR3 2102469921138142208",5316.3037,5290.9497,5346.5317,-0.3132,-0.341,-0.2804,"Gaia DR3 2102469921138142208",287.2426401236034,42.30142035535178,0.9088,-4.6519,13.3083,0.0,2016.0,4.2638417734527476E-14
"Gaia DR3 2102548708017562112",5485.2905,5461.403,5501.2256,0.0133,-0.0127,0.0298,"Gaia DR3 2102548708017562112",287.69799066943483,42.33857435905501,3.4936,-3.8687,-27.1049,-21.9789,2016.0,7.105427357601002E-15
"Gaia DR3 2102587087846067712",5663.4033,5556.9175,5820.3657,0.1552,0.0396,0.3511,"Gaia DR3 2102587087846067712",287.77357366896035,42.86927473108726,1.0644,3.4774,-5.2327,-21.7083,2016.0,0.0
"Gaia DR3 2102610280669509888",5695.1113,5676.421,5718.015,-0.0343,-0.0531,-0.0105,"Gaia DR3 2102610280669509888",287.6208161053627,43.14162272811344,1.436,-2.1532,-8.5145,-7.398,2016.0,7.105427357601002E-15
"Gaia DR3 2102700131386216576",5034.4243,5017.764,5049.801,0.1836,0.1664,0.2038,"Gaia DR3 2102700131386216576",289.26873941114707,42.60418198620864,1.2963,3.1014,0.8639,0.0,2016.0,0.0
"Gaia DR3 2102815683186036096",,,,,,,"Gaia DR3 2102815683186036096",289.86156082513986,43.472740085719586,0.9582,-0.6275,-7.7392,-95.1625,2016.0,0.0
"Gaia DR3 2102911581215700096",4950.7656,4937.0537,4967.1733,0.4534,0.4367,0.4727,"Gaia DR3 2102911581215700096",288.64256193394345,43.03937918445241,1.4938,5.5558,16.7498,0.0,2016.0,0.0
"Gaia DR3 2103295173333142784",,,,,,,"Gaia DR3 2103295173333142784",284.0323767070988,39.78154243553746,3.1429,24.3589,43.055,-29.4358,2016.0,0.0
"Gaia DR3 2103452266056715392",6033.1323,6030.4565,6038.0825,-0.1179,-0.1234,-0.1125,"Gaia DR3 2103452266056715392",284.63518880288655,40.71982920386645,4.3319,1.3193,-2.4342,-12.0921,2016.0,0.0
