# CONSTRAINT:  where (gaia_id not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and sy_snum = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_controv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and ttv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_trandep not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,gaia_id,default_flag,sy_snum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,st_teff,st_tefferr1,st_tefferr2,st_met,st_meterr1,st_meterr2,ra,dec
HAT-P-28 b,HAT-P-28,Gaia DR2 363702817083391232,1,1,0,3.257215,0.000007,-0.000007,0.0434,0.0007,-0.0007,198.953,11.759,-11.759,0.051,0.033,-0.033,88,0.9,-0.9,0,0.299,0.114,-0.123,1.4719,,,5680,90,-90,0.12,0.08,-0.08,13.0009159,34.728402
HAT-P-31 b,HAT-P-31,Gaia DR2 4583004815239650176,1,1,0,5.00542,0.000091,-0.000091,,,,721.4741,266.9772,-266.9772,0.25,0,0,87.1,2.25,-2.25,0,,,,0.65,0.15,-0.15,6065,100,-100,0.15,,,271.5376722,26.4266061
HAT-P-37 b,HAT-P-37,Gaia DR2 2133946843094378752,1,1,0,2.797436,0.000007,-0.000007,0.0379,0.0006,-0.0006,371.528,32.735,-32.735,0.058,0.038,-0.038,86.9,0.4,-0.5,0,0.505,0.041,-0.062,1.899,0.084,-0.082,5500,100,,,,,284.2960393,51.2691212
HAT-P-40 b,HAT-P-40,Gaia DR2 1962153854973972096,1,1,0,4.45724,0.00001,-0.00001,,,,152.5584,41.3179,-41.3179,0,,,88.3,0.9,-0.9,0,,,,0.65,0.023,-0.023,6080,100,-100,0.22,,,335.5129199,45.4573423
HAT-P-49 b,HAT-P-49,Gaia DR2 1835842749465226368,1,1,0,2.69155,0.000006,-0.000006,,,,699.226,187.5197,-187.5197,0,,,86.2,1.7,-1.7,0,,,,0.63,0.03,-0.03,6820,52,-52,0.07,,,305.4413294,26.6926759
HAT-P-5 b,HAT-P-5,Gaia DR2 4606030169272920320,1,1,0,2.78849,0.000025,-0.000025,,,,311.4734,63.566,-63.566,0,,,86.75,0.44,-0.44,0,,,,1.2,0.013,-0.013,5960,100,-100,0.24,,,274.4055335,36.6214617
HAT-P-56 b,HAT-P-56,Gaia DR2 3385777286999240576,1,1,0,2.79083,0.000005,-0.000005,,,,734.1873,139.8452,-139.8452,,,,82.13,0.18,-0.18,0,,,,1.1,0.0001,-0.0001,6566,50,-50,0,,,100.8480137,27.2521823
HAT-P-6 b,HAT-P-6,Gaia DR2 1925321658546436352,1,1,0,3.85298,0.000005,-0.000005,,,,419.5356,95.349,-95.349,0,,,85.51,0.35,-0.35,0,,,,0.87,0.0099,-0.0099,6570,80,-80,-0.13,,,354.7740917,42.4659866
HAT-P-69 b,HAT-P-69,Gaia DR2 3080104185367102592,1,1,0,4.7869491,0.0000018,-0.0000021,0.06555,0.0007,-0.00035,1137.8314,184.3414,-184.3414,0,,,87.19,0.52,-0.72,0,0.366,0.06,-0.05,0.7627,,,7394,360,-600,-0.069,0.058,-0.075,130.5056385,3.7105662
HAT-P-70 b,HAT-P-70,Gaia DR2 3291455819447952768,1,1,0,2.74432452,0.00000079,-0.00000068,0.04739,0.00031,-0.00106,2154.8874,,,0,,,96.5,1.42,-0.91,0,-0.629,0.081,-0.054,0.8443,,,8450,540,-690,-0.059,0.075,-0.088,74.5523332,9.9979794
