source_id,radius_flame,radius_flame_lower,radius_flame_upper
2129495057954829952,1.1871132,1.1703088,1.2057219
2129503235571760128,0.9812722,0.9641376,0.99040014
2129503716608032256,0.96892846,0.92609435,1.0363222
2129550445852902656,1.2915641,1.2654874,1.317701
2129753580626548736,1.2994422,1.2874303,1.3090905
2130124219123552256,0.7777847,0.7526742,0.8023347
2130243550494676480,0.99837255,0.9773386,1.0197327
2130250731680096384,0.88811517,0.8551594,0.92615676
2130320172711659136,1.8491473,1.8116865,1.8866078
2130368310704421120,1.0642675,1.0420904,1.086487
2130405041264941184,0.926849,0.901073,0.9503815
2130460394803778816,0.86319834,0.84239334,0.8848613
2130625287187139072,1.4346741,1.3988545,1.4702674
2130634667395736704,0.8803993,0.8595114,0.8996149
2130661880308812800,1.0337691,1.0118113,1.0549703
2130825020347168512,0.88635,0.86263645,0.91252023
2130889204338693504,1.0494894,1.0251838,1.0751137
2131059594280288128,1.2015563,1.1642686,1.2350825
2131114947819394816,0.75671977,0.73623186,0.7804903
2131169545443676032,,,
2131216137248338304,1.0189062,0.997473,1.040347
2131494313689868416,1.6573093,1.6232812,1.6912655
2131709921047710336,1.7063917,1.6693734,1.7457341
2131748747552136960,0.9203548,0.90042067,0.94023657
2131859244171951616,1.489741,1.4592081,1.5208994
2132004074768150400,1.8615468,1.7683264,1.9611312
2132144056342471168,0.7129395,0.69352657,0.7325537
2132152916856093952,1.5360839,1.5044737,1.5679479
2132155017099178624,1.1158457,1.0933058,1.1384065
2132178725317511936,2.2048893,2.1590016,2.2508059
2132193431285570304,1.239022,1.2117952,1.2663975
2132215421518219392,1.0107613,0.9902512,1.0313729
2132325200882204544,1.0928732,1.0703588,1.1155152
2132614922197436928,1.5448813,1.4994605,1.5859168
2132709613336959744,,,
2132768956905956352,0.76150346,0.7447183,0.77830446
2133021810218800384,0.8395289,0.81771153,0.8594336
2133022669212268800,1.0454851,1.0201265,1.0701252
2133035966431029376,0.89884526,0.8720975,0.9246285
2133124511477266176,1.3472136,1.311145,1.3793937
2133369840008452224,0.78969175,0.772052,0.80737835
2133611659549905024,1.3620528,1.3333491,1.3917478
2133946843094378752,0.8654531,0.84727293,0.88333976
2134719834131370496,1.2611322,1.1765364,1.3635805
2134798444914611712,1.6869624,1.6504418,1.7227646
2134850847813263360,1.2415483,1.2135385,1.269372
2134931077802625792,0.841996,0.81427824,0.86775255
2135002576119495936,1.4786961,1.4479086,1.5093083
2135019107451751168,1.6264993,1.5906676,1.6629691
2135044568018500096,1.4803122,1.4478539,1.5123466
2135055391335687680,,,
2135179533070399232,1.1987728,1.1743845,1.2231293
2135203000771400320,1.1842135,1.1549898,1.2170339
2135314184585149696,1.2901001,1.2639595,1.3162997
2135378231142791808,1.0433252,1.015155,1.0685508
2135427576021495168,0.72274303,0.7061745,0.73927337
2135590578620605568,1.6744102,1.638769,1.7106788
2136815881249993600,1.0590172,1.0375693,1.0804971
2139300262131379584,0.9570625,0.9375016,0.97676986
2141754578242371584,1.7216668,1.6864581,1.7569356
2143749504651818368,1.0449014,1.0230489,1.0662748
2188906825165621120,1.9606391,1.9210584,2.0001953
2221164434736927360,0.93921584,0.9199352,0.95849293
2242756094328104576,,,
2254929887069708160,1.6899458,1.6551267,1.7243655
2296342614570999552,1.5629057,1.5310727,1.5947833
2300641567596591488,0.7957311,0.7788527,0.8126043
2303332931542914048,1.5105699,1.4797868,1.5413262
2318295979126499200,,,
2329387852426700800,,,
2333676738050041728,,,
2340919358581488768,1.4497368,1.4185499,1.4804841
2371032916186181760,,,
2385171398768647552,0.82150286,0.8044032,0.83861494
2415410962124813056,1.6696826,1.6305938,1.7096143
2424406513428936832,0.95739126,0.93677443,0.9785297
2424621502311961344,1.6067505,1.568174,1.6478024
2439222638771000448,0.34986988,0.30415803,0.41516516
2441013811932929280,2.0340831,1.9916221,2.07683
2498515516990171392,1.4484801,1.4181718,1.4786991
2507901914613201024,2.1071062,2.0608542,2.1529946
2512413932376364288,1.0363908,1.0144267,1.0588267
2538824923230146560,0.66734433,0.65000683,0.68465024
2546413408888429696,,,
2562569564026683520,1.8603907,1.8198289,1.9009358
2609222216055014144,,,
2641087471777046016,1.0801252,1.0562255,1.1039416
2645727449501559680,0.676837,0.65740067,0.69619024
2657135741633337088,1.2718815,1.2613665,1.2805936
2657374606238804992,0.79381895,0.77681965,0.811312
2666015878575546496,0.84964216,0.8315084,0.86783284
2677447294810845824,0.8088347,0.79158896,0.8261535
2790691147020786816,1.5236596,1.4924426,1.55494
2831084391023184128,1.2278725,1.2022997,1.2533674
2841043011433969152,0.72352636,0.7062586,0.7408006
2868528637464028160,1.4712826,1.4395887,1.5033846
2878641361300809856,1.5727745,1.5357114,1.611438
2881784280929695360,1.5163113,1.4851246,1.5475118
2912264564319611136,0.8384367,0.8208294,0.85605043
2924661867160818304,1.3458651,1.3187362,1.3730109
2930141657016297216,1.3846388,1.3559666,1.4132714
2959177048983750016,1.3600608,1.3318979,1.3880813
2966680597368750720,0.65322727,0.63229644,0.67558146
2980392087185289216,1.350825,1.3226057,1.3785708
3022644120017418496,0.90189,0.88317513,0.92090136
3046327742219111808,1.2419343,1.2154427,1.2680374
3078836109158636928,0.8306533,0.8134031,0.8478876
3080104185367102592,1.8554269,1.8167756,1.8941371
3087206553745290624,0.71839035,0.7015698,0.735216
3105507886130792448,1.2218518,1.1928325,1.2501832
3107255598526406912,1.0806121,1.0435064,1.1362982
3107267177757848576,0.8334343,0.81613934,0.8507724
3125611120515388800,1.1441457,1.1157814,1.1709836
3126717023056016256,1.4777141,1.4474938,1.5079714
3211188618762023424,1.1570168,1.1334456,1.1805624
3222453935725951488,1.0240763,1.0028859,1.0453317
3231856379348299008,2.1557298,2.1109176,2.2006068
3291455819447952768,1.8736695,1.8548217,1.8903772
3311804515502788352,,,
3326541506073371776,0.96382636,0.9420298,0.9846169
3342228616422593664,2.468486,2.4177876,2.519071
3385777286999240576,1.4531975,1.423114,1.483285
3394923127797114496,1.7506297,1.712302,1.7917151
3402980516507429888,2.7471797,2.691167,2.8033848
3445148131761842944,1.1055393,1.1003861,1.1102184
3460438662009633408,,,
3515865416826633984,1.040225,1.0186088,1.0618472
3537110837630877568,1.0750221,1.0519257,1.0982933
3545873945303316224,1.2649614,1.2385186,1.2914076
3558354604869150208,1.1848924,1.1606132,1.2098653
3578596339057980160,0.7172939,0.69936484,0.73524237
3578783977588991360,0.8214114,0.80439574,0.8383578
3579426053724051584,1.0312257,1.0097197,1.0526526
3579573358218514944,,,
3581264372742210048,,,
3582057258065666816,0.8970002,0.8778491,0.9162033
3582098107498270208,1.6862359,1.6492813,1.7248455
3582392123779246336,0.84226346,0.82437617,0.86025
3582706794559052160,0.8483942,0.8291893,0.86730295
3583611726988838144,0.7599541,0.74194765,0.77822065
3583630934082556416,0.7849222,0.768448,0.80137527
3584368019189709952,1.0437211,1.0110937,1.0713518
3594882751966012160,0.7434302,0.72765565,0.75920624
3595647565382917120,0.4116511,0.3622594,0.46103227
3596003497911958528,0.94283223,0.921801,0.963541
3596508242468505216,0.6572793,0.6381396,0.6764235
3596876269626641664,0.7018944,0.6847171,0.71906894
3597570989175080576,1.4180411,1.3888993,1.4472599
3597981377595128704,0.9202675,0.9011474,0.9394393
3600851450836925312,0.83546734,0.8178161,0.85323083
