designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 869913435026514688",869913435026514688,111.91642873572714,24.33610522093934,14.006549548036949,0.017639995,-5.104265427850033,-96.09015347152982,1.1590353,10.990832,1.4177961,-18.654259,0.5041868,"VARIABLE",0,true,true,false,true,false,true,true,4649.1714,4.6213,0.7984,71.5838,0.2866,0.2177,0.1131,"Gaia DR2 869913435026514688",111.9164295334374,24.33611851126443,14.0483,-4.9853,-96.2346,-19.0951,2015.5,8.306325141673173E-8
"Gaia DR3 770622651659107712",770622651659107712,171.27493460079938,41.02802258436881,3.5190175520895486,0.022835603,-1.1423110050994456,13.522946322628673,1.1078336,11.557181,0.8516798,-51.86987,0.47607073,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5572.2466,4.2935,-0.1072,279.4247,0.0021,0.0017,9.0E-4,"Gaia DR2 770622651659107712",171.27493476440156,41.028020674947264,3.5781,-1.088,13.2426,-51.9843,2015.5,7.543768339529203E-8
"Gaia DR3 1808938730710633984",1808938730710633984,306.1239095151492,16.762145396892375,2.735836604587419,0.010759043,13.325271152933801,-5.5050878727079375,0.8600453,12.162349,0.82632065,-16.668509,0.8811252,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5774.3516,4.2393,-0.1446,360.1922,0.0991,0.0833,0.0447,"Gaia DR2 1808938730710633984",306.12390756897446,16.762146233023707,2.7129,13.263,-5.4119,-16.4037,2015.5,8.714661952892186E-8
"Gaia DR3 111322601672419712",111322601672419712,48.435475111904644,25.19735288979064,3.3127828783420603,0.017776499,13.489857431613235,-13.683756795335889,0.8975289,12.832714,1.1896915,-13.722182,1.0642664,"VARIABLE",0,true,true,false,true,false,true,true,5040.7104,4.3441,-0.2544,309.1382,0.3742,0.2978,0.1589,"Gaia DR2 111322601672419712",48.43547307093631,25.197354784771154,3.3009,13.4899,-13.586,-11.8164,2015.5,2.8011207149075537E-8
"Gaia DR3 3668036348641580288",3668036348641580288,213.1565560910084,4.05939764185346,6.998540973936465,0.020390866,37.73460499918123,-142.81620677244982,1.0439808,11.461785,1.0784702,14.095987,0.3919611,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4961.818,4.4843,-0.0633,141.4245,0.0023,0.0019,0.001,"Gaia DR2 3668036348641580288",213.1565508228149,4.059417462482081,7.0221,37.8389,-142.8908,14.5758,2015.5,2.5318382488841423E-8
"Gaia DR3 363702817083391232",363702817083391232,13.000920243485744,34.72840239417404,2.4728030264439855,0.015640205,25.615334580067767,2.711632274604357,0.9949968,12.860381,1.0114679,44.085926,1.1026305,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5661.1562,4.3079,-0.0307,390.1444,0.4205,0.3464,0.1855,"Gaia DR2 363702817083391232",13.000915933007947,34.728402041447204,2.4633,25.5187,2.8589,48.0597,2015.5,4.437308626036608E-8
"Gaia DR3 4583004815239650176",4583004815239650176,271.537671060719,26.42660420231556,2.9150594009808177,0.013419858,-7.382268380606124,-13.427120548324869,0.96055835,11.448122,0.79760075,-3.615044,0.32610917,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5806.3364,4.1872,-0.2014,336.01,0.0704,0.0593,0.0319,"Gaia DR2 4583004815239650176",271.53767217435893,26.426606107260945,2.8779,-7.4366,-13.4015,-3.243,2015.5,5.630207816901723E-8
"Gaia DR3 2133946843094378752",2133946843094378752,284.29603837452964,51.26912106289137,2.5686356955745944,0.009980177,-4.115154301185443,-0.9150781615936963,1.0262307,13.252269,0.934371,-20.67255,2.0369546,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5454.4395,4.5027,0.0113,385.8586,0.1013,0.0833,0.0443,"Gaia DR2 2133946843094378752",284.29603929272326,51.269121198999564,2.5314,-4.1137,-0.8544,0.0,2015.5,1.7720629275069825E-8
"Gaia DR3 1962153854973972096",1962153854973972096,335.51292167392506,45.45734141046544,2.0534180420700974,0.016772069,8.96597141356456,-5.561691848879303,1.0600654,11.4148245,0.8370781,-25.778393,0.3696034,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,,"Gaia DR2 1962153854973972096",335.51291993739136,45.45734225223013,2.1246,8.9622,-5.4099,-25.7066,2015.5,9.424372337139168E-8
"Gaia DR3 1835842749465226368",1835842749465226368,305.44132799220523,26.692676097505817,2.886155653716607,0.014929653,-9.11644721791495,1.7495263163017527,0.96423,10.210516,0.5204706,15.034858,0.24867526,"VARIABLE",0,true,true,false,true,false,true,true,6739.136,3.9778,-0.352,341.9525,0.0261,0.023,0.0124,"Gaia DR2 1835842749465226368",305.4413294098608,26.692675914761573,2.8258,-9.2025,1.9014,15.1979,2015.5,8.215510741264359E-8
