Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pme
2073652546016392448,,,,,,,,
2073697660354300544,,,,,,,,
2073731161099713408,5690,77,77,1.36,0.04,0.04,0.04,0.07
2073804411752924288,6081,75,75,1.45,0.04,0.04,-0.03,0.1
2075112109039378688,,,,1.34,0.02,0.02,,
2075161655782111872,,,,,,,,
2076121602454770560,,,,,,,,
2076185408488670208,,,,,,,,
2076328963475704576,,,,,,,,
2076454445237794432,,,,,,,,
2076565805151925760,,,,,,,,
2076601917234347520,,,,,,,,
2076692386427776768,,,,,,,,
2076764576237957504,,,,,,,,
2076782889978499840,,,,,,,,
2076792648144511104,,,,,,,,
2076871091425583232,,,,,,,,
2076955822541823744,,,,,,,,
2076960598545789824,,,,1.55,0.05,0.05,,
2076970047474270208,,,,,,,,
2077140987172577408,,,,,,,,
2077540827141811200,,,,,,,,
2077556465126659456,,,,,,,,
2077598384004774912,,,,,,,,
2077726678964445696,,,,,,,,
2077750803804146176,,,,,,,,
2077961463362645632,,,,,,,,
2077994272606400512,,,,,,,,
2078000289864478976,,,,,,,,
2078195212660287616,,,,,,,,
2078272831307891456,,,,0.77,0.01,0.01,,
2078286197246582016,,,,1.24,0.01,0.01,,
2078515170549178880,,,,1.2,0.03,0.03,,
2078648211455026432,,,,,,,,
2078697552035948800,,,,1.34,0.02,0.02,,
2078722600285671936,,,,0.94,0.03,0.03,,
2078832551450444032,,,,,,,,
2078996825361036160,,,,,,,,
2079005651508492032,,,,1.45,0.02,0.02,,
2079192121810035840,,,,1.36,0.03,0.03,,
2079295583282164992,,,,1.1,0.03,0.03,,
2079368391569401600,,,,1.65,0.01,0.01,,
2079695496278608896,,,,1.19,0.02,0.02,,
2079807646464016256,,,,,,,,
2079880695265507328,,,,,,,,
2079885608708649344,,,,1.57,0.08,0.08,,
2080246282881778048,,,,1.04,0.02,0.02,,
2080266967444876032,,,,,,,,
2080271674728481280,,,,,,,,
2080287892525359872,,,,,,,,
2080296757338392576,,,,,,,,
2080344586094498432,,,,1.38,0.04,0.04,,
2080386917291928832,6253,75,75,1.13,0.03,0.03,-0.13,0.1
2080452613110460928,,,,,,,,
2080466185207274880,,,,,,,,
2080562667352233728,,,,,,,,
2080605823183999616,,,,,,,,
2082074942519913344,,,,1.72,0.01,0.01,,
2082161219824397568,,,,,,,,
2085204015173031552,,,,,,,,
2085527924426959104,,,,,,,,
2086337508581280256,,,,,,,,
2086389357427331712,6056,165,165,,,,-0.17,0.3
2086505630781210752,,,,,,,,
2086625752425381632,5851,75,75,,,,0.27,0.1
2086629463276947456,,,,,,,,
2086660283961964416,,,,,,,,
2086718317558873984,,,,,,,,
2086940448965828992,,,,,,,,
2087171453788422528,,,,,,,,
2087250476887856256,,,,,,,,
2099541715513813504,5739,75,75,,,,0.35,0.1
2099583977992504576,,,,,,,,
2099605968225288960,5747,85,85,,,,0.03,0.1
2099606483621385216,6305,50,50,,,,-0.03,0.1
2099656472742686848,5622,106,106,,,,-0.4,0.11
2099854801450635520,,,,,,,,
2099862910348755712,,,,,,,,
2099925719951103872,,,,,,,,
2100389610777053056,,,,,,,,
2100392428275714688,6134,91,91,,,,-0.24,0.1
2100416823690394624,5968,59,59,,,,-0.2,0.3
2100524610190045312,,,,,,,,
2100597143598879616,,,,1.89,0.01,0.01,,
2100624562669914240,,,,,,,,
2100906140725803392,,,,,,,,
2101035367703145088,,,,,,,,
2101175933393051008,5969.16,63.76,63.9,,,,-0.06,0.08
2101188990094347648,,,,,,,,
2101230049979183232,,,,,,,,
2101243789577188736,5889.04,70.97,75.58,,,,0.1,0.09
2101305259145506816,5884,75,75,,,,-0.22,0.1
2101508501301083520,,,,,,,,
2101719263935952768,,,,,,,,
2101733244046205568,5902.77,66.37,53.27,,,,0.1,0.09
2101768089124657664,,,,,,,,
2101854881822529024,,,,,,,,
2101898759208960640,,,,,,,,
2101964558106974848,,,,,,,,
2102063136195478656,,,,,,,,
2102067396802935680,,,,,,,,
2102070660978313472,,,,,,,,
2102110174677569664,,,,,,,,
2102119176929154304,6193.44,52.09,42.69,,,,0.15,0.08
2102224661326132864,5951.55,69.2,76.23,,,,0.3,0.07
2102316985943863424,,,,,,,,
2102454253097554304,,,,,,,,
2102469921138142208,,,,,,,,
2102548708017562112,,,,,,,,
2102587087846067712,,,,,,,,
2102610280669509888,,,,,,,,
2102700131386216576,,,,,,,,
2102815683186036096,,,,,,,,
2102911581215700096,,,,,,,,
2103295173333142784,,,,,,,,
2103452266056715392,6184,81,81,,,,0.12,0.1
2103788854053938816,,,,1.12,0.03,0.03,,
2103845032226500352,,,,,,,,
2104094071610116608,,,,,,,,
2104098950692667264,,,,,,,,
2104344141784539264,5923,77,77,,,,-0.07,0.1
2104376405579347968,,,,,,,,
2104466153215402624,,,,,,,,
2104466256290759936,,,,,,,,
2104506319750394624,,,,,,,,
2104847370214740352,,,,,,,,
2105135854577044480,5952,119,119,,,,0.02,0.15
2105221139747765504,,,,,,,,
2105274977158196480,,,,,,,,
2105362903731391744,,,,,,,,
2105414310196331264,,,,,,,,
2105415302330571008,,,,,,,,
2105435544515167232,,,,,,,,
2105535462635217792,,,,,,,,
2105538623730974848,,,,,,,,
2105618029085927680,,,,,,,,
