Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me,Parallax,Parallax e,G-Mag,Logg,logg pe,Logg me
2052304325169514880,5646.075,49.9494,29.739,0.9013704,0.02887154,0.02573734,-0.4288,0.0631,0.0346,0.898050709,0.022271022,15.352608,4.5015,0.0221,0.0225
2052392835854583936,4660.2617,11.8447,11.1743,0.76032203,0.01875357,0.01851457,0.224,0.0193,0.0212,2.01024055,0.020075647,14.932739,4.5768,0.0064,0.0079
2052528625536778624,4968.373,8.181,7.25,0.7848251,0.01695447,0.01694126,-0.021,0.0104,0.009,3.146368649,0.011522094,13.518236,4.5499,0.0032,0.0044
2052688467040906624,5875.504,58.797,42.6026,1.256731,0.0561921,0.0522803,0.1233,0.0706,0.0425,0.547383737,0.024154382,15.489545,4.4793,0.0216,0.0274
2052747119115620352,5657.4126,20.4199,4.5361,0.9471395,0.0194007,0.01920813,-0.2088,0.0147,0.0039,10.41481216,0.01039673,9.86859,4.4007,0.01,0.0014
2052823535171095296,6017.2056,22.6308,21.2126,1.1556762,0.0328231,0.0313879,-0.0485,0.0233,0.0226,0.831152352,0.018597968,14.912541,4.454,0.023,0.0325
2052826318309391104,4780.2383,13.3183,80.1423,0.774357,0.01772203,0.01756964,0.6826,0.0177,0.1405,2.34952145,0.015493931,14.438938,4.6263,0.0044,0.0202
2052975370856687744,5593.3574,39.8816,13.3664,1.02011,0.022173,0.0219056,-0.033,0.0486,0.0155,1.464083394,0.01365261,14.00832,4.3744,0.0109,0.0447
2053070616052194304,5787.1567,7.1463,7.2077,1.3237374,0.0296986,0.0308713,-0.2818,0.0078,0.0077,0.944642726,0.013653684,14.210621,4.1501,0.0118,0.0125
2053546910744629504,5238.389,18.8903,15.007,0.8584561,0.01975576,0.02115157,0.0042,0.0206,0.018,1.45474413,0.018369468,14.708314,4.5168,0.017,0.0113
2053552270863859712,6642.582,15.768,15.433,1.4977385,0.0429908,0.0463069,-0.2624,0.0144,0.0141,0.659183384,0.01524523,14.314449,4.1882,0.0132,0.0123
2053562475706063744,4128.3594,20.3178,8.4859,0.6691427,0.0217037,0.0216504,0.3746,0.0603,0.0225,2.598403908,0.03307959,15.964754,4.6515,0.0061,0.0044
2053586321364864640,5052.205,27.937,22.2255,0.8754553,0.0285912,0.02839617,-0.0279,0.0343,0.0243,0.929809096,0.028136946,15.803403,4.5081,0.0158,0.0161
2054523105274216704,8742.581,53.582,60.355,1.7289097,0.0389601,0.0396288,0.0172,0.0292,0.0309,2.053386258,0.01282386,10.543578,4.2119,0.0168,0.041
2056007995732413312,6031.483,1.54,1.099,1.300195,0.0260927,0.0260883,-0.2181,0.0046,0.0049,12.40741431,0.014200931,8.428037,4.1923,0.0017,0.0016
2073153024144692736,6426.5894,12.1831,11.7204,1.5392992,0.034485,0.0329433,-0.0719,0.0107,0.0104,0.968698166,0.011381832,13.438997,4.1774,0.0068,0.0078
2073274618947678464,5572.3813,24.7881,24.8916,1.0317585,0.0265564,0.025875,-0.1961,0.0253,0.0242,1.014963397,0.017671289,14.855532,4.4296,0.0197,0.0136
2073277200237694464,4772.218,17.1433,9.943,0.80427927,0.01762663,0.01755142,0.1876,0.0143,0.0123,3.239239966,0.011929319,13.657266,4.5432,0.0227,0.0099
2073539536845074176,5839.9473,39.7934,19.5977,1.7550845,0.0376899,0.0367427,-0.1728,0.0355,0.0177,2.184711986,0.009906264,11.796702,4.0984,0.0051,0.0402
2073547954981763328,4935.742,20.394,20.3343,0.8147448,0.0225322,0.0239254,0.106,0.0259,0.0277,1.151435853,0.02714618,15.751848,4.5611,0.0161,0.0118
2073652546016392448,4459.129,18.722,11.8204,0.69206023,0.01975557,0.01932873,0.367,0.1087,0.0513,1.847276581,0.027937295,15.89301,4.608,0.0083,0.0127
2073697660354300544,4885.962,10.703,8.8516,0.7797988,0.0176692,0.01783376,-0.0889,0.0112,0.0106,2.344183556,0.015503235,14.290711,4.5479,0.005,0.0051
2073731161099713408,5739.3975,11.1899,24.2945,0.9569718,0.0194525,0.01960484,0.0159,0.0105,0.0255,8.121138687,0.011343858,10.299055,4.4596,0.007,0.0157
2073804411752924288,,,,,,,,,,1.735272858,0.011000078,11.822564,,,
2075112109039378688,5068.2783,7.6431,6.4927,0.8952149,0.0190094,0.01872294,0.1398,0.0089,0.0087,3.228267216,0.011634878,13.064858,4.4894,0.0022,0.0026
2075161655782111872,5248.539,10.706,14.39,0.82857823,0.01726652,0.01738578,0.1059,0.0099,0.0117,4.057920233,0.009213146,12.60726,4.5387,0.0071,0.0093
2076121602454770560,5654.674,69.249,13.494,1.1193485,0.0229185,0.0229468,0.0103,0.0716,0.0163,2.517225677,0.010532432,12.575336,4.3029,0.0348,0.0077
2076185408488670208,5454.9424,18.4576,20.6358,0.87116915,0.02131725,0.02305375,-0.0029,0.0237,0.0249,1.161171326,0.017701562,15.058516,4.5669,0.0105,0.0123
2076328963475704576,4555.349,8.102,4.779,0.71731836,0.01745778,0.01754256,0.4872,0.0138,0.0161,2.667453194,0.018264642,14.745099,4.61,0.0099,0.0104
2076454445237794432,4690.752,10.3427,9.662,0.7479729,0.0191412,0.01808935,-0.0144,0.0131,0.0121,2.013746266,0.022144625,14.89129,4.5745,0.0046,0.0039
2076565805151925760,4685.2856,14.003,33.8346,0.7193246,0.017458,0.01755847,0.1583,0.0232,0.0652,2.249746838,0.018927721,14.820219,4.6369,0.006,0.0075
2076601917234347520,5575.019,19.6006,19.27,1.5964409,0.0355148,0.0365074,-0.6572,0.0194,0.0207,1.067986386,0.011753288,13.699747,4.1419,0.0072,0.007
2076692386427776768,5521.203,17.392,21.7533,0.8990057,0.02254237,0.02112167,-0.2153,0.0184,0.0211,1.098633796,0.01898666,15.052241,4.4844,0.022,0.015
2076764576237957504,4545.8384,7.4406,8.417,0.6934652,0.01762334,0.01713726,0.2011,0.0159,0.0152,2.677733225,0.017762544,14.8790245,4.623,0.0068,0.0072
2076782889978499840,4985.614,28.945,63.6633,0.8039355,0.0177157,0.01810685,0.0566,0.0356,0.0963,2.46549552,0.012447392,14.011885,4.5719,0.0249,0.0151
2076792648144511104,5813.4683,10.5283,7.9603,1.0377848,0.0221524,0.0232153,-0.2673,0.0087,0.0069,1.395775469,0.01295282,13.930912,4.322,0.0077,0.0076
2076871091425583232,4697.2563,8.7784,16.2513,0.78467375,0.01749405,0.01739035,0.3182,0.0118,0.0181,4.801422449,0.014390312,12.949096,4.5623,0.0033,0.0026
2076955822541823744,5427.938,12.8432,13.592,0.9117809,0.02209365,0.0247761,-0.1136,0.0127,0.0135,1.158879481,0.02054207,14.889953,4.4765,0.0099,0.0096
2076960598545789824,5522.061,60.213,40.148,1.1398946,0.0247319,0.0247443,-0.387,0.0637,0.0408,1.547563732,0.011732873,13.696377,4.3448,0.0115,0.0082
2076970047474270208,6022.8604,10.4013,10.7234,1.4065552,0.0286029,0.0284883,-0.1723,0.0102,0.0098,2.106923778,0.008604879,12.180761,4.2173,0.0025,0.0027
2077140987172577408,5000.155,28.927,31.144,0.86858416,0.03344414,0.02752209,-0.3437,0.0301,0.0332,0.919895906,0.028580222,15.928862,4.4841,0.0151,0.0149
2077540827141811200,5307.0483,12.3327,13.6003,0.9103619,0.0188419,0.0188531,0.3496,0.0099,0.0118,3.726566233,0.009409878,12.513983,4.501,0.01,0.0098
2077556465126659456,5708.659,25.989,26.099,1.8629725,0.1182485,0.1044741,0.0381,0.0247,0.025,0.545474786,0.033844486,14.8080435,4.1692,0.0228,0.024
2077598384004774912,5838.3506,3.2158,2.2559,1.8426697,0.2032359,0.1262364,-0.4273,0.0104,0.0083,1.269834111,0.1087685,12.756987,3.8651,0.0098,0.0053
2077726678964445696,,,,,,,,,,,,16.14506,,,
2077750803804146176,6218.183,42.185,81.8754,1.2264249,0.0287335,0.0268752,-0.0032,0.0303,0.0611,1.286072706,0.01025985,13.525065,4.3619,0.0466,0.06
2077961463362645632,4978.7593,18.3907,19.7163,0.78400034,0.02684271,0.0259853,-0.0179,0.0201,0.0208,1.083066947,0.030590922,15.841413,4.5477,0.0112,0.0135
2077994272606400512,5355.9414,15.2146,16.8711,0.9059614,0.0188067,0.01869315,-0.0988,0.0157,0.0159,3.560965469,0.008993224,12.533123,4.4762,0.0043,0.0041
2078000289864478976,4561.1143,19.0647,18.3543,0.76186293,0.02092517,0.0211094,0.0982,0.0424,0.0494,1.644923662,0.024825176,15.49125,4.6018,0.0101,0.0071
2078195212660287616,5262.055,45.1012,23.994,1.1766331,0.038725,0.0364122,-0.3927,0.0444,0.0365,0.70110167,0.023223693,15.478404,4.3183,0.0348,0.1188
2078272831307891456,6070.8984,22.023,20.5384,1.4024361,0.0315553,0.031687,-0.1477,0.0159,0.016,1.038013339,0.011509687,13.677422,4.1835,0.0313,0.0162
2078286197246582016,4969.92,14.3964,14.9757,0.81548184,0.01919296,0.01817429,0.1019,0.0171,0.0194,1.909108472,0.01828253,14.53355,4.5337,0.0066,0.0073
2078515170549178880,5858.996,16.911,15.2294,1.0392451,0.0228339,0.0220383,-0.3678,0.0122,0.0123,1.376341476,0.012882695,13.952133,4.3889,0.0064,0.0057
2078648211455026432,5300.3193,16.959,17.1573,0.8513842,0.01920893,0.0184127,-0.212,0.0167,0.0189,1.702010579,0.015718995,14.491433,4.4976,0.0073,0.0135
2078697552035948800,6033.977,21.2505,37.915,1.3248361,0.0308996,0.0299968,-0.3354,0.0201,0.0331,0.997551378,0.014012699,14.010237,4.2493,0.0103,0.0205
2078722600285671936,5696.184,10.877,9.18,0.8986462,0.01899353,0.0189184,-0.4428,0.0117,0.0096,1.940874963,0.011609858,13.754966,4.4537,0.0043,0.0044
2078832551450444032,5562.9243,30.2177,51.4057,0.85341823,0.02266297,0.02370798,-0.1494,0.0291,0.0443,1.112321478,0.020696418,15.204731,4.5974,0.0114,0.0406
2078996825361036160,,,,,,,,,,2.121634942,0.3568118,12.335877,,,
2079005651508492032,6654.1885,12.4095,10.9175,1.6803675,0.037685,0.0377085,-0.3187,0.0067,0.0061,1.185930469,0.012905552,12.881743,4.1476,0.0079,0.008
2079192121810035840,5801.4614,2.5962,2.5537,1.0421772,0.0214609,0.0214868,-0.3389,0.0037,0.0046,2.533610748,0.010331633,12.852747,4.332,0.0029,0.0029
2079295583282164992,5254.8525,13.377,14.3808,0.95647526,0.02016198,0.02009736,0.1275,0.0142,0.0149,2.291610923,0.011829997,13.526981,4.4602,0.009,0.0054
2079368391569401600,5857.3047,12.728,9.4977,1.157068,0.0243422,0.0237962,-0.2934,0.0138,0.009,1.611136892,0.010702549,13.380967,4.249,0.0084,0.0071
2079695496278608896,5983.892,19.7296,21.7797,1.1629783,0.0238496,0.0240038,-0.3859,0.0158,0.0214,3.504259358,0.010124171,11.477572,4.2458,0.0107,0.0224
2079807646464016256,4769.4673,18.603,11.2663,0.81585896,0.02670211,0.02426416,-0.5965,0.0332,0.0327,1.127944854,0.02678596,15.801282,4.5082,0.0142,0.0148
2079880695265507328,5655.6826,11.2474,4.8446,1.0666069,0.0226059,0.0224992,-0.1178,0.0092,0.0048,1.865978168,0.011340113,13.543123,4.3364,0.0068,0.0054
2079885608708649344,5774.453,4.2306,4.4935,0.9014964,0.0188724,0.01887785,-0.5294,0.0062,0.0052,2.037834148,0.011105446,13.544186,4.4377,0.0032,0.0032
2080246282881778048,4947.7793,21.1694,18.0893,0.8497759,0.02574034,0.023102,0.3749,0.0225,0.0226,1.27221175,0.023001201,15.411413,4.5193,0.0084,0.0094
2080266967444876032,,,,,,,,,,0.586608273,0.01190051,13.895833,,,
2080271674728481280,5326.634,7.4324,7.9367,1.0832198,0.0220843,0.0221454,0.0654,0.0087,0.0086,4.122373338,0.011795661,11.817324,4.3862,0.002,0.0019
2080287892525359872,,,,,,,,,,3.095978947,0.027561706,15.795283,,,
2080296757338392576,5802.9204,19.0176,19,1.0779176,0.0388824,0.0374283,-0.4177,0.0212,0.0204,0.657940216,0.022963844,15.454196,4.4054,0.0152,0.0157
2080344586094498432,5157.6562,9.7295,12.2226,0.7885804,0.01734825,0.0169058,-0.1142,0.0112,0.0126,2.614828968,0.0132995,13.73651,4.5478,0.0038,0.0038
2080386917291928832,6387.2627,2.8935,2.2681,1.9153173,0.0385286,0.0385211,-0.2144,0.0039,0.0035,4.713511845,0.010219267,9.522967,3.9839,0.0016,0.0016
2080452613110460928,5369.369,16.127,18.785,1.1084654,0.0237385,0.024386,0.1866,0.0187,0.0213,1.493220097,0.011899165,13.894723,4.3792,0.0054,0.008
2080466185207274880,5508.0186,28.5064,40.604,0.9692778,0.02483606,0.02426475,-0.388,0.033,0.035,1.061928394,0.016891716,14.850239,4.4428,0.0257,0.0135
2080562667352233728,5507.825,25.713,10.9227,0.881537,0.0209633,0.01926223,-0.5012,0.0255,0.0116,2.17014003,0.02166779,13.578962,4.4698,0.0111,0.0156
2080605823183999616,5818.928,37.1643,73.913,2.8514073,0.0675635,0.0794585,-0.0758,0.0424,0.0614,0.748901223,0.01029757,13.251771,3.7656,0.0209,0.0238
2082074942519913344,5605.509,4.1834,2.059,1.0990694,0.0232598,0.0228701,-0.5191,0.0071,0.0076,2.259819474,0.014137193,12.830316,4.3498,0.0033,0.0036
2082161219824397568,6766.387,10.8293,27.562,1.6037103,0.03629,0.0360147,-0.4877,0.0083,0.016,1.058398416,0.010067437,13.268091,4.108,0.0071,0.0216
2085204015173031552,6167.8657,21.209,16.0219,1.9533302,0.0422284,0.0474188,-0.3159,0.0336,0.0131,1.12273553,0.013062249,12.973302,3.8619,0.0395,0.0483
2085527924426959104,5044.935,13.5338,13.1464,0.7817403,0.01803083,0.0175924,-0.0834,0.014,0.0123,2.059786684,0.016934,14.496916,4.5531,0.0053,0.0057
2086337508581280256,5547.5566,24.9317,35.2966,1.6540134,0.067027,0.0755816,-0.1028,0.0154,0.0491,0.500471727,0.02149418,15.383721,3.8256,0.0096,0.0138
2086389357427331712,5843.6416,16.6804,14.271,2.7489078,0.0579479,0.0590155,-0.3051,0.0152,0.0083,1.148972673,0.009380246,12.225351,3.6563,0.0052,0.0064
2086505630781210752,5998.838,9.531,10.8517,1.5285162,0.0315431,0.031381,-0.0718,0.0095,0.0101,2.03566813,0.008967074,12.011006,4.1757,0.0026,0.0026
2086625752425381632,5767.8916,5.731,5.5736,1.4324521,0.0294179,0.0296267,-0.0595,0.0053,0.0045,1.925929009,0.009223091,12.45557,4.0875,0.004,0.0044
2086629463276947456,4662.025,6.2206,5.7857,0.80472195,0.01847325,0.01900118,-0.4077,0.0073,0.0089,3.2298608,0.02531415,13.758179,4.4919,0.0039,0.0039
2086660283961964416,5510.6377,36.9829,37.8901,1.1138263,0.0522419,0.0345202,-0.1024,0.04,0.0396,0.632265353,0.024574205,15.692461,4.4092,0.017,0.0169
2086718317558873984,5668.1377,49.0957,16.0772,1.7152663,0.049853,0.0575184,-0.0976,0.0385,0.0135,1.455998073,0.043110076,12.835647,4.1403,0.0129,0.0123
2086940448965828992,5796.333,3.243,1.874,1.2121687,0.0246738,0.0248506,-0.3604,0.0061,0.0056,2.106519194,0.008782949,12.605828,4.3016,0.0022,0.0025
2087171453788422528,5520.7876,37.8324,16.354,0.8737278,0.0184889,0.0181216,-0.1266,0.0387,0.0155,6.426020201,0.012372064,11.164304,4.4759,0.0124,0.0088
2087250476887856256,4630.379,8.806,10.5934,0.750875,0.0171531,0.0171437,0.1423,0.016,0.0256,5.359106754,0.012555569,12.840865,4.5741,0.0031,0.0038
2099541715513813504,5535.0176,1.3037,1.1116,1.1141555,0.0226074,0.0225862,0.1412,0.0028,0.0033,4.280171432,0.011241702,11.436429,4.3069,0.0022,0.0023
2099583977992504576,5847.7944,7.5103,14.3294,1.2093711,0.0257969,0.0259109,-0.3059,0.0089,0.0097,1.529812907,0.011763747,13.369694,4.2326,0.0172,0.0125
2099605968225288960,5673.763,14.98,18.015,1.4489298,0.0295747,0.0295055,-0.1583,0.0132,0.0143,2.115130045,0.008953068,12.3519745,4.0866,0.014,0.0142
2099606483621385216,6164.738,22.6756,43.3357,1.955826,0.0399418,0.0416977,-0.4034,0.0235,0.0534,9.21811431,0.01726815,8.139577,3.8872,0.011,0.0147
2099656472742686848,5543.1426,4.1308,1.9199,1.4933653,0.0303011,0.0302372,-0.6867,0.0063,0.0051,2.592361562,0.008292779,11.915645,4.1726,0.0039,0.0024
2099854801450635520,5185.2856,23.8524,31.623,0.87267977,0.02230036,0.0221467,0.0139,0.0273,0.0318,1.14845765,0.021358646,15.355764,4.4917,0.014,0.0179
2099862910348755712,5499.323,12.256,11.7073,0.9298862,0.0192666,0.01933733,0.1045,0.0127,0.0114,2.855178436,0.01033993,12.85913,4.4643,0.0084,0.0092
2099925719951103872,5728.9746,35.0269,26.5893,1.0027453,0.0213087,0.02139005,-0.0363,0.04,0.0292,1.582305686,0.012005667,13.769321,4.4383,0.0269,0.0215
