Gaia DR3 2077140987172577408,,,,4972.9956,8.2106,8.394,0.8151273,0.017766,0.0178508,0.1581,0.0113,0.0105
Gaia DR3 2077540827141811200,,,,5545.94,20.4946,16.0645,0.9753009,0.0349819,0.0289356,-0.1639,0.0202,0.0164
Gaia DR3 2077556465126659456,,,,,,,,,,,,
Gaia DR3 2077598384004774912,,,,6089.895,3.277,1.6714,1.3094412,0.026758,0.0267949,-0.0359,0.0048,0.0052
Gaia DR3 2077726678964445696,,,,4777.2373,10.8453,12.6841,0.7599856,0.0170623,0.0171986,0.1311,0.0149,0.015
Gaia DR3 2077750803804146176,,,,6121.6646,58.9463,51.35,1.3650557,0.0500157,0.0654853,-0.1039,0.048,0.0468
Gaia DR3 2077961463362645632,,,,5795.041,34.5664,37.6304,1.5329694,0.0404325,0.0376753,-0.2815,0.0352,0.0382
Gaia DR3 2077994272606400512,,,,5332.886,33.3386,31.7195,1.356446,0.0706617,0.0685523,-0.618,0.0389,0.038
Gaia DR3 2078195212660287616,,,,6133.7817,6.6167,6.2323,2.1522264,0.0475894,0.0476724,-7.00E-04,0.0059,0.0059
Gaia DR3 2078272831307891456,,,,5707.1704,21.1344,26.0361,1.1155456,0.023773,0.0242978,-0.2861,0.0215,0.0288
Gaia DR3 2078286197246582016,,,,5646.075,29.739,49.9494,0.9013704,0.02887154,0.02573734,-0.4288,0.0346,0.0631
Gaia DR3 2078515170549178880,,,,4660.2617,11.1743,11.8447,0.76032203,0.01875357,0.01851457,0.224,0.0212,0.0193
Gaia DR3 2078697552035948800,,,,4968.373,7.25,8.181,0.7848251,0.01695447,0.01694126,-0.021,0.009,0.0104
Gaia DR3 2078722600285671936,,,,5875.504,42.6026,58.797,1.256731,0.0561921,0.0522803,0.1233,0.0425,0.0706
Gaia DR3 2078832551450444032,,,,5657.4126,4.5361,20.4199,0.9471395,0.0194007,0.01920813,-0.2088,0.0039,0.0147
Gaia DR3 2078996825361036160,,,,6017.2056,21.2126,22.6308,1.1556762,0.0328231,0.0313879,-0.0485,0.0226,0.0233
Gaia DR3 2079005651508492032,,,,4780.2383,13.3183,80.1423,0.774357,0.01772203,0.01756964,0.6826,0.0177,0.1405
Gaia DR3 2079192121810035840,,,,5593.3574,39.8816,13.3664,1.02011,0.022173,0.0219056,-0.033,0.0486,0.0155
