Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad,Rad pe,Rad me,Metalicity,Metal pme
2052823535171095296,6022,60,60,1.069,0.027,0.027,0.026,-0.04,0.04
2052826318309391104,,,,,,,,,
2052975370856687744,5718,60,60,1.598,0.042,0.042,0.04,0.12,0.04
2053070616052194304,5917,60,60,1.487,0.037,0.037,0.036,-0.08,0.04
2053546910744629504,5274,60,60,1.23,0.03,0.03,0.029,0.07,0.04
2053552270863859712,6360,60,60,1.051,0.026,0.026,0.025,-0.21,0.04
2053562475706063744,,,,,,,,,
2053586321364864640,5264,60,60,0.936,0.082,0.082,0.071,0.12,0.04
2054523105274216704,,,,,,,,,
2056007995732413312,,,,,,,,,
2073153024144692736,,,,,,,,,
2073274618947678464,,,,,,,,,
2073277200237694464,4932,60,60,1.026,0.025,0.025,0.024,0.28,0.04
2073539536845074176,5975,60,60,1.046,0.027,0.027,0.027,0.09,0.04
2073547954981763328,5080,60,60,1.439,0.035,0.035,0.034,0.09,0.04
2073652546016392448,,,,,,,,,
2073697660354300544,,,,,,,,,
2073731161099713408,5751,60,60,1.407,0.035,0.035,0.035,0.1,0.04
2073804411752924288,6080,60,60,1.407,0.037,0.037,0.036,0.01,0.04
2075112109039378688,5235,60,60,1.342,0.033,0.033,0.032,0.26,0.04
2075161655782111872,5347,60,60,1.234,0.032,0.032,0.031,0.18,0.04
2076121602454770560,5759,60,60,0.904,0.023,0.023,0.022,0.24,0.04
2076185408488670208,,,,,,,,,
2076328963475704576,4665,60,60,1.105,0.028,0.028,0.027,0.06,0.04
2076454445237794432,,,,,,,,,
2076565805151925760,4843,60,60,0.775,0.02,0.02,0.02,0.03,0.04
2076601917234347520,5856,60,60,0.836,0.022,0.022,0.021,-0.17,0.04
2076692386427776768,5456,60,60,0.906,0.023,0.023,0.022,0.11,0.04
2076764576237957504,4653,60,60,0.745,0.021,0.021,0.02,-0.04,0.04
2076782889978499840,5067,60,60,1.086,0.027,0.027,0.026,0.08,0.04
2076792648144511104,5887,60,60,1.13,0.028,0.028,0.027,0.08,0.04
2076871091425583232,4852,60,60,0.781,0.021,0.021,0.02,0.23,0.04
2076955822541823744,5529,60,60,1.412,0.036,0.036,0.035,0.17,0.04
2076960598545789824,5763,60,60,1.491,0.039,0.039,0.038,0.05,0.04
2076970047474270208,6181,60,60,1.38,0.038,0.038,0.036,0.07,0.04
2077140987172577408,5248,60,60,1.205,0.032,0.032,0.031,0.04,0.04
2077540827141811200,5440,60,60,1.234,0.035,0.035,0.034,0.38,0.04
2077556465126659456,5854,60,60,0.791,0.022,0.022,0.021,0.34,0.04
2077598384004774912,6009,60,60,1.327,0.033,0.033,0.032,-0.09,0.04
2077726678964445696,,,,,,,,,
2077750803804146176,6054,60,60,0.885,0.021,0.021,0.021,0.02,0.04
2077961463362645632,4927,60,60,0.908,0.034,0.034,0.033,-0.08,0.04
2077994272606400512,5509,60,60,1.239,0.038,0.038,0.037,0.12,0.04
2078000289864478976,,,,,,,,,
2078195212660287616,5703,60,60,1.318,0.041,0.041,0.04,0.16,0.04
2078272831307891456,6220,60,60,0.786,0.018,0.018,0.018,0.07,0.04
2078286197246582016,5106,60,60,1.252,0.03,0.03,0.029,0.13,0.04
2078515170549178880,5989,60,60,1.193,0.026,0.026,0.026,0.03,0.04
2078648211455026432,,,,,,,,,
2078697552035948800,6154,60,60,1.395,0.029,0.029,0.029,-0.08,0.04
2078722600285671936,5501,60,60,0.943,0.022,0.022,0.021,-0.4,0.04
2078832551450444032,5492,60,60,1.279,0.03,0.03,0.029,-0.06,0.04
2078996825361036160,,,,,,,,,
2079005651508492032,6563,60,60,1.432,0.03,0.03,0.03,0.06,0.04
2079192121810035840,5567,60,60,1.383,0.032,0.032,0.031,-0.35,0.04
2079295583282164992,5441,60,60,1.071,0.025,0.025,0.025,0.28,0.04
2079368391569401600,6000,60,60,1.636,0.041,0.041,0.04,-0.02,0.04
2079695496278608896,6187,60,60,1.19,0.031,0.031,0.03,-0.06,0.04
2079807646464016256,,,,,,,,,
2079880695265507328,,,,,,,,,
2079885608708649344,5648,60,60,1.611,0.038,0.038,0.037,-0.43,0.04
2080246282881778048,5118,60,60,1.052,0.023,0.023,0.023,0.4,0.04
2080266967444876032,,,,,,,,,
2080271674728481280,,,,,,,,,
2080287892525359872,,,,,,,,,
2080296757338392576,,,,,,,,,
2080344586094498432,5260,60,60,1.455,0.037,0.037,0.036,0.04,0.04
2080386917291928832,6318,60,60,1.138,0.027,0.027,0.026,-0.05,0.04
2080452613110460928,5594,60,60,0.999,0.023,0.023,0.023,0.37,0.04
2080466185207274880,,,,,,,,,
2080562667352233728,5495,60,60,1.038,0.097,0.097,0.083,-0.14,0.04
2080605823183999616,,,,,,,,,
2082074942519913344,5860,60,60,1.763,0.044,0.044,0.042,-0.09,0.04
2082161219824397568,,,,,,,,,
2085204015173031552,,,,,,,,,
2085527924426959104,,,,,,,,,
2086337508581280256,5697,60,60,1.615,0.06,0.06,0.058,0.1,0.04
2086389357427331712,6003,60,60,0.98,0.025,0.025,0.025,0.14,0.04
2086505630781210752,6212,60,60,1.134,0.028,0.028,0.027,0.2,0.04
2086625752425381632,5866,60,60,0.969,0.023,0.023,0.022,0.32,0.04
2086629463276947456,4734,60,60,1.079,0.028,0.028,0.027,-0.27,0.04
2086660283961964416,5660,60,60,1.323,0.032,0.032,0.031,0.18,0.04
2086718317558873984,5712,60,60,0.91,0.022,0.022,0.022,0.29,0.04
2086940448965828992,6051,60,60,0.922,0.022,0.022,0.022,0.04,0.04
2087171453788422528,5498,60,60,0.737,0.02,0.02,0.019,-0.08,0.04
2087250476887856256,4859,60,60,0.823,0.021,0.021,0.02,0.11,0.04
2099541715513813504,5678,60,60,1.673,0.176,0.176,0.147,0.28,0.04
2099583977992504576,,,,,,,,,
2099605968225288960,5764,60,60,0.851,0.021,0.021,0.02,0.07,0.04
2099606483621385216,6202,60,60,1.045,0.026,0.026,0.025,-0.04,0.04
2099656472742686848,5700,60,60,1.632,0.045,0.045,0.043,-0.36,0.04
2099854801450635520,,,,,,,,,
2099862910348755712,5567,60,60,1.066,0.026,0.026,0.026,0.2,0.04
2099925719951103872,5788,60,60,0.803,0.019,0.019,0.019,0.08,0.04
2100389610777053056,6065,60,60,1.101,0.027,0.027,0.026,0.09,0.04
2100392428275714688,6002,60,60,1.185,0.031,0.031,0.03,-0.27,0.04
2100416823690394624,5803,60,60,0.862,0.02,0.02,0.02,-0.14,0.04
2100524610190045312,,,,,,,,,
2100597143598879616,4995,60,60,1.871,0.048,0.048,0.047,0.34,0.04
2100624562669914240,5800,60,60,0.971,0.025,0.025,0.024,0.34,0.04
2100906140725803392,5802,60,60,2.597,0.077,0.077,0.075,-0.14,0.04
2101035367703145088,,,,,,,,,
2101175933393051008,5917,60,60,2.086,0.056,0.056,0.054,-0.02,0.04
2101188990094347648,5766,60,60,1.021,0.027,0.027,0.026,0,0.04
2101230049979183232,5599,60,60,0.863,0.028,0.028,0.027,0.06,0.04
2101243789577188736,5886,60,60,0.748,0.02,0.02,0.019,0.13,0.04
2101305259145506816,5887,60,60,1.05,0.033,0.033,0.032,-0.16,0.04
2101508501301083520,,,,,,,,,
2101719263935952768,6319,60,60,0.797,0.022,0.022,0.021,-0.21,0.04
2101733244046205568,5854,60,60,0.639,0.018,0.018,0.018,0.1,0.04
2101768089124657664,5105,60,60,0.66,0.019,0.019,0.019,0.12,0.04
2101854881822529024,5619,60,60,1.045,0.031,0.031,0.03,0.4,0.04
2101898759208960640,5969,60,60,0.884,0.026,0.026,0.025,0.29,0.04
2101964558106974848,5564,60,60,0.738,0.021,0.021,0.02,0.14,0.04
2102063136195478656,5588,60,60,0.771,0.023,0.023,0.023,0.12,0.04
2102067396802935680,4908,60,60,0.736,0.02,0.02,0.02,-0.13,0.04
2102070660978313472,,,,,,,,,
2102110174677569664,5787,60,60,0.677,0.02,0.02,0.019,0.19,0.04
2102119176929154304,6220,60,60,0.727,0.02,0.02,0.019,0.13,0.04
2102224661326132864,5946,60,60,0.988,0.028,0.028,0.027,0.19,0.04
2102316985943863424,5834,60,60,0.922,0.033,0.033,0.032,-0.04,0.04
2102454253097554304,5760,60,60,1.044,0.037,0.037,0.035,-0.42,0.04
2102469921138142208,5498,60,60,0.725,0.02,0.02,0.02,0.07,0.04
2102548708017562112,5508,60,60,0.787,0.023,0.023,0.022,0.11,0.04
2102587087846067712,5616,60,60,0.883,0.026,0.026,0.025,0.2,0.04
2102610280669509888,5880,60,60,0.846,0.026,0.026,0.025,0.22,0.04
2102700131386216576,5162,60,60,1.546,0.106,0.106,0.095,0.17,0.04
2102815683186036096,5722,60,60,0.821,0.023,0.023,0.022,0.07,0.04
2102911581215700096,5060,60,60,0.86,0.023,0.023,0.022,0.3,0.04
2103295173333142784,4618,60,60,0.981,0.026,0.026,0.025,-0.3,0.04
2103452266056715392,6163,60,60,0.779,0.021,0.021,0.02,0.1,0.04
2103788854053938816,5046,60,60,1.163,0.028,0.028,0.027,0.17,0.04
2103845032226500352,,,,,,,,,
2104094071610116608,5146,60,60,1.699,0.048,0.048,0.047,0.03,0.04
2104098950692667264,5573,60,60,0.683,0.019,0.019,0.018,0.39,0.04
2104344141784539264,5898,60,60,1.029,0.028,0.028,0.027,-0.01,0.04
2104376405579347968,4762,60,60,1.674,0.04,0.04,0.039,-0.21,0.04
2104466153215402624,5648,60,60,1.234,0.031,0.031,0.03,0.44,0.04
2104466256290759936,5910,60,60,0.898,0.023,0.023,0.022,-0.2,0.04
2104506319750394624,5613,60,60,1.448,0.035,0.035,0.035,0.39,0.04
2104847370214740352,5237,60,60,1.09,0.028,0.028,0.027,0.05,0.04
2105135854577044480,5923,60,60,0.896,0.022,0.022,0.021,0.09,0.04
2105221139747765504,,,,,,,,,
2105274977158196480,,,,,,,,,
2105362903731391744,5630,60,60,0.707,0.019,0.019,0.019,0.35,0.04
2105414310196331264,,,,,,,,,
2105415302330571008,,,,,,,,,
2105435544515167232,5065,60,60,1.609,0.047,0.047,0.045,-0.12,0.04
2105535462635217792,5769,60,60,1.545,0.044,0.044,0.042,-0.06,0.04
2105538623730974848,,,,,,,,,
2105618029085927680,5350,60,60,1.037,0.027,0.027,0.026,0.06,0.04
2105620159389754624,6302,60,60,1.161,0.031,0.031,0.03,-0.07,0.04
2106008493152187392,4693,60,60,0.685,0.019,0.019,0.018,-0.56,0.04
2106306495162679552,5541,60,60,0.767,0.02,0.02,0.019,-0.29,0.04
2106371744306291328,,,,,,,,,
2106496607595412480,,,,,,,,,
2106674071344722688,5348,60,60,0.801,0.027,0.027,0.026,-0.25,0.04
2106705269988803072,5654,60,60,1.574,0.106,0.106,0.096,0.27,0.04
2106821925598401152,5529,60,60,0.693,0.027,0.027,0.025,0.1,0.04
2106996095111385728,,,,,,,,,
2107001283431633408,4859,60,60,0.861,0.037,0.037,0.035,-0.34,0.04
2107236613280607104,6207,60,60,1.104,0.068,0.068,0.063,-0.16,0.04
2107243072911617024,5652,60,60,0.706,0.032,0.032,0.03,0.06,0.04
2107244481660894592,4883,60,60,1.171,0.076,0.076,0.069,0.2,0.04
2107266570672734592,6125,60,60,1.057,0.06,0.06,0.055,0.24,0.04
2107279803471399168,,,,,,,,,
2107311723669410560,,,,,,,,,
2107315365800640896,6337,60,60,1.567,0.076,0.076,0.072,0.11,0.04
2107342716152550272,6198,60,60,0.744,0.041,0.041,0.038,0.17,0.04
2107622335702262400,,,,,,,,,
2107658516506930048,,,,,,,,,
2116862833283266432,5976,60,60,0.857,0.04,0.04,0.037,-0.01,0.04
2119196585370036736,6218,60,60,0.78,0.035,0.035,0.034,-0.13,0.04
2119534646538533888,,,,,,,,,
2119583201145735808,4909,60,60,0.797,0.028,0.028,0.027,0.11,0.04
2119602202081351168,4728,60,60,0.835,0.034,0.034,0.032,0.32,0.04
2119710538336363904,,,,,,,,,
2119814820141727232,5100,60,60,0.737,0.038,0.038,0.036,-0.25,0.04
2125713940547834496,5416,60,60,0.788,0.027,0.027,0.026,0.12,0.04
2125751461382627840,,,,,,,,,
2125790322246812672,4762,60,60,0.773,0.03,0.03,0.029,0.17,0.04
2125831210335846016,5530,60,60,0.809,0.033,0.033,0.032,-0.15,0.04
2125848733801094912,,,,,,,,,
2125850623586710400,5401,60,60,0.799,0.033,0.033,0.031,0.2,0.04
2126119862195142272,,,,,,,,,
2126237131982289280,6110,60,60,0.902,0.059,0.059,0.054,0.06,0.04
2126266823097360000,4973,60,60,1.211,0.06,0.06,0.056,0.17,0.04
2126418658780855296,5203,60,60,0.801,0.027,0.027,0.026,0.08,0.04
2126432677554353280,5705,60,60,0.897,0.033,0.033,0.031,-0.02,0.04
2126436800722944000,5630,60,60,1.917,0.04,0.04,0.039,-0.22,0.04
2126454633427425664,5479,60,60,1.94,0.042,0.042,0.041,0.27,0.04
2126508676995012352,6112,60,60,0.918,0.022,0.022,0.021,-0.12,0.04
2126556132093765888,,,,,,,,,
2126569051355142656,5905,60,60,0.749,0.02,0.02,0.019,0.22,0.04
2126576679217244160,5081,60,60,0.862,0.022,0.022,0.022,0.15,0.04
2126601108991279872,5656,60,60,1.957,0.056,0.056,0.054,0.28,0.04
2126801563705846528,5779,60,60,0.821,0.023,0.023,0.022,-0.06,0.04
2126878048483137152,5425,60,60,1.518,0.058,0.058,0.055,0,0.04
2126912305142208384,,,,,,,,,
2126918008858627712,6270,60,60,1.084,0.041,0.041,0.04,-0.16,0.04
2127001056345369984,5658,60,60,1.633,0.14,0.14,0.123,0.15,0.04
2127355923723254272,5947,60,60,1.4,0.102,0.102,0.092,0.14,0.04
2127390970655877888,6330,60,60,0.708,0.023,0.023,0.022,0.05,0.04
2127398083121764736,5520,60,60,0.889,0.045,0.045,0.043,0.12,0.04
2127771917075703424,5873,60,60,1.731,0.048,0.048,0.046,0.36,0.04
2127798442794047104,5451,60,60,0.813,0.024,0.024,0.024,-0.12,0.04
2127851116271982848,5634,60,60,1.051,0.029,0.029,0.028,0.07,0.04
2127956360152391168,,,,,,,,,
2127985806448631808,,,,,,,,,
2128013019361703936,6088,60,60,1.625,0.043,0.043,0.042,-0.09,0.04
2128067720065692672,6119,60,60,0.856,0.086,0.086,0.074,-0.07,0.04
2128098197152438144,5184,60,60,0.994,0.026,0.026,0.025,0.21,0.04
2128198974266072192,,,,,,,,,
2128273225659492608,,,,,,,,,
2128298617506651904,6272,60,60,0.813,0.045,0.045,0.042,0.1,0.04
2128369501647063808,,,,,,,,,
2128504397979254528,5356,60,60,1.434,0.034,0.034,0.033,0.09,0.04
2128724678262662144,5759,60,60,1.048,0.055,0.055,0.052,0.05,0.04
2128911251641171200,5446,60,60,1.338,0.04,0.04,0.039,0,0.04
2128925579652377472,5956,60,60,1.775,0.041,0.041,0.04,-0.1,0.04
2129025841368107136,5175,60,60,0.65,0.021,0.021,0.02,-0.08,0.04
2129084935820532608,4665,60,60,0.771,0.033,0.033,0.032,-0.01,0.04
2129161734133025408,5046,60,60,0.769,0.03,0.03,0.029,-0.06,0.04
2129495057954829952,5952,60,60,0.839,0.022,0.022,0.022,-0.02,0.04
2129503235571760128,,,,,,,,,
2129503716608032256,5559,60,60,1.953,0.051,0.051,0.049,-0.25,0.04
2129550445852902656,5789,60,60,0.876,0.021,0.021,0.02,0.14,0.04
2129753580626548736,5676,60,60,0.738,0.02,0.02,0.019,0.01,0.04
2130124219123552256,,,,,,,,,
2130243550494676480,5527,60,60,0.84,0.021,0.021,0.021,0.31,0.04
2130250731680096384,5503,60,60,0.81,0.026,0.026,0.025,-0.13,0.04
2130320172711659136,6267,60,60,1.089,0.036,0.036,0.035,-0.17,0.04
2130368310704421120,5933,60,60,0.792,0.023,0.023,0.022,-0.09,0.04
2130405041264941184,5511,60,60,0.995,0.028,0.028,0.027,-0.09,0.04
2130460394803778816,5315,60,60,1.558,0.04,0.04,0.039,0.33,0.04
2130625287187139072,5884,60,60,0.999,0.024,0.024,0.023,-0.2,0.04
2130634667395736704,5386,60,60,1.796,0.048,0.048,0.046,-0.04,0.04
2130661880308812800,5866,60,60,1.752,0.045,0.045,0.044,0.01,0.04
2130825020347168512,,,,,,,,,
2130889204338693504,,,,,,,,,
2131059594280288128,,,,,,,,,
2131114947819394816,5002,60,60,0.766,0.023,0.023,0.022,0.06,0.04
2131169545443676032,5005,60,60,0.882,0.023,0.023,0.022,0.03,0.04
2131216137248338304,5773,60,60,1.185,0.037,0.037,0.036,-0.15,0.04
2131494313689868416,5808,60,60,1.363,0.034,0.034,0.033,0.26,0.04
2131709921047710336,5661,60,60,0.998,0.024,0.024,0.023,0.39,0.04
2131748747552136960,,,,,,,,,
2131859244171951616,6318,60,60,0.736,0.024,0.024,0.023,0.12,0.04
2132004074768150400,5583,60,60,0.853,0.026,0.026,0.025,-0.02,0.04
2132144056342471168,,,,,,,,,
2132152916856093952,,,,,,,,,
2132155017099178624,5599,60,60,1.173,0.052,0.052,0.049,-0.11,0.04
2132178725317511936,6238,60,60,1.433,0.042,0.042,0.041,-0.02,0.04
2132193431285570304,6015,60,60,1.449,0.046,0.046,0.044,0.1,0.04
2132215421518219392,5918,60,60,1.583,0.04,0.04,0.039,-0.17,0.04
2132325200882204544,5748,60,60,1.454,0.035,0.035,0.034,-0.11,0.04
2132614922197436928,,,,,,,,,
2132709613336959744,6059,60,60,0.699,0.018,0.018,0.018,0.06,0.04
2132768956905956352,4961,60,60,1.326,0.044,0.044,0.043,0.21,0.04
2133021810218800384,5541,60,60,0.677,0.019,0.019,0.019,0.02,0.04
2133022669212268800,5666,60,60,0.673,0.021,0.021,0.021,0.02,0.04
2133035966431029376,,,,,,,,,
2133124511477266176,5602,60,60,2.672,0.115,0.115,0.111,0.14,0.04
2133369840008452224,4791,60,60,1.617,0.042,0.042,0.041,0.13,0.04
2133611659549905024,6155,60,60,1.09,0.051,0.051,0.048,0.11,0.04
2133946843094378752,,,,,,,,,
2134719834131370496,5805,60,60,1.708,0.043,0.043,0.042,-0.03,0.04
2134798444914611712,5920,60,60,3.009,0.09,0.09,0.086,0.26,0.04
2134850847813263360,,,,,,,,,
2134931077802625792,,,,,,,,,
2135002576119495936,6386,60,60,2.157,0.06,0.06,0.058,0.21,0.04
2135019107451751168,5823,60,60,1.5,0.039,0.039,0.038,-0.09,0.04
2135044568018500096,6231,60,60,0.993,0.036,0.036,0.035,0.06,0.04
2135055391335687680,,,,,,,,,
2135179533070399232,5945,60,60,2.201,0.054,0.054,0.053,-0.4,0.04
2135203000771400320,5837,60,60,1.772,0.135,0.135,0.121,0.01,0.04
2135314184585149696,6030,60,60,0.787,0.019,0.019,0.018,0.14,0.04
2135378231142791808,5871,60,60,1.93,0.044,0.044,0.042,-0.3,0.04
2135427576021495168,4966,60,60,1.604,0.037,0.037,0.036,-0.24,0.04
2135590578620605568,6298,60,60,1.814,0.038,0.038,0.037,0.17,0.04
2136815881249993600,,,,,,,,,
2139300262131379584,,,,,,,,,
2141754578242371584,,,,,,,,,
2143749504651818368,5846,60,60,1.594,0.038,0.038,0.037,0.1,0.04
2188906825165621120,,,,,,,,,
2221164434736927360,,,,,,,,,
2242756094328104576,,,,,,,,,
2254929887069708160,,,,,,,,,
2296342614570999552,,,,,,,,,
2300641567596591488,,,,,,,,,
2303332931542914048,,,,,,,,,
2318295979126499200,,,,,,,,,
2329387852426700800,,,,,,,,,
2333676738050041728,,,,,,,,,
2340919358581488768,,,,,,,,,
2371032916186181760,,,,,,,,,
2385171398768647552,,,,,,,,,
2415410962124813056,,,,,,,,,
2424406513428936832,,,,,,,,,
2424621502311961344,,,,,,,,,
2439222638771000448,,,,,,,,,
2441013811932929280,,,,,,,,,
2498515516990171392,,,,,,,,,
2507901914613201024,,,,,,,,,
2512413932376364288,,,,,,,,,
2538824923230146560,,,,,,,,,
2546413408888429696,,,,,,,,,
2562569564026683520,,,,,,,,,
2609222216055014144,,,,,,,,,
2641087471777046016,,,,,,,,,
2645727449501559680,,,,,,,,,
2657135741633337088,,,,,,,,,
2657374606238804992,,,,,,,,,
2666015878575546496,,,,,,,,,
