Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me
2052139123549626240,5332.886,33.3386,31.7195,1.356446,0.0706617,0.0685523,-0.618,0.0389,0.038
2052168466766597120,,,,2.1522264,0.0475894,0.0476724,,,
2052185062520374272,,,,1.1155456,0.023773,0.0242978,,,
2052304325169514880,,,,0.9013704,0.02887154,0.02573734,,,
2052392835854583936,,,,0.76032203,0.01875357,0.01851457,,,
2052528625536778624,,,,0.7848251,0.01695447,0.01694126,,,
2052688467040906624,,,,1.256731,0.0561921,0.0522803,,,
2052747119115620352,,,,0.9471395,0.0194007,0.01920813,,,
2052823535171095296,,,,1.1556762,0.0328231,0.0313879,,,
2052826318309391104,4780.2383,13.3183,80.1423,0.774357,0.01772203,0.01756964,0.6826,0.0177,0.1405
2052975370856687744,5593.3574,39.8816,13.3664,1.02011,0.022173,0.0219056,-0.033,0.0486,0.0155
2053070616052194304,,,,1.3237374,0.0296986,0.0308713,,,
2053546910744629504,,,,0.8584561,0.01975576,0.02115157,,,
2053552270863859712,,,,1.4977385,0.0429908,0.0463069,,,
2053562475706063744,4128.3594,20.3178,8.4859,0.6691427,0.0217037,0.0216504,0.3746,0.0603,0.0225
2053586321364864640,,,,0.8754553,0.0285912,0.02839617,,,
2054523105274216704,8742.581,53.582,60.355,1.7289097,0.0389601,0.0396288,0.0172,0.0292,0.0309
2056007995732413312,6031.483,1.54,1.099,1.300195,0.0260927,0.0260883,-0.2181,0.0046,0.0049
2073153024144692736,6426.5894,12.1831,11.7204,1.5392992,0.034485,0.0329433,-0.0719,0.0107,0.0104
2073274618947678464,5572.3813,24.7881,24.8916,1.0317585,0.0265564,0.025875,-0.1961,0.0253,0.0242
2073277200237694464,,,,0.80427927,0.01762663,0.01755142,,,
2073539536845074176,,,,1.7550845,0.0376899,0.0367427,,,
2073547954981763328,,,,0.8147448,0.0225322,0.0239254,,,
2073652546016392448,4459.129,18.722,11.8204,0.69206023,0.01975557,0.01932873,0.367,0.1087,0.0513
2073697660354300544,4885.962,10.703,8.8516,0.7797988,0.0176692,0.01783376,-0.0889,0.0112,0.0106
2073731161099713408,,,,0.9569718,0.0194525,0.01960484,,,
2073804411752924288,,,,,,,,,
2075112109039378688,,,,0.8952149,0.0190094,0.01872294,,,
2075161655782111872,,,,0.82857823,0.01726652,0.01738578,,,
2076121602454770560,5654.674,69.249,13.494,1.1193485,0.0229185,0.0229468,0.0103,0.0716,0.0163
2076185408488670208,5454.9424,18.4576,20.6358,0.87116915,0.02131725,0.02305375,-0.0029,0.0237,0.0249
2076328963475704576,,,,0.71731836,0.01745778,0.01754256,,,
2076454445237794432,4690.752,10.3427,9.662,0.7479729,0.0191412,0.01808935,-0.0144,0.0131,0.0121
2076565805151925760,,,,0.7193246,0.017458,0.01755847,,,
2076601917234347520,,,,1.5964409,0.0355148,0.0365074,,,
2076692386427776768,,,,0.8990057,0.02254237,0.02112167,,,
2076764576237957504,,,,0.6934652,0.01762334,0.01713726,,,
2076782889978499840,,,,0.8039355,0.0177157,0.01810685,,,
2076792648144511104,,,,1.0377848,0.0221524,0.0232153,,,
2076871091425583232,,,,0.78467375,0.01749405,0.01739035,,,
2076955822541823744,,,,0.9117809,0.02209365,0.0247761,,,
2076960598545789824,,,,1.1398946,0.0247319,0.0247443,,,
2076970047474270208,,,,1.4065552,0.0286029,0.0284883,,,
2077140987172577408,,,,0.86858416,0.03344414,0.02752209,,,
2077540827141811200,,,,0.9103619,0.0188419,0.0188531,,,
2077556465126659456,,,,1.8629725,0.1182485,0.1044741,,,
2077598384004774912,,,,1.8426697,0.2032359,0.1262364,,,
2077726678964445696,,,,,,,,,
