KOI,Host Gaia DR3 ID,P,P pe,P me,PSR,PSR pme
K2-243 b,3597570989175080576,11.54182,0.00272,0.00221,0.012649111,
K2-243 c,3597570989175080576,24.94598,0.00491,0.00561,0.013784049,
K2-244 b,3597981377595128704,21.06884,0.0032,0.00325,0.017320508,
K2-245 b,3694743765254445312,11.89307,0.00065,0.00063,0.032710854,
K2-246 b,3697828548204889344,5.76918,0.00081,0.00082,0.03660601,
K2-247 b,3578596339057980160,2.25021,0.00033,0.00036,0.031622777,
K2-247 c,3578596339057980160,6.49424,0.0026,0.00251,0.033166248,
K2-248 b,3582057258065666816,7.17256,0.00148,0.00142,0.026457513,
K2-249 b,3582098107498270208,12.409,0.00337,0.00284,0.015491933,
K2-25 b,3311804515502788352,3.48456408,0.0000006,0.0000005,0.107470926,0.001814444
K2-250 b,3582706794559052160,4.01457,0.00062,0.00057,0.031937439,
K2-251 b,3675248118423392256,9.30075,0.00332,0.00321,0.046260134,
K2-252 b,3582392123779246336,13.81513,0.00461,0.00448,0.018973666,
K2-253 b,3584368019189709952,4.00167,0.00013,0.00013,0.112205169,
K2-254 b,3596876269626641664,4.09639,0.00081,0.00079,0.022803509,
K2-254 c,3596876269626641664,12.11839,0.00303,0.00321,0.034641016,
K2-255 b,3682825883842696832,1.96417,0.00004,0.00004,0.042778499,
K2-256 b,3693923185982895360,5.52011,0.00239,0.00289,0.031144823,
K2-257 b,3695235654973028736,1.60588,0.00014,0.00013,0.018439089,
K2-258 b,3695568295896473856,19.0921,0.00576,0.00633,0.022135944,
K2-259 b,3700295641843380224,15.48043,0.00332,0.00392,0.019235384,
K2-260 b,3394923127797114496,2.6266657,0.0000018,0.0000018,0.097313925,0.000318557
K2-261 b,3807826337147474176,11.633478,0.000017,0.000017,0.053047149,0.001131069
K2-285 b,2657374606238804992,3.471745,0.000044,0.000046,0.031144823,0.000642161
K2-285 c,2657374606238804992,7.138048,0.000072,0.000063,0.045825757,0.003273268
K2-285 d,2657374606238804992,10.45582,0.00025,0.00023,0.031622777,0.001106797
K2-285 e,2657374606238804992,14.76289,0.00065,0.00061,0.02607681,0.001725671
K2-286 b,6264513270727342080,27.359,0.005,0.005,0.033466401,0.003884493
K2-30 b,61607255708760960,4.098503,0.000011,0.000011,0.126609636,0.00161915
K2-316 b,6239410080231903488,1.133,0.001,0.001,0.030935417,0.000307091
K2-316 c,6239410080231903488,5.26,0.007,0.007,0.049799598,0.000602414
K2-317 b,6255655673768103168,6.22,0.007,0.007,0.034496377,0.001884256
K2-318 b,6258364939144564992,7.01,0.007,0.007,0.029154759,0.000342997
K2-319 b,3811688440459523200,26.68,0.002,0.003,0.028809721,0.000173553
K2-320 b,3864142669886768896,1.995,0.001,0.001,0.074632433,0.000334975
K2-321 b,3856449627544923392,2.298,0.001,0.001,0.033166248,0.000150756
K2-322 b,3860369901894562304,8.205,0.003,0.003,0.026645825,0.000375293
K2-323 b,3859431674878660864,24.93,0.006,0.006,0.051283526,0.000974972
K2-324 b,3862378262961788288,3.262,0.001,0.001,0.044609416,0.000224168
K2-325 b,2439222638771000448,6.93,0.004,0.003,0.081975606,0.000609938
K2-326 b,2645727449501559680,1.256,0.001,0.002,0.030347982,0.00044484
K2-39 b,2609222216055014144,4.60543,0.00046,0.00046,0.019235384,0.000883788
K2-6 b,3794479262419500160,30.94191,0.00467,0.00467,0.02607681,
K2-7 b,3803494845449564672,28.67992,0.00947,0.00947,0.023021729,
KELT-1 b,2881784280929695360,1.217514,0.000015,0.000015,0.078012819,0.000602465
KELT-10 b,6710517793025165696,4.1662739,0.0000063,0.0000063,0.118995798,0.001428622
KELT-11 b,3761497761876022400,4.7361,0.00003,0.00003,0.051478151,0.003690886
KELT-12 b,4608935250790855296,5.031623,0.000032,0.000031,0.077201036,0.001878213
KELT-14 b,5560886336446650240,1.7100566,0.0000032,0.0000026,0.117728501,0.001231647
KELT-17 b,651935220461650560,3.0801716,0.0000053,0.0000052,0.095236548,0.000892515
KELT-20 b,2033123654092592384,3.4741085,0.0000019,0.0000019,0.114411538,0.000611826
KELT-21 b,2054523105274216704,3.6127647,0.0000033,0.0000033,0.099498744,0.000703526
KELT-24 b,1076970406751899008,5.5514926,0.0000081,0.000008,0.086775573,0.000691439
KELT-6 b,1464700950221781504,7.8457,0.0002,0.0002,0.077459667,0.000968246
KELT-7 b,181908842994567936,2.73477,0.000004,0.000004,0.091104336,0.000658586
KELT-8 b,4534144923690481408,3.24406,0.00016,0.00016,0.114017543,0.002631174
KIC 10525077 b,2131059594280288128,854.083,0.01628,0.01697,0.05,
KIC 3558849 b,2052136821446989568,1322.3,386.1,11.2,0.063,
KIC 5437945 b,2102070660978313472,440.7813,0.00563,0.00577,0.047,
KIC 8540376 b,2105414310196331264,31.8099,0.00919,0.00933,0.03,
KIC 8540376 c,2105414310196331264,75.2,38.9,1.1,0.018,
KIC 9663113 b,2080266967444876032,572.3847,0.00583,0.00567,0.041,
Kepler-105 b,2130368310704421120,5.4122,0.00002,0.00002,0.024494897,0.000122474
Kepler-1052 c,2080466185207274880,180.921729,0.002826,0.002826,0.027247018,0.000924872
