KOI,Host Gaia DR3 ID,P,P pe,P me,PSR,PSR pme
WASP-176 b,1750321012752775040,3.899052,0.000005,0.000005,0.08,0.00125
HD 209458 b,1779546757669063552,3.52474859,0.00000038,0.00000038,0.122474487,9.79796E-05
HAT-P-15 b,179498266829041664,10.8635,0.000027,0.000027,0.1,0.0009
HAT-P-23 b,1808938730710633984,1.212884,0.000002,0.000002,0.102645019,
KELT-7 b,181908842994567936,2.73477,0.000004,0.000004,0.091104336,0.000658586
HAT-P-49 b,1835842749465226368,2.69155,0.000006,0.000006,0.079372539,0.001889822
HAT-P-17 b,1849786481031300608,10.33852,0.000009,0.000009,0.122474487,0.000898146
WASP-10 b,1909762228985058944,3.0927616,0.0000112,0.0000112,0.158902486,0.000881043
HAT-P-6 b,1925321658546436352,3.85298,0.000005,0.000005,0.093273791,0.000530696
HAT-P-40 b,1962153854973972096,4.45724,0.00001,0.00001,0.080622577,0.001426399
HD 219134 b,2009481748875806976,3.092926,0.00001,0.00001,0.018920888,0.00063422
HD 219134 c,2009481748875806976,6.76458,0.00033,0.00033,0.017832555,0.000532734
KELT-20 b,2033123654092592384,3.4741085,0.0000019,0.0000019,0.114411538,0.000611826
WTS-1 b,2048464796206336896,3.352057,0.000013,0.000015,0.132800602,0.003452545
Kepler-1977 b,2051027792165858304,4.53702121,0.00002498,0.00002498,0.022458851,0.000812597
K01944.01,2051104586182508928,12.184169,0.000012,0.000012,0.0223455,0.0008047
K00440.01,2051105410816218368,15.906867,0.000018,0.000018,0.0261369,0.001351
K00440.02,2051105410816218368,4.973444,0.00001,0.00001,0.0280884,0.0010611
Kepler-1979 b,2051368434612892800,18.5084526,0.0001311,0.0001311,0.02754814,0.000520906
K01001.01,2051738798233021824,40.806846,0.00002,0.00002,0.0158769,0.0003331
Kepler-1514 b,2051866238502437632,217.83184,0.00012,0.00012,0.088345911,0.000152808
Kepler-1514 c,2051866238502437632,10.514181,0.000039,0.000039,0.008360622,0.000376766
K00490.04,2051933102555095936,21.80387,0.000019,0.000019,0.0138076,0.0010162
K00490.03,2051933102555095936,7.406109,0.000008,0.000008,0.0181944,0.000476
K00490.01,2051933102555095936,4.393153,0.000004,0.000004,0.0184015,0.0004468
K01198.03,2051950454223150720,35.675697,0.00002,0.00002,0.0157244,0.0018742
K01198.01,2051950454223150720,16.088329,0.000018,0.000018,0.023246,0.0011342
K01198.02,2051950454223150720,10.300658,0.000019,0.000019,0.0135627,0.0012862
KIC 3558849 b,2052136821446989568,1322.3,386.1,11.2,0.063,
Kepler-1980 b,2052139123549626240,33.0257179,0.0006181,0.0006181,0.022518881,0.001048009
K00384.01,2052168466766597120,5.080068,0.000014,0.000014,0.0140605,0.0005329
K00386.02,2052185062520374272,76.732517,0.00002,0.00002,0.0257895,0.0012929
K00386.01,2052185062520374272,31.158789,0.000019,0.000019,0.029662,0.0007106
K01203.01,2052304325169514880,31.884154,0.00002,0.00002,0.0241549,0.0011449
K01203.02,2052304325169514880,14.128467,0.000017,0.000017,0.022747,0.0011384
K01199.01,2052392835854583936,53.529348,0.00002,0.00002,0.029212,0.0015939
K00988.02,2052528625536778624,24.570817,0.000015,0.000015,0.0280271,0.0005665
K00988.01,2052528625536778624,10.381225,0.000009,0.000009,0.0267855,0.0003535
K00800.02,2052688467040906624,7.21203,0.000017,0.000017,0.028294,0.001197
K00800.01,2052688467040906624,2.711494,0.000008,0.000008,0.0259437,0.0010392
K00069.01,2052747119115620352,4.726739,0.000001,0.000001,0.0151309,0.0001247
K01102.03,2052823535171095296,18.998513,0.000019,0.000019,0.019811,0.0012431
K01102.04,2052823535171095296,4.244376,0.000012,0.000012,0.0126096,0.0008463
Kepler-975 c,2052826318309391104,5.05821338,0.00000474,0.00000474,0.027355073,0.000433192
