KOI,Host KOI,Kepler name,Host Gaia DR3 ID,P,P pme,PSR,PSR pme
K00520.04,KOI-520,Kepler-176 e,2078286197246582016       ,51.165791,0.000019,0.0146672,0.0010299
K01353.02,KOI-1353,Kepler-289 b,2078515170549178880       ,34.543847,0.000019,0.0232759,0.0012832
K00238.01,KOI-238,Kepler-123 b,2078697552035948800       ,17.232309,0.000018,0.0223143,0.0006244
K00238.02,KOI-238,Kepler-123 c,2078697552035948800       ,26.695166,0.00002,0.0114187,0.0013588
K00150.01,KOI-150,Kepler-112 b,2078722600285671936       ,8.408874,0.000005,0.0262614,0.0003058
K00150.02,KOI-150,Kepler-112 c,2078722600285671936       ,28.574262,0.000018,0.0276505,0.0003249
K00907.01,KOI-907,Kepler-251 c,2078832551450444032       ,16.514133,0.000017,0.02844,0.0006601
K00907.02,KOI-907,Kepler-251 d,2078832551450444032       ,30.132939,0.000018,0.0295369,0.0007899
K00907.03,KOI-907,Kepler-251 b,2078832551450444032       ,4.790919,0.000014,0.0143647,0.0007907
K00907.04,KOI-907,Kepler-251 e,2078832551450444032       ,99.640965,0.000021,0.0319982,0.0017384
K00317.01,KOI-317,Kepler-521 b,2079005651508492032       ,22.208119,0.000015,0.0207225,0.0002646
K00105.01,KOI-105,Kepler-463 b,2079192121810035840       ,8.981015,0.000002,0.0312899,0.0004404
K00137.03,KOI-137,Kepler-18 b,2079295583282164992       ,3.504713,0.000003,0.0163997,0.00028
K00159.01,KOI-159,Kepler-115 c,2079368391569401600       ,8.990883,0.000017,0.0195354,0.0003546
K00159.02,KOI-159,Kepler-115 b,2079368391569401600       ,2.403633,0.000016,0.0090059,0.000762
K03197.01,KOI-3197,KOI-3197.01,2079695496278608896       ,22.599212,0.00002,0.0084665,0.0051937
K00700.02,KOI-700,Kepler-215 b,2079885608708649344       ,9.360628,0.000011,0.0151507,0.0003461
K00700.03,KOI-700,Kepler-215 c,2079885608708649344       ,14.667187,0.000016,0.0140543,0.0003901
K00700.04,KOI-700,Kepler-215 e,2079885608708649344       ,68.161359,0.00002,0.01682,0.0006107
K00941.01,KOI-941,Kepler-257 c,2080246282881778048       ,6.581482,0.000009,0.0428697,0.0009428
K00941.02,KOI-941,Kepler-257 b,2080246282881778048       ,2.382652,0.000004,0.0263214,0.000813
K00720.01,KOI-720,Kepler-221 c,2080344586094498432       ,5.690592,0.000004,0.0347523,0.0004735
K00720.02,KOI-720,Kepler-221 d,2080344586094498432       ,10.041575,0.000007,0.0327336,0.000485
K00720.04,KOI-720,Kepler-221 b,2080344586094498432       ,2.795895,0.000002,0.0180822,0.0003669
K00974.01,KOI-974,KOI-974.01,2080386917291928832       ,53.505835,0.000019,0.0128473,0.0002617
