source_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2009481748875806976,,,,,,,Gaia DR3 2009481748875806976,348.33773395483047,57.16966644274312,152.864,2074.4135,294.452,-18.675,2016,3.081783844965638E-14
2033123654092592384,8848.703,8845.663,8851.769,-1.4907,-1.4978,-1.4731,Gaia DR3 2033123654092592384,294.6614131372555,31.219199136856187,7.3001,3.1508,-6.2647,-26.7778,2016,0
2048464796210957440,5735.328,5684.335,5790.112,-0.7781,-0.8466,-0.7138,Gaia DR3 2048464796210957440,293.9850279319104,36.296292682422944,0.3612,-2.4714,-8.7956,0,2016,0
2051027792165858304,4576.7456,4567.1855,4587.4565,-0.2411,-0.2593,-0.225,Gaia DR3 2051027792165858304,290.6178561743625,37.28910073104493,1.6898,-14.1853,3.963,0,2016,0
2051104586182508928,5661.4326,5626.7393,5744.1763,-0.1026,-0.1403,-0.005,Gaia DR3 2051104586182508928,290.3286448558638,37.723118923669155,1.5887,-3.4334,0.6714,-35.8751,2016,0
2051105410816218368,4972.9956,4964.785,4981.3896,0.1581,0.1468,0.1686,Gaia DR3 2051105410816218368,290.29641883337683,37.749424906111955,2.2599,-14.7967,-15.652,-26.0823,2016,7.105427357601002E-15
2051368434612892800,5545.94,5529.8755,5566.4346,-0.1639,-0.1803,-0.1437,Gaia DR3 2051368434612892800,289.8429067336248,38.309622226755025,0.9053,3.0872,1.3517,0,2016,0
2051738798233021824,,,,,,,Gaia DR3 2051738798233021824,292.04462853128604,37.37618483079783,1.0268,2.8546,-9.0387,-18.1222,2016,0
2051866238502437632,6089.895,6088.2236,6093.172,-0.0359,-0.0411,-0.0311,Gaia DR3 2051866238502437632,292.6274956397227,37.86016622602705,2.4733,7.214,6.95,-27.1011,2016,7.105427357601002E-15
2051933102555095936,4777.2373,4766.392,4789.9214,0.1311,0.1162,0.1461,Gaia DR3 2051933102555095936,292.6585280083309,38.34556080186814,2.9157,15.0967,36.3525,-26.7894,2016,7.105427357601002E-15
