KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K00446.01,KOI-446,Kepler-158 b,2103295173333142784,0.034734,0.000694,0.007144
K00257.01,KOI-257,Kepler-506 b,2103452266056715392,0.020603,0.000195,0.00013
K00505.05,KOI-505,Kepler-169 f,2103788854053938816,0.030396,0.001062,0.000491
K00505.01,KOI-505,Kepler-169 e,2103788854053938816,0.026779,0.000391,0.003521
K00505.04,KOI-505,Kepler-169 d,2103788854053938816,0.018666,0.000217,0.002981
K00505.02,KOI-505,Kepler-169 c,2103788854053938816,0.014316,0.000584,0.000455
K00505.03,KOI-505,Kepler-169 b,2103788854053938816,0.012646,0.000728,0.000368
K00612.02,KOI-612,Kepler-196 c,2104094071610116608,0.026097,0.000707,0.000523
K00612.01,KOI-612,Kepler-196 b,2104094071610116608,0.02247,0.000788,0.000391
K00508.02,KOI-508,Kepler-170 c,2104098950692667264,0.025194,0.00076,0.000298
K00508.01,KOI-508,Kepler-170 b,2104098950692667264,0.027185,0.002532,0.001022
K01930.04,KOI-1930,Kepler-338 e,2104344141784539264,0.009273,0.001649,0.001113
K01930.03,KOI-1930,Kepler-338 d,2104344141784539264,0.014775,0.002249,0.000911
K01930.02,KOI-1930,Kepler-338 c,2104344141784539264,0.012518,0.000374,0.000224
K01930.01,KOI-1930,Kepler-338 b,2104344141784539264,0.013025,0.000342,0.000203
K00657.02,KOI-657,Kepler-202 c,2104376405579347968,0.025927,0.000483,0.000779
K00657.01,KOI-657,Kepler-202 b,2104376405579347968,0.024329,0.000113,0.002737
K02148.01,KOI-2148,Kepler-363 d,2104466153215402624,0.01284,0.002205,0.000715
K02148.02,KOI-2148,Kepler-363 c,2104466153215402624,0.010129,0.000402,0.000303
K02148.03,KOI-2148,Kepler-363 b,2104466153215402624,0.007487,0.000461,0.000324
K00284.01,KOI-284,Kepler-132 A d,2104466256290759936,0.012346,0.000335,0.000226
K00284.02,KOI-284,Kepler-132 A c,2104466256290759936,0.010907,1.90E-05,0.00083
K00284.03,KOI-284,Kepler-132 A b,2104466256290759936,0.009122,0.000217,0.000626
K00510.04,KOI-510,Kepler-172 e,2104506319750394624,0.021953,0.001236,0.00044
K00510.03,KOI-510,Kepler-172 d,2104506319750394624,0.020136,0.000187,0.001157
K00510.02,KOI-510,Kepler-172 c,2104506319750394624,0.021412,0.00064,0.000309
K00510.01,KOI-510,Kepler-172 b,2104506319750394624,0.020115,0.000537,0.000292
K00313.01,KOI-313,Kepler-137 c,2104847370214740352,0.024325,0.000108,0.002275
K00313.02,KOI-313,Kepler-137 b,2104847370214740352,0.018799,0.000259,0.001634
K00092.01,KOI-92,,2105135854577044480,0.024259,0.001545,0.000809
K00316.03,KOI-316,,2105362903731391744,0.014849,0.000538,0.000248
K00316.01,KOI-316,Kepler-139 b,2105362903731391744,0.020826,0.000367,0.000147
K00416.02,KOI-416,Kepler-152 c,2105435544515167232,0.030838,0.000706,0.000668
K00416.01,KOI-416,Kepler-152 b,2105435544515167232,0.037203,4.00E-06,0.001188
K02051.01,KOI-2051,Kepler-355 c,2105535462635217792,0.024936,0.002121,0.0011
K02051.02,KOI-2051,Kepler-355 b,2105535462635217792,0.013249,0.000205,0.001126
K00568.01,KOI-568,Kepler-605 b,2105618029085927680,0.014902,0.000604,0.000285
K00269.01,KOI-269,,2105620159389754624,0.011054,0.000129,0.001438
K00518.02,KOI-518,Kepler-174 c,2106008493152187392,0.0225,0.000763,0.000336
K00518.01,KOI-518,Kepler-174 b,2106008493152187392,0.028932,0.000822,0.00025
K02414.02,KOI-2414,Kepler-384 c,2106306495162679552,0.012116,0.000597,0.000419
K02414.01,KOI-2414,Kepler-384 b,2106306495162679552,0.011242,0.000501,0.00028
K00245.01,KOI-245,Kepler-37 d,2106674071344722688,0.022246,0.000294,0.000104
K00122.01,KOI-122,Kepler-95 b,2106705269988803072,0.020278,0.000239,0.000139
K00323.01,KOI-323,Kepler-523 b,2106821925598401152,0.021113,0.000664,0.000254
K00701.01,KOI-701,Kepler-62 d,2107001283431633408,0.027504,0.000683,0.000241
K00701.02,KOI-701,Kepler-62 b,2107001283431633408,0.018665,0.00057,0.000239
K00110.01,KOI-110,Kepler-465 b,2107236613280607104,0.02114,0.000174,7.50E-05
K00180.01,KOI-180,Kepler-484 b,2107243072911617024,0.023526,0.000405,0.000171
K02037.03,KOI-2037,,2107244481660894592,0.022341,0.001231,0.000601
K02037.02,KOI-2037,,2107244481660894592,0.022135,0.000805,0.000809
K02037.01,KOI-2037,,2107244481660894592,0.041661,0.000885,0.001262
K00271.01,KOI-271,Kepler-127 d,2107266570672734592,0.017145,0.000241,0.000217
K00271.03,KOI-271,Kepler-127 b,2107266570672734592,0.00987,0.000128,0.000361
K02706.01,KOI-2706,,2107315365800640896,0.008653,0.000264,0.000119
K02545.01,KOI-2545,Kepler-1274 b,2107342716152550272,0.005612,0.00022,0.000212
K03097.01,KOI-3097,Kepler-431 d,2116862833283266432,0.006625,0.000297,0.000245
K01537.01,KOI-1537,,2119196585370036736,0.007654,0.001183,0.000527
K00082.01,KOI-82,Kepler-102 e,2119583201145735808,0.03053,0.001286,0.001962
K00082.02,KOI-82,Kepler-102 d,2119583201145735808,0.016946,0.000248,0.001843
K00104.01,KOI-104,Kepler-94 b,2119602202081351168,0.03744,0.000372,0.001718
K00475.02,KOI-475,Kepler-165 c,2119814820141727232,0.027124,0.000933,0.0004
K00475.01,KOI-475,Kepler-165 b,2119814820141727232,0.029839,0.000524,0.003958
K02678.01,KOI-2678,Kepler-1313 b,2125713940547834496,0.019496,0.000341,0.00068
K02339.01,KOI-2339,Kepler-1197 b,2125790322246812672,0.016468,0.000148,0.001149
K00567.03,KOI-567,Kepler-184 d,2125831210335846016,0.026968,0.000456,0.003782
K00567.02,KOI-567,Kepler-184 c,2125831210335846016,0.021708,0.000247,0.000631
K00567.01,KOI-567,Kepler-184 b,2125831210335846016,0.025745,0.00051,0.000334
K00880.03,KOI-880,Kepler-82 e,2125850623586710400,0.025211,0.000432,0.000335
K00880.04,KOI-880,Kepler-82 d,2125850623586710400,0.017484,0.000454,0.000266
K00370.02,KOI-370,Kepler-145 b,2126237131982289280,0.01088,0.00021,0.000365
K00896.03,KOI-896,,2126266823097360000,0.016197,0.001165,0.000731
K00896.01,KOI-896,Kepler-248 c,2126266823097360000,0.046223,0.00087,0.000339
K00896.02,KOI-896,Kepler-248 b,2126266823097360000,0.034583,0.002262,0.000773
K01270.01,KOI-1270,Kepler-57 b,2126418658780855296,0.033651,0.000145,0.004964
K01279.02,KOI-1279,Kepler-804 c,2126432677554353280,0.010429,0.001357,0.000957
K01279.01,KOI-1279,Kepler-804 b,2126432677554353280,0.016889,0.000503,0.000203
K00172.01,KOI-172,Kepler-69 b,2126436800722944000,0.022166,0.00033,0.000334
K00464.02,KOI-464,Kepler-561 c,2126454633427425664,0.025593,0.000544,0.000216
K01282.01,KOI-1282,Kepler-805 b,2126508676995012352,0.015804,0.000508,0.001278
K00139.02,KOI-139,Kepler-111 b,2126569051355142656,0.014025,0.000679,0.002198
K00921.02,KOI-921,Kepler-253 d,2126576679217244160,0.036703,0.005883,0.001139
K00921.01,KOI-921,Kepler-253 c,2126576679217244160,0.031333,0.000729,0.000773
K00921.03,KOI-921,Kepler-253 b,2126576679217244160,0.019591,0.001,0.000427
K00321.01,KOI-321,Kepler-406 b,2126601108991279872,0.012465,0.000267,0.000169
K00049.01,KOI-49,Kepler-461 b,2126801563705846528,0.025915,0.000346,0.00029
K01858.02,KOI-1858,,2126878048483137152,0.018911,0.000715,0.000986
K00260.03,KOI-260,Kepler-126 c,2126918008858627712,0.010545,0.000769,0.000609
K00260.01,KOI-260,Kepler-126 b,2126918008858627712,0.010367,1.70E-05,0.0006
K00692.02,KOI-692,Kepler-213 c,2127001056345369984,0.017112,0.000642,0.000407
K00692.01,KOI-692,Kepler-213 b,2127001056345369984,0.012353,0.00042,0.000221
K00707.02,KOI-707,Kepler-33 f,2127355923723254272,0.022403,0.000441,0.000279
K00707.03,KOI-707,Kepler-33 e,2127355923723254272,0.019804,0.000431,0.000166
K00707.04,KOI-707,Kepler-33 c,2127355923723254272,0.014488,0.000428,0.000226
K00707.05,KOI-707,Kepler-33 b,2127355923723254272,0.008349,0.000284,0.000425
K02595.02,KOI-2595,Kepler-393 c,2127390970655877888,0.008003,0.000425,0.000225
K02595.01,KOI-2595,Kepler-393 b,2127390970655877888,0.008635,0.000234,0.000355
K02038.04,KOI-2038,Kepler-85 e,2127398083121764736,0.012662,0.000882,0.000926
K02038.03,KOI-2038,Kepler-85 d,2127398083121764736,0.013296,0.000829,0.000607
K00718.03,KOI-718,Kepler-219 d,2127771917075703424,0.017606,0.000597,0.000376
K00718.02,KOI-718,Kepler-219 c,2127771917075703424,0.022095,0.001653,0.000484
