source_id,parallax,parallax_error,phot_g_mean_mag,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2073153024144692736,0.9686981661968359,0.011381832,13.438997,4.1774,4.1696,4.1842,Gaia DR3 2073153024144692736,295.4980725621686,38.644448002403394,0.9687,-6.1791,-13.4258,24.4652,2016,7.105427357601002E-15
2073274618947678464,1.0149633967302392,0.017671289,14.855532,4.4296,4.416,4.4493,Gaia DR3 2073274618947678464,296.3586243829047,39.11520331189679,1.015,-4.1137,0.1752,0,2016,7.105427357601002E-15
2073277200237694464,3.2392399655999276,0.011929319,13.657266,4.5432,4.5333,4.5659,Gaia DR3 2073277200237694464,296.5245248969319,39.24985297,3.2392,34.3978,19.3011,-11.3271,2016,7.105427357601002E-15
2073539536845074176,2.184711985806907,0.009906264,11.796702,4.0984,4.0582,4.1035,Gaia DR3 2073539536845074176,298.9917167138223,40.14225490833302,2.1847,0.8511,-36.4721,-7.3822,2016,7.105427357601002E-15
2073547954981763328,1.1514358532856697,0.02714618,15.751848,4.5611,4.5493,4.5772,Gaia DR3 2073547954981763328,299.22425369531294,40.34316664535255,1.1514,-11.1872,-2.8287,0,2016,7.105427357601002E-15
2073652546016392448,1.8472765805535745,0.027937295,15.89301,4.608,4.5953,4.6163,Gaia DR3 2073652546016392448,297.43038286550683,39.84788024984641,1.8473,1.501,5.1404,0,2016,4.364144025415393E-14
2073697660354300544,2.344183556101866,0.015503235,14.290711,4.5479,4.5428,4.5529,Gaia DR3 2073697660354300544,297.0420136439736,39.912185552845486,2.3442,-7.4948,-6.0878,16.8994,2016,0
2073731161099713408,8.121138686915767,0.011343858,10.299055,4.4596,4.4439,4.4666,Gaia DR3 2073731161099713408,297.0698323520349,40.52520571016794,8.1211,32.9212,13.543,-47.6695,2016,4.3207830068046636E-14
2073804411752924288,1.7352728578177548,0.011000078,11.822564,,,,Gaia DR3 2073804411752924288,298.5891951,40.750691858164174,1.7353,1.4717,-1.4987,-46.4366,2016,0
2075112109039378688,3.2282672163262176,0.011634878,13.064858,4.4894,4.4868,4.4916,Gaia DR3 2075112109039378688,299.13931178730104,40.94893620015961,3.2283,13.215,-20.4097,-13.3448,2016,0
2075161655782111872,4.057920233152619,0.009213146,12.60726,4.5387,4.5294,4.5458,Gaia DR3 2075161655782111872,299.3196740288222,41.384747214814375,4.0579,17.3574,18.7323,-22.3826,2016,7.105427357601002E-15
2076121602454770560,2.517225676963531,0.010532432,12.575336,4.3029,4.2952,4.3377,Gaia DR3 2076121602454770560,299.7047427308612,44.43570524730192,2.5172,-3.1529,-10.4798,-18.4257,2016,0
2076185408488670208,1.161171326,0.017701562,15.058516,4.5669,4.5546,4.5774,Gaia DR3 2076185408488670208,295.1640101754076,39.201402144681865,1.1612,4.0661,-1.7434,0,2016,0
2076328963475704576,2.6674531938620083,0.018264642,14.745099,4.61,4.5996,4.6199,Gaia DR3 2076328963475704576,296.1125756515733,39.97874410987316,2.6675,-1.3733,-7.2066,-3.5284,2016,0
2076454445237794432,2.013746265950231,0.022144625,14.89129,4.5745,4.5706,4.5791,Gaia DR3 2076454445237794432,294.66467792374954,39.7838468,2.0137,-5.3711,4.6869,11.506,2016,4.4256237777693905E-14
2076565805151925760,2.2497468378366667,0.018927721,14.820219,4.6369,4.6294,4.6429,Gaia DR3 2076565805151925760,294.4418028422783,40.55754031496123,2.2497,-1.123,-3.3769,-26.8137,2016,0
2076601917234347520,1.067986385791996,0.011753288,13.699747,4.1419,4.1349,4.1491,Gaia DR3 2076601917234347520,295.2173270943838,40.592156611365546,1.068,3.0824,-11.876,12.2672,2016,0
2076692386427776768,1.0986337957209842,0.01898666,15.052241,4.4844,4.4694,4.5064,Gaia DR3 2076692386427776768,295.28723274149723,41.22200472310721,1.0986,5.3739,10.1036,0,2016,0
2076764576237957504,2.6777332247582875,0.017762544,14.8790245,4.623,4.6158,4.6298,Gaia DR3 2076764576237957504,297.07020512138837,40.86873212640164,2.6777,7.59,-13.3446,1.4141,2016,0
2076782889978499840,2.4654955202155935,0.012447392,14.011885,4.5719,4.5568,4.5968,Gaia DR3 2076782889978499840,296.8609319849194,41.09731523,2.4655,-15.4493,-18.6839,-43.7515,2016,0
2076792648144511104,1.395775469122088,0.01295282,13.930912,4.322,4.3144,4.3297,Gaia DR3 2076792648144511104,297.0899587167322,41.388069154379686,1.3958,-1.5958,3.9332,-29.0081,2016,0
2076871091425583232,4.801422449,0.014390312,12.949096,4.5623,4.5597,4.5656,Gaia DR3 2076871091425583232,297.3539996494398,41.300044739930854,4.8014,1.5041,-3.3316,-25.3569,2016,0
2076955822541823744,1.158879481010076,0.02054207,14.889953,4.4765,4.4669,4.4864,Gaia DR3 2076955822541823744,296.7719087826088,41.755597134260654,1.1589,2.9493,9.9742,0,2016,0
2076960598545789824,1.5475637316937056,0.011732873,13.696377,4.3448,4.3366,4.3563,Gaia DR3 2076960598545789824,297.1150948896979,41.90910820038663,1.5476,0.1058,-7.1026,-58.7884,2016,7.105427357601002E-15
