KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K00555.01,0.846,0.025,0.026,0.878,0.029,0.026,5274,60,60,0.07,0.04,12.931,0,0,0,0,0,0,0,0,0,0,0,0,4.677,2.585,4.2,1,1.5380734,0.1081788,0.4700018,0.1303221,0.1862263,0.1279456
K00564.03,1.546,0.095,0.106,1.242,0.047,0.04,5854,60,60,0.34,0.04,13.214,0,0,0,0,0,0,0,0,0,0,0,0,4.266,0.786,0.589,1,0.3573528,0.0563567,0.4619606,0.1908277,0.2739797,0.160649
K00567.01,0.821,0.022,0.023,0.872,0.028,0.024,5530,60,60,-0.15,0.04,12.69,0,0,0,0,0,0,0,0,0,0,0,0,2.951,1.971,2.99,1,1.603112,0.0851194,0.3167043,0.1013304,0.2431837,0.1272063
K00568.01,0.86,0.022,0.023,0.89,0.031,0.037,5350,60,60,0.06,0.04,12.422,0,0,0,0,0,0,0,0,0,0,0,0,5.129,2.48,4.724,1.0065,1.4172852,0.0952337,0.3969555,0.1475458,0.1570538,0.1088146
K00584.01,0.981,0.025,0.026,1.028,0.032,0.034,5527,60,60,0.31,0.04,12.427,0,0,0,0,0,0,0,0,0,0,0,0,2.951,1.631,2.786,1.0114,1.1351728,0.0579748,0.4719224,0.0970726,0.1926889,0.127393
K00612.01,0.779,0.02,0.021,0.839,0.023,0.017,5146,60,60,0.03,0.04,12.235,0,0,0,0,0,0,0,0,0,0,0,0,3.09,2.277,1.708,1,1.7441334,0.0679037,0.4516639,0.123976,0.1887093,0.1230833
K00623.01,1.163,0.027,0.028,0.857,0.019,0.023,5945,60,60,-0.4,0.04,10.535,1.12,0.03,0.03,0.92,0.06,0.06,6004,102,102,-0.38,0.1,11.811,11.482,1.057,1.322,1,0.5552223,0.0256754,0.2869333,0.1147271,0.2350242,0.1357204
K00645.01,1.699,0.047,0.048,1.011,0.021,0.021,5856,60,60,-0.17,0.04,11.978,0,0,0,0,0,0,0,0,0,0,0,0,8.128,0.561,0.561,1.0584,0.2203718,0.009935,0.5340532,0.1738507,0.3349512,0.171301
K00657.01,0.683,0.018,0.019,0.698,0.017,0.023,4762,60,60,-0.21,0.04,11.639,0,0,0,0,0,0,0,0,0,0,0,0,7.943,3.292,6.767,1.0002,2.2262277,0.0884214,0.5856457,0.1024238,0.1471827,0.1113102
K00658.01,1.029,0.027,0.028,1.06,0.036,0.022,5887,60,60,0.08,0.04,12.445,0,0,0,0,0,0,0,0,0,0,0,0,1.778,1.106,1.597,1.0093,1.0254008,0.0497557,0.5659438,0.1441589,0.3533274,0.1595478
K00665.01,1.674,0.039,0.04,1.313,0.028,0.025,5969,60,60,0.29,0.04,11.805,0,0,0,0,0,0,0,0,0,0,0,0,3.631,0.418,0.502,1,0.2828172,0.0147155,0.4130388,0.1265594,0.2466126,0.1409022
K00671.01,1.234,0.03,0.031,1.082,0.03,0.03,6054,60,60,0.02,0.04,12.21,0,0,0,0,0,0,0,0,0,0,0,0,4.677,0.969,1.077,1,0.5962439,0.0296593,0.3299007,0.1408193,0.2574398,0.1514213
K00672.01,0.898,0.022,0.023,0.971,0.028,0.026,5564,60,60,0.14,0.04,12.362,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.392,2.2,1,1.3400132,0.0522075,0.4036015,0.1447964,0.2079262,0.1296915
K00679.01,1.448,0.035,0.035,1.174,0.048,0.032,5880,60,60,0.22,0.04,11.62,0,0,0,0,0,0,0,0,0,0,0,0,5.129,1.181,0.827,1,0.3934043,0.0198063,0.3065216,0.151611,0.2217856,0.1521624
K00692.01,1.09,0.027,0.028,0.991,0.032,0.034,5658,60,60,0.15,0.04,12.122,0,0,0,0,0,0,0,0,0,0,0,0,7.413,1.707,2.048,1,0.7885019,0.0463843,0.3914898,0.1540491,0.1731982,0.1282532
K00700.02,0.896,0.021,0.022,0.788,0.012,0.018,5648,60,60,-0.43,0.04,11.996,0,0,0,0,0,0,0,0,0,0,0,0,12.303,1.133,1.983,1,1.1234645,0.040067,0.4886871,0.1232908,0.264572,0.1446681
K00701.01,0.707,0.019,0.019,0.697,0.011,0.023,4859,60,60,-0.34,0.04,11.659,0,0,0,0,0,0,0,0,0,0,0,0,10.715,2.221,5.181,1.0038,2.103383,0.0624514,0.5466777,0.0910145,0.1634923,0.1076314
K00707.02,1.609,0.045,0.047,1.208,0.065,0.033,5947,60,60,0.14,0.04,12.591,0,0,0,0,0,0,0,0,0,0,0,0,4.786,1.212,0.661,1,0.299938,0.018796,0.5158138,0.0978663,0.451631,0.1619212
K00708.01,1.545,0.042,0.044,1.126,0.043,0.045,6119,60,60,-0.07,0.04,12.621,0,0,0,0,0,0,0,0,0,0,0,0,5.129,0.827,0.945,1,0.3171253,0.0196615,0.3989403,0.1309877,0.3069462,0.1640541
K00711.01,1.037,0.026,0.027,1.067,0.033,0.031,5594,60,60,0.37,0.04,12.311,0,0,0,0,0,0,0,0,0,0,0,0,3.02,1.46,2.503,1,0.9832208,0.0550327,0.5780967,0.1139223,0.2638448,0.1514979
K00718.01,1.161,0.03,0.031,1.164,0.033,0.035,5873,60,60,0.36,0.04,12.389,0,0,0,0,0,0,0,0,0,0,0,0,2.512,0.868,2.776,1,0.7580502,0.0380836,0.4185451,0.1067204,0.2296393,0.137096
