KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K01270.01,0.813,0.024,0.024,0.871,0.029,0.023,5203,60,60,0.08,0.04,12.897,0,0,0,0,0,0,0,0,0,0,0,0,3.311,2.44,3.736,1,1.6193983,0.0976247,0.5438988,0.1616882,0.203811,0.131261
K01279.01,1.051,0.028,0.029,0.927,0.029,0.032,5705,60,60,-0.02,0.04,12.246,0,0,0,0,0,0,0,0,0,0,0,0,8.913,1.847,2.257,1.0083,0.821466,0.0489453,0.4220099,0.1600467,0.2943467,0.1642006
K01282.01,1.625,0.042,0.043,1.094,0.026,0.038,6112,60,60,-0.12,0.04,11.2,1.59,0.03,0.03,1.08,0.07,0.07,6034,92,92,-0.14,0.1,12.547,5.888,0.542,0.814,1,0.2604158,0.0153701,0.3873266,0.1328269,0.2582312,0.15095
K01306.01,0.856,0.074,0.086,0.83,0.029,0.031,5559,60,60,-0.25,0.04,14.121,0,0,0,0,0,0,0,0,0,0,0,0,6.607,3.499,7.302,1,1.6016857,0.199621,0.4163574,0.1492641,0.2392036,0.1485327
K01353.02,0.994,0.025,0.026,1.061,0.035,0.011,5989,60,60,0.03,0.04,12.508,0,0,0,0,0,0,0,0,0,0,0,0,0.676,0.747,0.607,1.0168,1.0994033,0.0395751,0.4354959,0.1815364,0.2951873,0.1704286
K01364.01,0.813,0.042,0.045,0.865,0.029,0.021,5248,60,60,0.04,0.04,13.97,0,0,0,0,0,0,0,0,0,0,0,0,3.89,2.867,4.927,1,1.6758281,0.1330725,0.5709851,0.1335741,0.22967,0.145468
K01445.01,1.434,0.033,0.034,1.278,0.039,0.021,6318,60,60,0.12,0.04,11.151,0,0,0,0,0,0,0,0,0,0,0,0,2.239,0.567,0.412,1,0.4425281,0.0202513,0.3767764,0.1560279,0.3319852,0.1662167
K01486.02,1.048,0.052,0.055,1.021,0.035,0.032,5703,60,60,0.16,0.04,13.9,0,0,0,0,0,0,0,0,0,0,0,0,4.467,1.851,3.188,1.0029,0.964707,0.1136054,0.3986155,0.1644105,0.2127635,0.1431388
K01529.02,1.338,0.039,0.04,0.93,0.024,0.025,5884,60,60,-0.2,0.04,12.928,0,0,0,0,0,0,0,0,0,0,0,0,10.233,0.942,1.178,1,0.3910158,0.0258828,0.4593035,0.1808526,0.3018463,0.1684914
K01537.01,1.775,0.04,0.041,1.164,0.027,0.098,6218,60,60,-0.13,0.04,10.514,0,0,0,0,0,0,0,0,0,0,0,0,4.677,0.431,1.508,1.3809,0.2103518,0.015213,0.426037,0.1766493,0.3241275,0.1617643
