designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2101230049979183232,5523.122,24.0434,39.778,-0.0759,0.0265,0.0475,Gaia DR3 2101230049979183232,288.8119787111693,39.77064224170719,1.9666,2.9633,-5.8309,11.8598,2016,0
Gaia DR3 2101243789577188736,5728.0405,1.5561,2.5415,-0.1621,0.0042,0.0046,Gaia DR3 2101243789577188736,288.98455099501314,40.06448443351056,1.9752,-1.2159,-8.8661,-28.7977,2016,0
Gaia DR3 2101305259145506816,5729.0186,1.066,1.79,-0.5214,0.0051,0.0055,Gaia DR3 2101305259145506816,288.4505881825587,40.24519656002707,3.155,-13.0201,-28.4021,20.2585,2016,0
Gaia DR3 2101508501301083520,,,,,,,Gaia DR3 2101508501301083520,291.28504231384505,40.73002657318778,0,0,0,0,2016,7.105427357601002E-15
Gaia DR3 2101719263935952768,6281.9023,15.0833,15.7317,-0.4644,0.0113,0.0115,Gaia DR3 2101719263935952768,291.6467777030923,41.884685054874744,1.1186,6.7305,5.2105,-49.9192,2016,1.4210854715202004E-14
Gaia DR3 2101733244046205568,5713.757,13.6037,21.335,-0.1335,0.0117,0.014,Gaia DR3 2101733244046205568,291.3861331778195,41.99013540916447,3.2578,19.9872,-28.6018,-61.3624,2016,4.4575370087194675E-14
Gaia DR3 2101768089124657664,4920.1973,16.0403,17.458,0.0343,0.0236,0.0249,Gaia DR3 2101768089124657664,291.6389978738737,42.436348857049516,1.1805,3.6786,4.797,0,2016,0
Gaia DR3 2101854881822529024,5357.391,39.4237,75.824,0.1641,0.0409,0.0768,Gaia DR3 2101854881822529024,290.21514533408595,41.77598147,0.4598,-2.9864,3.2437,0,2016,7.105427357601002E-15
Gaia DR3 2101898759208960640,5709.5615,11.4165,34.6651,-0.0199,0.0185,0.0424,Gaia DR3 2101898759208960640,290.03051943842615,42.16605588114973,1.128,-0.064,2.7459,-46.6759,2016,7.105427357601002E-15
Gaia DR3 2101964558106974848,5361.1396,21.4423,18.6387,-0.1488,0.0206,0.0207,Gaia DR3 2101964558106974848,291.16945474172394,42.640725643996504,1.7094,-10.1143,-17.9186,-12.2525,2016,0
Gaia DR3 2102063136195478656,5436.413,12.9013,14.0274,-0.0879,0.0157,0.0161,Gaia DR3 2102063136195478656,288.2341027,40.520897199483564,1.1031,0.7868,1.346,0,2016,0
Gaia DR3 2102067396802935680,4872.114,24.96,17.8997,-0.0738,0.0262,0.0246,Gaia DR3 2102067396802935680,288.53871507239586,40.616051604079914,1.2718,3.2606,-20.4582,0,2016,4.3730327846145635E-14
Gaia DR3 2102110174677569664,5791.2915,41.916,18.9955,0.1274,0.0402,0.0149,Gaia DR3 2102110174677569664,288.5308935866893,40.94237482077503,4.3719,6.4804,13.774,-22.0573,2016,4.522830379495627E-14
Gaia DR3 2102224661326132864,5891.172,3.6793,5.717,-0.1921,0.0043,0.0047,Gaia DR3 2102224661326132864,289.0860606957026,41.563024402534495,2.0776,-0.0858,14.5959,-41.4671,2016,1.4210854715202004E-14
Gaia DR3 2102316985943863424,5604.718,13.924,26.2234,-0.4355,0.015,0.0268,Gaia DR3 2102316985943863424,288.9612538804393,42.26504827925599,0.9353,1.7811,7.7215,-34.969,2016,0
Gaia DR3 2102454253097554304,5761.499,2.7417,5.7495,-0.6752,0.008,0.01,Gaia DR3 2102454253097554304,287.6046628914455,42.16650304,2.4731,4.3168,-52.7671,4.8345,2016,0
Gaia DR3 2102469921138142208,5316.3037,25.354,30.228,-0.3132,0.0278,0.0328,Gaia DR3 2102469921138142208,287.2426401236034,42.30142035535178,0.9088,-4.6519,13.3083,0,2016,4.2638417734527476E-14
Gaia DR3 2102548708017562112,5485.2905,23.8875,15.9351,0.0133,0.026,0.0165,Gaia DR3 2102548708017562112,287.69799066943483,42.33857435905501,3.4936,-3.8687,-27.1049,-21.9789,2016,7.105427357601002E-15
Gaia DR3 2102587087846067712,5663.4033,106.4858,156.9624,0.1552,0.1156,0.1959,Gaia DR3 2102587087846067712,287.77357366896035,42.86927473108726,1.0644,3.4774,-5.2327,-21.7083,2016,0
Gaia DR3 2102610280669509888,5695.1113,18.6903,22.9037,-0.0343,0.0188,0.0238,Gaia DR3 2102610280669509888,287.6208161053627,43.14162272811344,1.436,-2.1532,-8.5145,-7.398,2016,7.105427357601002E-15
Gaia DR3 2102700131386216576,5034.4243,16.6603,15.3767,0.1836,0.0172,0.0202,Gaia DR3 2102700131386216576,289.26873941114707,42.60418198620864,1.2963,3.1014,0.8639,0,2016,0
Gaia DR3 2102815683186036096,,,,,,,Gaia DR3 2102815683186036096,289.86156082513986,43.472740085719586,0.9582,-0.6275,-7.7392,-95.1625,2016,0
Gaia DR3 2102911581215700096,4950.7656,13.7119,16.4077,0.4534,0.0167,0.0193,Gaia DR3 2102911581215700096,288.64256193394345,43.03937918445241,1.4938,5.5558,16.7498,0,2016,0
Gaia DR3 2103295173333142784,,,,,,,Gaia DR3 2103295173333142784,284.0323767070988,39.78154243553746,3.1429,24.3589,43.055,-29.4358,2016,0
