KOI,Kepler name,P,P_err,k,k_err,Rp,e_Rp,E_Rp,Source,ntr,Flag 
K00285.03,Kepler-92 d,49.3568851,1.92e-05,0.0109187,0.0003911,2.047019144337687,0.074856957,0.074536869,-2,5,1
K00291.01,Kepler-133 c,31.5178009,1.97e-05,0.0198646,0.0008204,3.499314934745457,0.1915191031139053,0.19439019943466318,-1,5,0
K00291.02,Kepler-133 b,8.1299936,1.85e-05,0.0177128,0.0015777,3.120257421551873,0.299665617,0.3011319062668834,-1,20,0
K00292.01,Kepler-97 b,2.5866375,1.5e-06,0.0139112,0.0003413,1.4870355440021323,0.052631330861956205,0.052631330861956205,-1,256,1
K00294.01,Kepler-512 b,34.4358793,1.94e-05,0.0196722,0.0009749,2.4333056518963327,0.13378344081017424,0.1347265661947496,-1,4,1
K00295.01,Kepler-134 b,5.3174361,5.5e-06,0.016126,0.0003006,1.7044376218309527,0.050069265,0.051440835,-1,40,1
K00295.02,Kepler-134 c,10.1057637,1.69e-05,0.0107774,0.0007959,1.1391173276398925,0.088008409,0.088361006,-1,21,1
K00296.01,Kepler-513 b,28.8623565,2.26e-05,0.0192779,0.0007239,2.268881673,0.1023821230679597,0.10356296578233048,-1,6,1
K00297.01,Kepler-514 A b,5.6517992,8.8e-06,0.0116044,0.0005029,1.6746082013201424,0.082501202,0.083110677,-1,115,1
K00299.01,Kepler-98 b,1.5416784,6e-07,0.0160803,0.0002503,1.5961224951161004,0.045893984637061194,0.045893984637061194,-1,640,1
K00304.01,Kepler-518 b,8.5120327,4.4e-06,0.0247432,0.0003362,2.4883843761120086,0.068327682,0.068327682,-1,105,1
K00305.01,Kepler-99 B b,4.6035756,2.4e-06,0.0188765,0.0003688,1.5174683422727773,0.049085654,0.050741876,-1,216,1
K00306.01,Kepler-519 A b,24.3078923,1.54e-05,0.025247,0.0013088,2.266419480989636,0.12975963425350484,0.13095225931526314,-1,34,1
K00307.01,Kepler-520 b,19.6741615,1.94e-05,0.0215047,0.0009159,3.9242801945203127,0.38318380521958423,0.4453851798546852,-1,12,0
K00307.02,Kepler-520 c,5.2110357,1.27e-05,0.0139191,0.0004866,2.540023736929493,0.24019810341719203,0.2815789360020601,-1,46,0
K00313.01,Kepler-137 c,18.7357462,1.61e-05,0.0243271,0.0003979,2.258138522909644,0.06465771,0.066852865,-1,33,1
K00313.02,Kepler-137 b,8.4363935,9.6e-06,0.0172864,0.0002633,1.6045926461610824,0.044938200942743714,0.046531788,-1,73,1
K00316.01,Kepler-139 b,15.7711287,1.37e-05,0.0211049,0.000248,2.405637961438359,0.064118855,0.066192883,-1,43,1
K00316.03,KOI-316.03,7.3057045,8.1e-06,0.0176958,0.000488,2.017052354572678,0.07363847,0.074917503,-1,94,1
