ID	Teff	Teff-pe	Teff-err-new	FeH	FeH-pe	FeH-err-new	Logg	Logg-pe	Logg-err-new	Parallax	Parallax-e	G-Mag	G-Mag-Err	G-Mag-err-new	RA	DEC
427224073427887360	3399.8037	1.40285	102.0096465	-1.3635	0.0038	0.130055527	3.9652	0.007	0.04	19.336223538256135	0.013050931	12.542486	0.002766889	0.5	10.08915696908795	61.21337904306996
4285511294172309504	6248.989	16.66135	103.3518291	-0.2372	0.01375	0.130725141	4.1953	0.0071	0.04	1.559867239859004	0.014435835	12.83414	0.002764942	0.5	280.6873000576669	5.937657775709484
4287832775526476800	4786.036	23.379	104.6450077	-0.3255	0.02315	0.132045153	4.4248	0.00635	0.04	3.130639487987012	0.020725902	14.20456	0.002770784	0.5	291.5885714856597	1.4262926697222973
4334991786994866304	5377.682	72.25315	124.9980707	-0.7578	0.0771	0.151143673	4.2577	0.0137	0.04	3.8338080379474127	0.015926221	12.238892	0.002787837	0.5	256.5375548850727	-10.41300793
4439085988769170432	5902.4565	14.7255	103.0574614	-0.1802	0.01335	0.130683673	4.3472	0.0207	0.04	1.8554097638996507	0.10726575	12.192057	0.002802605	0.5	249.3148587222338	7.1833761500126165
4453211899986180352	6046.362	5.4865	102.1474507	-0.2371	0.00795	0.13024286	4.0741	0.003	0.04	7.366692803854651	0.018142235	9.217686	0.002760137	0.5	243.95971500850297	10.032404886232683
4534144923690481408	5525.9883	10.19465	102.5081991	-0.0546	0.0103	0.1304074	4.2522	0.00275	0.04	5.096065607782351	0.01096357	10.671983	0.002756837	0.5	283.30544671894125	24.127243850680994
4558177980124887936	6560.81	9.1782	102.4121055	-0.2705	0.00455	0.130079601	4.0773	0.01235	0.04	3.765549997865735	0.019745478	10.118072	0.002767999	0.5	253.18629589015782	16.579913990887935
4583004815239650176	5806.3364	10.549	102.5440462	-0.2014	0.00975	0.130365112	4.1872	0.00415	0.04	2.9598414025059814	0.013419858	11.448122	0.002764723	0.5	271.53767106071894	26.42660420231556
4596481632339898240	5133.9497	24.7125	104.9509774	0.3885	0.0254	0.132458144	4.514	0.02465	0.04	3.353040111	0.013426572	12.997077	0.00278812	0.5	267.2848817436593	29.8790411
4606030169272920320	5752.1475	1.1967	102.0070198	-0.0345	0.00405	0.130063071	4.292	0.0029	0.04	3.2633585393086992	0.010455294	11.815647	0.002760249	0.5	274.4055355848893	36.621462460816105
4608935250790855296	6124.7437	8.1015	102.3212309	0.0353	0.0091	0.130318111	3.8931	0.0112	0.04	2.7357310766903318	0.011759954	10.485661	0.00276033	0.5	267.64049063092074	36.57017449424244
4613145315172329984	6230.717	3.494	102.0598258	-0.2916	0.00305	0.130035774	4.133	0.00295	0.04	2.8856773755635245	0.012114266	11.288884	0.002766756	0.5	20.166002952398678	-86.97996614
4624979393181971328	5628.948	8.87285	102.3851916	-0.0402	0.00935	0.130335807	4.3027	0.0031	0.04	2.8264652577329867	0.010496683	12.508994	0.002766779	0.5	73.70144719337407	-76.68060863
4668163021600295552	6141.14	2.4344	102.0290464	-0.167	0.0062	0.130147762	4.1322	0.0022	0.04	7.136362438446615	0.009777439	9.3063345	0.002759297	0.5	65.23831479701445	-68.10268897
4684513614202233728	5857.7227	21.33495	104.2073898	0.3599	0.0263	0.132633668	4.2729	0.02975	0.04	2.4585374167005005	0.011145126	12.232036	0.002764173	0.5	16.778699222120125	-75.19894737
4698692748651744128	5216.258	7.8033	102.2980522	-0.0702	0.0079	0.130239817	4.4987	0.002	0.04	9.076873613970134	0.010062385	10.717915	0.002758391	0.5	23.593383482097043	-66.67636655
470650560779277952	6715.0464	22.17765	104.3831795	-0.57	0.00985	0.130372629	4.09	0.0223	0.04	4.898982586164738	0.02610466	9.74296	0.002767751	0.5	65.46958069344849	57.817210076333545
4707634458245031552	5650.196	16.719	103.3611385	0.1848	0.0166	0.131055561	3.8167	0.0028	0.04	12.50441988290191	0.016992304	7.605658	0.002761208	0.5	4.447185654682732	-66.35892922
4727755005637190016	6386.467	9.6733	102.4576631	-0.4556	0.0049	0.130092313	4.1423	0.00325	0.04	2.4887018769278773	0.013094926	11.324756	0.002763963	0.5	42.29150974875043	-58.02468229
4745660479479743488	5937.6963	4.9432	102.1197103	0.0249	0.0063	0.130152564	4.1037	0.0015	0.04	6.255710169963226	0.011164959	9.331878	0.0027576	0.5	39.89766856621086	-50.00819891
4746157737910069888	5949.5474	1.772	102.0153909	-0.3425	0.00525	0.130105966	4.2774	0.0014	0.04	6.353582946972978	0.012855889	10.031728	0.002758918	0.5	36.77582430600215	-50.28442125
4747624104168195072	5953.785	1.3696	102.0091947	0.0217	0.0065	0.130162399	4.023	0.00095	0.04	13.019697782508985	0.017194608	7.430989	0.002760598	0.5	47.517282433341094	-50.83225932
