# ID	Teff	Teff-err	FeH	FeH-err	Logg	Logg-err	Parallax	Parallax-err	G-Mag	G-Mag-err	RA	DEC
2077598384004774912	5838.3506	102.036684	-0.4273	0.130335807	3.8651	0.160178034	1.2878621114065418	0.1087685	12.756987	0.01	293.1802896091382	41.61774019118519
2077750803804146176	6218.183	119.3806756	-0.0032	0.13779873	4.3619	0.168644271	1.3133597071380743	0.01025985	13.525065	0.01	293.8901979518071	42.52794003154197
2077961463362645632	4978.7593	103.7643285	-0.0179	0.131598642	4.5477	0.160475925	1.109357946628141	0.030590922	15.841413	0.01	294.90967283501766	42.93519730366907
2077994272606400512	5355.9414	103.253925	-0.0988	0.130956634	4.4762	0.160055116	3.575270468812649	0.008993224	12.533123	0.01	295.57423163367633	42.80642512218651
2078000289864478976	4561.1143	103.7017135	0.0982	0.137865188	4.6018	0.160230958	1.672141660793267	0.024825176	15.49125	0.01	295.82546479917806	42.94337104374665
2078195212660287616	5262.055	107.6918598	-0.3927	0.136147723	4.3183	0.177477435	0.7268016690027106	0.023223693	15.478404	0.01	294.3169295007358	43.62924127926852
2078272831307891456	6070.8984	104.1962964	-0.1477	0.130974816	4.1835	0.161753091	1.0649233389531676	0.011509687	13.677422	0.01	294.74205999574855	43.536783554851084
2078286197246582016	4969.92	103.0518319	0.1019	0.13127476	4.5337	0.160150874	1.9360854730229051	0.01828253	14.53355	0.01	294.6678991900493	43.85320856910302
2078515170549178880	5858.996	103.258178	-0.3678	0.130575888	4.3889	0.160114342	1.403556476572749	0.012882695	13.952133	0.01	297.4653359712291	42.88285161862764
2078648211455026432	5300.3193	103.4165387	-0.212	0.131212957	4.4976	0.160337644	1.7291235785694548	0.015718995	14.491433	0.01	297.72422409630224	43.52727457583185
2078697552035948800	6033.977	106.2032914	-0.3354	0.132693481	4.2493	0.160739416	1.024587377828738	0.014012699	14.010237	0.01	296.9985852389031	42.78196345658958
2078722600285671936	5696.184	102.4918085	-0.4428	0.130435511	4.4537	0.160059122	1.9683009633152204	0.011609858	13.754966	0.01	296.9811403763854	43.209700730072086
2078832551450444032	5562.9243	109.8617079	-0.1494	0.13508105	4.5974	0.162098735	1.1384654779352474	0.020696418	15.204731	0.01	296.56621648367974	44.105805826810695
2079005651508492032	6654.1885	102.6646835	-0.3187	0.130157443	4.1476	0.160197386	1.2043624693079835	0.012905552	12.881743	0.01	298.81637988955526	43.99801974792027
2079192121810035840	5801.4614	102.0324966	-0.3389	0.130066224	4.332	0.160026279	2.5494417470942192	0.010331633	12.852747	0.01	298.93681583760167	44.85786285
2079295583282164992	5254.8525	102.9399041	0.1275	0.130811706	4.4602	0.160161918	2.3191959231523662	0.011829997	13.526981	0.01	298.0794444750809	44.74624513254368
2079368391569401600	5857.3047	102.6035839	-0.2934	0.130498889	4.249	0.160187585	1.6383098913025536	0.010702549	13.380967	0.01	297.7119319948975	45.26198669424677
2079695496278608896	5983.892	104.0901316	-0.3859	0.131323874	4.2458	0.160853668	3.536175357728161	0.010124171	11.477572	0.01	296.29067722028293	44.42322787879513
2079807646464016256	4769.4673	103.0875539	-0.5965	0.134110784	4.5082	0.160655688	1.1537358542758234	0.02678596	15.801282	0.01	295.9049785301713	45.405429512866995
2079880695265507328	5655.6826	102.3168516	-0.1178	0.130188325	4.3364	0.160116239	1.893185167845447	0.011340113	13.543123	0.01	295.09024061889437	45.081102704345824
2079885608708649344	5774.453	102.0932294	-0.5294	0.130124902	4.4377	0.160031997	2.0647571490817436	0.011105446	13.544186	0.01	294.97353226596476	45.213687190554516
2080246282881778048	4947.7793	103.8716101	0.3749	0.131941284	4.5193	0.16024734	1.2984707490501803	0.023001201	15.411413	0.01	297.3160000066129	46.02326425905117
2080271674728481280	5326.634	102.2890625	0.0654	0.130287461	4.3862	0.160011882	4.162101339160659	0.011795661	11.817324	0.01	297.14879368877695	46.296924478058685
2080296757338392576	5802.9204	103.7561298	-0.4177	0.131653485	4.4054	0.160744215	0.6827872163732165	0.022963844	15.454196	0.01	297.48082476446075	46.58913618233233
2080344586094498432	5157.6562	102.5888575	-0.1142	0.130543518	4.5478	0.160045119	2.6416909672664675	0.0132995	13.73651	0.01	296.6547471644761	46.835223853798176
2080386917291928832	6387.2627	102.0326444	-0.2144	0.130052643	3.9839	0.160008	4.729648845036566	0.010219267	9.522967	0.01	295.8028761596735	45.98796258161476
2080452613110460928	5369.369	103.4829065	0.1866	0.131529464	4.3792	0.16014022	1.5197760973915826	0.011899165	13.894723	0.01	295.4128800764224	46.26658303787401
2080466185207274880	5508.0186	107.6942981	-0.388	0.134372616	4.4428	0.16119603	1.087444393280109	0.016891716	14.850239	0.01	295.34272992767865	46.60221278276875
2080562667352233728	5507.825	103.6317694	-0.5012	0.131316802	4.4698	0.160555979	2.1967880294869833	0.02166779	13.578962	0.01	296.4960476570407	47.182782264710966
2080605823183999616	5818.928	116.140181	-0.0758	0.139977177	3.7656	0.161553466	0.7757732228941335	0.01029757	13.251771	0.01	295.9206668285653	47.44861626781819
2082074942519913344	5605.509	102.0477432	-0.5191	0.130207613	4.3498	0.160037191	2.2771024741915546	0.014137193	12.830316	0.01	300.86400761203623	44.33754955375781
2082161219824397568	6766.387	103.7905245	-0.4877	0.130566544	4.108	0.160642219	1.0858144164044174	0.010067437	13.268091	0.01	300.3323391298596	44.98610528147698
2085204015173031552	6167.8657	103.6847866	-0.3159	0.132080364	3.8619	0.16591326	1.1434775293510557	0.013062249	12.973302	0.01	300.31617138073904	45.49532506807882
2085527924426959104	5044.935	102.8686457	-0.0834	0.130663394	4.5531	0.160094503	2.0865076841738914	0.016934	14.496916	0.01	298.60791476479267	46.45365925677437
2086337508581280256	5547.5566	106.3525365	-0.1028	0.133940519	3.8256	0.160427211	0.5257347270846009	0.02149418	15.383721	0.01	298.3183899877481	47.27948081304743
2086389357427331712	5843.6416	103.1673267	-0.3051	0.13052993	3.6563	0.16010509	1.1634366732312897	0.009380246	12.225351	0.01	297.21584553108045	47.37850777179651
